OTUID	secondB116A	first3A	secondB021A	secondB081A	secondB024A	secondB031A	secondB083A	secondB084A	first18A	first1A	secondB015A	secondB034A	first107A	secondB010A	secondB082A	first39A	first28A	secondB085A	first15A	secondB018A	secondB086A	first37A	secondB003A	first119A	secondB011A	first082A	secondB006A	first10A	first101A	secondB118A	secondB099A	secondB109A	first085A	secondB108A	first6A	first081A	first091A	first120A	secondB025A	secondB007A	secondB001A	first20A	first086A	secondB091A	secondB101A	first099A	secondB119A	secondB120A	first109A	secondB013A	secondB100A	secondB107A	first084A	first116A	first100A	first7A	secondB039A	first34A	secondB098A	first118A	first21A	first25A	first098A	first108A	secondB020A	secondB035A	first11A	secondB028A	first35A	secondB094A	secondB093A	first083A	first094A	first093A	first13A	first24A	first29A	secondB037A	first31A	secondB029A
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	4.0	1.0	1.0	3.0	5.0	0.0	0.0	6.0	13.0	0.0	133.0	1.0	1.0	12.0	1.0	0.0	0.0	0.0	236.0	0.0	2.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	5.0	12.0	1.0	20.0	0.0	1.0	0.0	1.0	0.0	1.0	5.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	24.0	2003.0	0.0	9.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	93.0	3.0	13.0	1.0	1.0	0.0	1.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	288.0	122.0	1476.0	818.0	567.0	190.0	3423.0	1001.0	1804.0	118.0	1538.0	236.0	256.0	859.0	1859.0	2356.0	592.0	1210.0	1623.0	531.0	1598.0	101.0	267.0	264.0	453.0	1764.0	3243.0	216.0	2444.0	18.0	88.0	2473.0	700.0	542.0	2899.0	1165.0	461.0	1932.0	1349.0	408.0	274.0	151.0	727.0	983.0	9831.0	18.0	769.0	2626.0	113.0	593.0	2567.0	1091.0	557.0	62.0	4508.0	886.0	1642.0	301.0	1814.0	7.0	2197.0	3358.0	2829.0	500.0	86.0	2057.0	1229.0	223.0	160.0	2355.0	3000.0	2512.0	3125.0	4933.0	618.0	217.0	357.0	201.0	258.0	241.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	2467.0	20.0	45.0	49.0	50.0	270.0	506.0	7.0	530.0	209.0	146.0	0.0	210.0	14.0	0.0	35.0	65.0	127.0	110.0	264.0	0.0	46.0	1.0	177.0	17.0	0.0	567.0	6.0	0.0	1.0	3.0	41.0	117.0	952.0	536.0	0.0	0.0	286.0	220.0	24.0	13.0	1190.0	0.0	6.0	1.0	3.0	97.0	1495.0	80.0	3.0	143.0	202.0	2.0	1268.0	51.0	21.0	183.0	0.0	100.0	2.0	228.0	66.0	235.0	76.0	197.0	267.0	123.0	73.0	49.0	5.0	0.0	65.0	0.0	0.0	0.0	107.0	127.0	128.0	132.0	233.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	3.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	2.0	1.0	10.0	0.0	1.0	11.0	0.0	0.0	0.0	0.0	2.0	18.0	0.0	1.0	2.0	0.0	16.0	0.0	2.0	0.0	0.0	1.0	6.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	21.0	1.0	1.0	0.0	0.0	3.0	0.0	9.0	6.0	46.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	2.0	0.0	1.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	19107.0	214.0	673.0	530.0	310.0	54.0	3605.0	14302.0	162.0	2914.0	617.0	104.0	22447.0	2094.0	1577.0	129.0	39.0	114.0	1479.0	499.0	28369.0	4231.0	1804.0	21949.0	449.0	81.0	249.0	238.0	102.0	822.0	1969.0	523.0	894.0	28858.0	1677.0	323.0	68.0	356.0	348.0	561.0	2399.0	981.0	1099.0	1019.0	940.0	445.0	35681.0	372.0	2233.0	460.0	1052.0	39347.0	5646.0	1420.0	87.0	225.0	145.0	549.0	265.0	247.0	287.0	271.0	665.0	14460.0	308.0	337.0	400.0	103.0	4747.0	1261.0	1659.0	298.0	202.0	610.0	146.0	107.0	1337.0	5376.0	120.0	5492.0
k__Bacteria;p__SAR406;c__AB16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes;c__Synergistia	0.0	0.0	0.0	2.0	0.0	3.0	6.0	3.0	2.0	6.0	0.0	1.0	0.0	3.0	0.0	4.0	0.0	1.0	0.0	34.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	14.0	20.0	0.0	12.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	8.0	1.0	0.0	1.0	0.0	6.0	8.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	5.0	4.0	7.0	3.0
k__Bacteria;p__TM7;c__TM7-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes	0.0	33.0	404.0	0.0	7.0	22.0	0.0	0.0	0.0	452.0	743.0	0.0	0.0	6.0	1.0	1.0	115.0	0.0	135.0	1.0	0.0	31.0	6.0	0.0	1.0	0.0	35.0	13.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	4.0	4.0	1.0	6.0	0.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	595.0	0.0	730.0	0.0	485.0	0.0	1.0	29.0	0.0	14.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	323.0	19.0	66.0	48.0	8.0
k__Bacteria;p__Tenericutes;c__RF3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Opitutae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	1.0	0.0	0.0	0.0	282.0	14.0	0.0	0.0	130.0	31.0	1.0	71.0	0.0	2.0	4.0	13.0	0.0	1675.0	0.0	4578.0	7.0	0.0	1.0	0.0	3.0	39.0	0.0	65.0	0.0	2.0	1.0	6.0	2088.0	0.0	0.0	0.0	74.0	2.0	0.0	0.0	10.0	0.0	7.0	1.0	11.0	0.0	0.0	264.0	9.0	0.0	19.0	0.0	10.0	0.0	12.0	0.0	9.0	0.0	1642.0	0.0	1.0	0.0	1109.0	1.0	0.0	1249.0	0.0	8.0	0.0	0.0	1.0	0.0	0.0	8.0	0.0	3919.0	0.0	0.0	2.0	0.0
k__Bacteria;p__ZB3;c__BS119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__[Thermi];c__Deinococci	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
