"MGJ1"	"MGJ10"	"MGJ11"	"MGJ12"	"MGJ13"	"MGJ14"	"MGJ15"	"MGJ16"	"MGJ17"	"MGJ18"	"MGJ19"	"MGJ2"	"MGJ20"	"MGJ21"	"MGJ22"	"MGJ23"	"MGJ24"	"MGJ29"	"MGJ3"	"MGJ4"	"MGJ5"	"MGJ6"	"MGJ7"	"MGJ8"	"MGJ9"
"K00018"	4.65928475601542e-06	3.45137434151568e-07	5.13757837587512e-06	9.59974340532798e-06	1.57202119211436e-06	4.87925304309392e-06	4.96784633188111e-06	4.65102111003749e-06	2.61024614752905e-06	1.09053164187182e-05	7.03122521488648e-06	2.32125715074596e-06	2.25942199335111e-06	4.51911526304457e-06	7.38113846444843e-06	6.63194216520364e-06	1.05280866739992e-05	2.34937077939552e-06	3.73117760868234e-06	2.56006569780548e-06	1.55900690708142e-06	9.8690853387355e-07	3.57069870821105e-06	3.63671827493471e-06	1.79604409715001e-06
"K00019"	0	9.56047312764499e-07	3.64650588574091e-07	0	0	0	0	0	0	2.73312656296793e-07	0	0	0	0	0	1.09807902397892e-06	0	0	0	0	5.16533207510425e-07	0	0	0	0
"K00020"	3.3571268965281e-06	8.17413069844427e-07	3.12598929499432e-06	1.07056633601733e-05	1.18294005169643e-06	3.96942201958285e-06	5.87916525405566e-06	5.31397646965283e-06	1.00595586437673e-06	1.8587867981274e-05	7.88486724030287e-06	8.67878483659647e-07	8.50388648669051e-07	5.57359352494825e-06	1.29409183629362e-05	1.15350088849798e-05	2.02562975379894e-05	1.3839318526755e-06	1.20355559222004e-06	9.22888022579614e-07	5.94465789846103e-07	8.05043082327288e-07	2.71847385468799e-06	3.36613254208121e-06	1.28240697927403e-06
"K00021"	0	0	0	0	0	0	7.23902079572953e-07	0	5.28730384021532e-07	0	0	8.42375074832042e-07	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00024"	5.90595680741135e-05	7.17266744968508e-06	7.57353856806856e-05	3.23513704671867e-05	9.40335102674579e-06	6.16763024838836e-05	4.82259533867069e-05	5.63600894453773e-05	6.23426460971117e-05	2.87909674800534e-05	6.11180816052691e-05	4.70702838353778e-05	6.15790278567163e-05	5.58933729500838e-05	3.74771362057006e-05	2.58394738648679e-05	3.86564496955205e-05	5.57895573539051e-05	7.6201848149398e-05	4.36936228489927e-05	3.12460862272358e-05	1.31038727880597e-05	5.3284404962624e-05	4.65055356592429e-05	4.57120702129281e-05
"K00027"	2.81524168330913e-05	7.00989574992604e-06	1.97580680541777e-05	2.56549471965028e-05	5.27103161153305e-06	1.8164744338633e-05	2.18147003843852e-05	1.99153281028048e-05	1.83672307886454e-05	3.13815173756406e-05	2.44471441963807e-05	1.80512804295965e-05	1.81575531949289e-05	1.94157184347551e-05	2.60982488485104e-05	3.56698401481805e-05	2.64814657058159e-05	1.61431906416029e-05	2.51519594348881e-05	1.91085166383452e-05	2.1666041760552e-05	5.64907839606102e-06	1.8155858009903e-05	1.94119553627136e-05	1.78477094077805e-05
"K00028"	3.10620864862969e-07	0	0	2.34481665670268e-07	0	4.64044299558456e-07	3.18662032060839e-07	0	0	6.19046238465421e-07	9.92343453653501e-07	2.64314065585737e-07	2.70111641037522e-07	0	2.12139450136558e-07	5.0881772510059e-07	0	2.15823490747021e-07	0	0	4.20527162737574e-07	1.55901491863372e-07	0	2.24571190551831e-07	4.34632241175205e-07
"K00029"	4.22247425300134e-05	5.00716161352926e-06	5.30430750006164e-05	2.6475484064136e-05	6.60622280090027e-06	5.04627806560866e-05	3.34578757322825e-05	3.51712621770807e-05	4.12282806260002e-05	2.18695518089057e-05	4.24792188072301e-05	3.58937734324813e-05	4.16824764573938e-05	3.81176567356499e-05	2.91842627798638e-05	2.17476946364705e-05	2.88491012921105e-05	4.28289099737356e-05	4.72075679884701e-05	3.32558309851993e-05	2.65188773505234e-05	8.72558782197805e-06	3.47140587419812e-05	3.22606680616383e-05	2.98955187748405e-05
"K00030"	0	4.80949147619097e-07	3.01398248737325e-07	0	0	0	0	2.74523762471621e-07	0	6.14454658516548e-07	4.16621109848169e-07	0	0	0	0	2.43130678645624e-06	0	0	0	0	2.14896662841653e-07	9.54435726555987e-08	0	0	0
"K00031"	3.95911182804499e-05	8.36510447465427e-06	3.79801372866141e-05	3.91599753199158e-05	1.10349452378913e-05	3.37991672182179e-05	3.42215348834235e-05	4.0182420198515e-05	3.72182019220382e-05	3.82155589892355e-05	3.89134463783814e-05	3.80386741072146e-05	4.11019489575439e-05	4.83426000671386e-05	2.97320877610192e-05	4.4216942214896e-05	3.34271062100118e-05	3.43439740889558e-05	4.03235255400904e-05	3.66892632749832e-05	3.74164411211182e-05	1.13017649038519e-05	3.59352389995409e-05	3.57168983125177e-05	3.18016162639039e-05
