"","MGJ1","MGJ10","MGJ11","MGJ12","MGJ13","MGJ14","MGJ15","MGJ16","MGJ17","MGJ18","MGJ19","MGJ2","MGJ20","MGJ21","MGJ22","MGJ23","MGJ24","MGJ25","MGJ26","MGJ27","MGJ28","MGJ29","MGJ3","MGJ4","MGJ5","MGJ6","MGJ7","MGJ8","MGJ9"
"K00001",2488.17,500.13,1517.51,1584.55,2458.09,1312.61,301.05,1482.86,3202.42,1006.72,3877.15,1622.24,232.99,448.79,569.92,1077.39,1077.87,423.22,30,621.18,153.85,835.47,3561.65,2940.69,2830.99,2131.76,2549.85,1710.76,1683
"K00002",9.67,4.33,9,13,16.67,5.99,2.67,4.66,7,4.66,5.67,4.33,0,0,0,0.33,9.33,8.33,0,0,0,0.33,4.33,13.99,8,6,12.33,13.66,6.67
"K00003",4342.94,1270.74,4388.59,5180.43,4984.12,3197.62,750.04,3549.42,6639.92,2094.88,6764.6,3680.95,786.91,5626.1,945.48,1868.85,1538.98,793.8,372.5,1491.59,605.12,1479.32,5375.12,6324.2,6212.41,5004.89,5827.19,3499.34,3624.07
"K00004",358.39,122.98,465.5,685.16,1149.68,393.52,144.04,641.78,2772.9,546.41,1103.79,327.44,117.18,273.01,94.36,261.39,174.55,121.63,8.56,117.47,34.99,148.99,738.83,843.47,765.96,679.58,815.64,475.24,447.85
"K00005",1487.83,779.04,2390.3,1949.02,2537.34,907.61,506.33,1277.71,3551.36,1194.02,4533.21,1177.51,832.61,3756.55,339.58,1197.73,605.21,387.64,173.9,441.49,173.24,493.27,1477.85,2599.69,1865.79,1660.64,1940.8,1524.41,1490.73
"K00007",354.28,248.55,791.6,442.12,313.58,127.71,285.41,178.77,224.44,173.07,1115.53,225.52,119.46,878.66,104.25,331.83,150.94,102.71,59.75,104.79,47.63,104.41,157.56,409.25,269.38,298.07,301.48,264.35,273.13
"K00008",738.29,171.85,270.95,351.77,837.48,348.85,219.91,312.67,370.16,149.31,1194.16,667.79,24.41,65.42,173.49,585.34,327.26,147.83,11.25,280.34,42.73,290.42,664.31,1089.67,783.37,732.86,1238.5,498.53,440.05
"K00009",1301.28,543.28,1278.24,1233,1705.56,1024.96,441.49,760.2,762.19,578.11,3869.83,1037.22,597.19,2589.11,279.73,869.63,498.71,268.3,116.29,422.97,159.36,441.51,836.04,2022.3,1772.94,1284.71,2137.32,1370.66,1185.86
"K00010",1261.34,597.58,1754.15,1743,2149.43,846.73,682.45,1307.76,3563.28,1146.72,4409.54,1480.88,1151.88,4280.98,309.54,1192.65,757.21,420.57,151.43,436.94,162.65,517.02,1537.12,2439.38,2033.78,1646.03,1933.36,1271.97,1281.55
"K00012",4877.46,1590.55,5222.27,5426.24,5317.6,3300.07,6138.21,2770.88,7251.14,5913.31,8682.25,3826.11,1344.1,8061.07,885.06,2222.98,1591.23,867.91,602.29,1436.1,717.63,1449.13,5210.11,6474.4,6119.24,4889.44,5627.97,4307.83,3790.07
"K00013",5298.63,1671.9,5422.55,5762.7,5745.32,3529,6145.4,3258.69,7476.1,6148.75,10088.84,4132.88,1373.11,8333.62,1203.32,2390.82,1915.43,991.87,607.9,1732.49,724.68,1789.4,5572.82,7253.32,6663,5540.1,6724.42,4578.01,4357.51
"K00014",6675.43,2294.41,7126.27,6758.56,7072.86,4210.74,6690.76,3857.4,7980.36,6578.43,12445.7,4780.71,1658.88,10170.2,1257.91,3561.59,2151.28,1266.59,747.64,1793.9,849.98,1955.08,6015.9,8863.81,7771.32,6434.26,7764.52,5473.94,4931.99
"K00015",703.79,226,641.89,1062.11,1325.2,742.45,189.08,1180,2859.08,694.25,1881.7,848.97,54,76.67,335,303.89,376.33,150.11,15,453.67,82.11,421,1100.55,1471.72,1649.78,1368.66,1780.36,657.46,1024.36
"K00016",1441.09,354.99,520.2,868.02,1646.58,1170.2,278.38,714.37,547.76,516.75,3039.84,1112.75,122.41,344.8,285.8,1056.71,638.8,377.18,28.59,470.97,86.48,523.91,929.74,2580.43,2156.06,1399.84,2643.05,1435.47,1104.01
"K00018",1949.43,259.23,731.91,705.83,761.93,742.3,5195.33,431.94,2914,4094.16,2300.51,701.42,82,136.33,304.33,506.75,318.33,166.41,157,455,236.22,495.5,2161.87,829.12,1426.4,1076.93,854.87,1194.95,699.88
"K00019",842.47,358.66,950.14,691.09,855.03,898.25,186.71,392.99,267.23,301.21,1861.55,668.45,144.04,914.28,191.92,570.91,417.03,208.5,79,212.65,123.16,317.62,471.15,1038.23,1079.46,889.87,850.6,553.62,603.32
"K00020",5286.93,845.4,1895.57,2085.44,3157.42,3084.59,5703.85,1464.66,3298.62,4718.03,7061.85,2791.76,205.24,305.33,727.16,1472.27,1128.17,523.37,227.67,966.33,434.2,1260.32,5468.24,4247.69,5008.78,3470.42,4124.12,3272.1,2370.52
"K00021",519.61,119.79,231.29,535.62,512.56,480.76,60.83,648.68,72.67,239.83,2863.79,785.47,22.33,121.5,366.16,341.8,570.66,164.36,9,464.5,57,542.17,759.99,1039.42,857.01,893.94,1155.36,817.88,832.61
"K00023",618.77,73.3,158.64,341.96,399.22,797.53,43.66,224.86,36.33,181.17,1641.97,429.31,21,64.34,151,188.64,192,72.86,31,284.59,232,249.75,601.83,916.35,1022.37,857.28,544.7,614.15,312.12
"K00024",3172.47,1343.85,4130.06,4544.88,3978.96,2463.87,5964.13,1988.41,4297.53,5354.01,7310.71,2898.85,1213.44,8013.49,816.4,1883,1346.19,714.81,589.12,1092.66,684.03,1229.8,2470.03,5286.71,4587.68,3945.77,4734.91,3434,3156.36
"K00027",2661.18,1003.01,2386.61,3147.5,4588.48,2031.25,5965.98,2709.39,9099.53,5892.39,7211.84,2787.48,801.26,2812.4,785.88,1631.45,1351.47,708.89,257.21,1046.26,271.76,1059.63,3298.2,5173.58,4569.41,3789.55,5010.86,2949.25,3065.95
"K00028",0,4,0,23,58,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,7
"K00029",3240.05,806.94,2200.81,1860.6,2497.28,1879.41,5696.59,1133.82,3837.58,4717.31,5582.32,1750.29,694.53,2846.99,599.08,1257.05,860.49,444.24,291.12,753.91,425.05,933.55,3042.65,3000.47,2958.79,2347.87,2389.71,2362.15,1716.71
"K00030",153,53.5,55.5,137,257,63.5,5145,56,2712,3955.5,281.5,52.5,32,60,44.5,57.5,32,29,124,15,29,15.5,97.5,59.5,85.5,121.5,252,168,205.5
"K00031",5109.94,1595.79,5324.27,5490,5450.87,3236.14,6118.63,3031.91,7415.11,5972.29,8417.55,3610.94,1360.77,8261.89,890.64,2137.36,1484.7,811.45,617.62,1353.33,733.25,1372.67,4848.99,6534.65,6215.8,5184.82,5927.72,4165.8,3830.7
"K00032",0,0,0,0,0,1,0,2,0,0,13,0,7,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
"K00033",2616.03,973.61,1801.81,2349.76,3501.12,2204.68,5819.03,1575.27,3641.45,4982.84,7342.99,2563.38,797.76,3015.7,806.22,2123.22,1412.6,828.5,292.96,1045.33,444.29,1229.51,2173.04,4519.63,4061.99,3015.85,4121.27,2932.23,2473.42
"K00034",183.69,35.66,84.12,138.95,167.57,118.34,59.26,110.34,41.19,79.27,440.04,198.59,23.66,33.92,44.33,294.09,161.37,57.27,4.17,77.67,14.93,114.67,157.67,295.2,240.62,120.98,210.94,197.25,82.86
"K00035",5.33,2,2,8,69,5,0,1,0.33,0.33,2,5.33,0,8,0,2,0,0,0,0,0,1,2.33,6.67,15.67,6,8.67,1.67,40
"K00036",4076.4,1097.61,2460.6,2565.23,3924.81,2686.27,5872.18,2059.44,3808.51,5013.65,7507.39,2849.38,831.6,3011.62,792.39,1892.63,1237.07,742.73,309.79,1129.25,451.36,1215.76,3963.7,5090.51,4730.55,3339.96,4473.24,3171.47,2623.49
"K00038",282.33,87.16,92.91,184.08,509.98,271.41,46.4,121.33,16.26,95.76,656.1,398.52,57.66,23.18,99,274.82,253.99,146.68,6,96.58,7,120.42,248,792.58,609.5,296.41,616,359.99,389.51
"K00039",352.77,248.38,791.1,422.79,279.91,125.71,131.91,179.77,224.43,173.56,1115.36,224.18,119.46,878.49,96.25,331.33,150.94,102.71,59.75,104.79,47.63,102.41,155.89,411.09,266.89,285.24,303.65,265.36,264.3
"K00040",1646.84,799.69,2183.71,1709.17,2145.24,1107.08,582.07,911.55,1074.8,929.8,5771.33,1170.47,1187.97,5122.89,445.41,1376.24,784.89,463.92,210.43,564.15,206.4,615.35,1122.6,2599.37,1880.88,1499.27,2113.21,1835.76,1524.25
"K00041",710.59,390.89,1243.06,1149.89,1598.9,441.46,483.92,825.14,3011.06,704.42,1927.75,640.63,172.47,927.15,183.64,658.22,292.52,196.83,66.36,240.78,69.56,243.99,954.72,1434.58,1063.06,970.38,1094.36,833.37,856.58
"K00042",1202.6,548.82,1255.89,1139.57,1939.82,1278.48,5395.98,586.87,3254.16,4399.01,3371.13,1112.45,659.61,2653.9,269.31,770.86,463.2,325.15,266.27,363.26,139.4,448.55,919.49,2023.86,1578.51,1371.72,1590.14,1218.9,1126.97
"K00045",21,9.5,30,52,40,17.25,2,6,3.33,8.83,38.5,27.83,7,12,2,24.5,3,1,0,1.25,1,17.75,26.83,52.92,70.5,47,42.67,16.92,26.5
"K00046",774.61,206.34,393.29,646.73,1021.18,881.85,293.47,403.01,345.69,381.5,2116.69,785.57,522.47,1742.43,136.51,583.14,337.31,195.55,70.13,177.42,73.05,326.41,706.94,1228.02,1096.61,929.1,971.08,715.26,561.53
"K00048",255.51,100.59,108.55,232.36,622.13,226.34,120.84,167.66,55.45,91.25,807.94,316.57,19.51,46.66,79.89,349.72,134.33,87.1,6.61,124.17,25,153.25,230.32,615.75,366.1,277.39,491.87,396.08,329.06
"K00050",1140.81,688.64,3428.26,3379.02,1851.09,984.05,536.43,1122.67,3336.13,1024.29,2453.21,981.84,630.34,6060.6,279.1,974.61,396.73,245.22,375.78,434.08,458.9,353.44,1106.04,1878.18,1787.96,1894.85,1771.44,1275.93,1411.82
"K00052",5083.72,1618.96,5302.66,5463.08,5531.81,3277.62,6113.73,2750.49,7418.93,6003.36,8648.43,3672.59,1371.27,8270.27,943.14,2295.07,1580.48,865.21,604.62,1375.66,704.51,1449.63,5191.36,6615.34,6235.73,5070.69,6010.08,4310.02,3887.04
"K00053",5106.55,1627.71,5331.91,5492.74,5438.31,3273.37,6130.23,3139.74,7435.43,6012.86,8728.84,3711.42,1367.77,8299.27,929.47,2198.57,1565.98,847.21,606.62,1389.41,716.51,1461.22,5285.11,6569.34,6212.56,5160.19,6126.16,4302.6,3847.2
"K00054",589.45,193.19,444.48,442.05,791.27,376.75,182.7,317.66,607.33,317.12,1348.16,582.61,109.83,405.44,122.82,776.5,282,191.83,26.67,186.5,25.91,258.33,456.25,1083.58,690.33,548.97,851.03,567.66,422.32
"K00055",444.42,285.59,803.82,477.21,573.28,256.07,153.83,201.72,239.03,222,1336.09,304.03,130.54,905.96,151.5,522.05,258.05,169.43,60.75,166.79,70.63,184.12,212.6,787.98,478.09,369.46,554.86,417.95,414.2
"K00057",5152.39,1665.06,5326.52,5613.88,5763.15,3288.67,6243.92,3200.83,7494.44,6098.97,8771.31,3804.4,1383.77,8290.51,929.05,2498.39,1540.44,902.08,610.96,1416.16,692.55,1390.29,5129.18,6882.69,6365.71,5084.58,6162.81,4361.77,3855.82
"K00058",6976.47,2330.55,7248.44,7686.37,8484.64,4924.7,6803.08,5211.83,10951.8,7379.69,15107.02,5919.8,1629.16,9485.44,1892.15,3974.03,3181.43,1652.24,724.61,2489.23,886.76,2737.48,7529.98,10635.31,9456.01,7971.83,9478.94,6464.26,6318.88
"K00059",19389.24,6168.95,19151.84,20160.39,20044.5,13846.64,18935.68,11963.94,24082.18,19989.39,40438.37,15545.99,6424.26,33367.01,3991.29,9022.17,7286.65,3719.71,2185.44,6094.54,2616.02,6384.12,18877.56,26259.34,25418.78,20130.06,25823.85,15894.56,15394.11
"K00060",1286.94,535.25,1305.74,1449.02,1772.16,965.2,5549.89,1063.96,3295.61,4541.43,5246.06,1224.72,649.86,2703.12,550.16,784.04,743.62,353.6,235.12,668.59,170.57,684.85,1245.57,2127,1621.19,1525.7,2208.16,1562.2,1551.21
"K00064",395.36,267.3,793.52,463.54,344.56,139.41,133.6,193.16,225.02,180.51,1191.78,350.94,151.37,885.58,95.75,324.21,222.35,147.06,60,123.39,51.38,96.5,160.64,492,334.51,357.11,318.63,275.36,291.67
"K00065",835.8,349.7,942.6,847.1,1149.06,496.5,499.08,407.25,266.89,285.27,2744.52,599.57,129.64,927.91,227.98,547.09,338.69,200.72,65.19,275.7,77.67,297.16,596.68,1210.57,847.37,725.23,1045.02,1009.96,823.39
"K00066",17.09,3,10.92,17.67,20.41,2.5,4.83,6.67,1.17,3.67,64.5,7.92,23.83,3.17,5,29.33,6.83,2.84,1,22.83,3.5,8.67,29.25,19.83,8.67,23.42,15.92,18.17,5.42
"K00067",5566.53,1331.49,4645.24,4467.18,4261.65,3092.27,5759.3,2055.02,4481,5350.36,6401.17,3428.68,1261.48,7432.19,716.99,1776.13,1126.25,668.44,543.89,1233.52,623.86,1247.88,5963.34,5575.15,5729.23,4108.62,4929.05,3492.42,3055.67
"K00068",892.97,452.11,1211.78,958.91,1630.78,577.56,272.52,545.71,571.95,484.06,3037.08,743.26,665.68,2771.7,249.31,895.46,482.65,274.9,114.15,251.99,111.19,382.1,564.89,1598.88,1050.47,822.99,1191.79,1029.61,916.08
"K00073",161.71,55.17,46.42,126.25,416.87,92.39,34.92,71.58,19.45,39.83,359.33,114.88,7.75,9.75,32.4,108.67,43.92,37.83,3.15,28.5,6.25,54.42,106.18,410.28,242.25,148.06,238.1,212.33,182.26
"K00074",3808.12,1797.31,5685.93,5125.38,4751.5,2887.45,886.72,2086.62,1894.52,1750.95,8753.6,3482.21,1475.14,9755.73,814.28,2642.45,1920.91,1075.39,577.89,1040.95,552.65,1278.45,2513.86,6509.76,5672.41,4319.74,5965.21,3453.56,3683.95
"K00075",5007.92,1621.39,5265.8,5484.85,5508.28,3209.77,6186.22,3126.44,7456.44,6043.1,8553.95,3640.35,1372.94,8280.43,890.89,2266.45,1485.03,874.64,606.79,1396.38,691.44,1337.96,5051.87,6660.47,6134.07,4940.96,5961.98,4239.22,3731.27
"K00076",228.46,82.92,90.67,229.99,556.12,144.63,48.25,435.91,32.95,77.41,446.25,188.62,17,10,46.48,93.16,65.83,50.58,6.4,51.5,4.5,69,172.68,552.11,395.83,257.64,403.68,251.49,259.93
"K00077",5187.51,1721.68,5630.64,5513.96,5257.46,3732.52,6139.61,2710.77,4858.89,5744.61,10675.29,3899.29,1826.59,10455.64,1071.98,2854.76,1902.25,1110.64,672.01,1708.84,482.46,1589.16,4649.59,6592.57,6410.53,4582.23,6539.79,4279.1,4203.71
"K00082",96.43,32,35.91,59.49,187.23,91.57,9.32,46.83,4.84,27.5,164.84,136.43,39.66,15.84,23.83,54.65,22.99,21.35,3,20.74,2,36.42,107.42,214.59,157.17,103.41,151.42,100.26,87.59
"K00086",24,24,15.17,36.67,93.83,60.17,10.5,16,13.5,31,177,41.17,1,5.5,39.5,104,68.5,41.33,1,32.17,0,42,90.5,194.83,99,34.16,124.83,139.83,86.83
"K00087",110.96,44.92,32.92,82.58,365.95,66.64,21.42,35.58,12.95,26.58,214.75,59.13,3,4,17.15,33.5,21.17,20.58,2.4,7,6,46.67,58.68,305.78,156,97.23,189.52,160.33,161.26
"K00088",6335.2,1955.79,6012.08,6710.54,7103.45,4260.06,6388.97,4558.16,7629.87,6550.49,13362.8,5543.22,1468.6,8499.77,1715.24,3670.53,3127.33,1482.43,642.29,2311.17,817.03,2544.98,6554.03,9350.27,8388.62,6939.74,8535.29,5728.48,5388.25
"K00090",732.45,392.81,1093.17,808.98,1160.06,600.31,358.27,447.13,516.09,391.64,2559.02,600.33,593.53,2564.65,202.41,543.25,301.66,202.55,115.12,250.07,133.72,308.88,630.82,1302.54,913.09,772.6,962.1,746.67,709.17
"K00091",182.67,95.5,118,127,370.5,126.5,19,184.5,44.5,142,424.5,174.5,81.93,224.5,58.5,71,71,44,7.29,36,30.64,48,274.5,353,347.83,272,295,197.5,216
"K00094",174.13,67.93,69.32,147.04,465.98,112.71,37.41,152.05,24.81,54.24,545.24,195.49,10.13,11.62,65.65,100.87,85.13,63.08,4.4,48.78,3.38,90.38,157.77,437.41,304.01,188.67,326.62,246.2,235.11
"K00096",558.38,133.5,281.21,533.88,646.05,434.16,82.87,668.21,88.78,289.54,2253.76,979.04,36.66,123.17,346.16,408.76,580.12,225.99,9,420.44,53.65,502.17,825.34,1300.64,1094.66,973.06,1164.15,704.74,849.85
"K00097",4799.63,1826.25,6363.16,5549.29,4608.94,2717.52,6248.1,2789.17,7574.02,5988.14,8756.52,2984.16,1490.5,9711.56,839.24,2184.07,1234.69,758.71,710.41,1267.96,725.07,1208.78,4364.07,5402.49,4825.9,4443.2,4493.47,3731.12,3311.56
"K00098",255.64,42.03,62.61,112.88,269.34,208.27,27.62,115.37,19.45,57.91,694.17,167.68,17.26,54.53,35.61,157.93,75.71,51.12,1.56,52.9,24.14,102.46,189.49,275.37,295.38,204.06,320.98,157.54,124.73
"K00099",4717.72,1525.7,5107.16,5214.47,4960.43,2956.72,6075.05,2920.09,7225.11,5878.43,7483.21,3297.73,1287.11,7989.99,809.57,1899.34,1287.53,730.31,597.62,1243.66,675.53,1189.13,4616.54,5930.72,5677.86,4654.61,5391.59,3871.72,3443.98
"K00100",2933.71,479.5,1267.57,1134.95,2500.91,1556.18,195.69,796.83,417.25,754.87,2687.08,1384.28,143.33,307.21,231.42,836.56,562.12,196.94,49.5,344.62,140.23,564.79,2673.68,2773.68,3168.81,2119.76,2468.6,1612.92,1242.04
"K00101",1380.54,491.61,1203.57,1102.18,1644.77,1000.34,385.01,581.16,545.16,522.22,3806.73,808.13,620.1,2585.66,297.08,716.22,439.16,235.07,123.83,307.66,157.25,424.64,883.47,1736.89,1601.47,1280.45,1511.38,1184.15,1013.02
"K00102",218.66,55.5,40,101,248,264,22.33,79,24.33,51.16,356.5,89.83,2,12,35,97.5,32,21,14,67.33,31,85.5,119,207.67,341.5,277.33,246.67,75.67,153.67
"K00103",99,26,65,75,188,77.92,12,39,7,39,167.17,84,5,6,27,39,39,17,0,18.25,0,21.25,82.5,251.25,208.17,118.67,158,71.58,87.17
"K00104",2374.05,997.92,3153.5,4065.6,3692.65,2026.13,480.18,2344.54,3480.18,1376.43,4061.23,2614.33,642.99,5283.51,582.07,1322.32,910.32,539.31,352,845.85,498.72,926.09,2468.85,4559.26,4245.21,3532.83,4099.97,2456.06,2658.1
"K00105",168.45,68.03,135.25,205.92,378.25,164.67,80.95,171.91,76.25,130.42,803.16,382.42,87.5,276.99,41.66,537.25,142.66,71.16,10.17,84.83,6.33,152.33,208.25,415.33,259.08,144.42,241.71,227,185.33
"K00108",2915.54,627.65,1826.52,1370.07,1943.54,1581.02,433.57,818.02,893.8,571.96,4730.97,1354.61,681.61,2629.77,284.5,924.27,593.64,339.57,134.4,494.88,220.87,573.07,2851.44,2251.74,2457.33,1749.58,2014.58,1634.59,1340.59
"K00111",5208.26,1585.88,3985.17,4126.84,5955.92,3298.61,6293.46,3205.17,7076.36,5966.53,11303.76,4060.91,1406.13,5433.95,1295.57,2574.64,2113.49,1034.07,410.74,1662.39,647.35,1875.49,5628.92,7197.25,6711.9,5295.01,6421.35,4347.4,4145.12
"K00112",735.77,398.61,1124.19,827.82,1184.26,429.75,351.6,444.71,524.92,389.48,2527.09,525.38,587.53,2565.45,212.33,674.47,410.99,221.91,107.12,236.49,125.91,316.35,538.21,1237.43,837.8,717.01,914.12,804.77,721.91
"K00113",751.27,403.61,1126.69,831.82,1201.76,441.25,364.6,458.71,525.92,399.98,2629.59,581.88,592.53,2586.45,218.33,665.47,416.49,217.91,107.12,239.99,130.91,337.35,621.71,1284.93,862.3,774.01,1003.62,814.77,826.41
"K00114",41.5,21,67,78,81.5,9.5,3.5,31,7,12.5,300,16,24.5,8,35,98,38.5,17.5,7,152,18.5,20,173.5,43.5,41.5,82.5,97,122.5,17
"K00115",0,1.5,0,0,0,0,0,0,0,0.5,0.5,1.5,0,0,0,0.5,1,0,0,0,0,0.5,0,1,1.5,0,0,0,0
"K00116",3081.84,925.59,2739.8,1811.18,2423.66,1494.52,440.53,1386.78,1321.03,801.29,4724.74,1550.48,776.9,3486.97,380.98,1190.93,618.33,419.55,192.87,661.6,233.21,510.79,2948.97,2859.73,3013.01,2057.45,2752.66,1676.17,1553.8
"K00117",677.55,387.17,1111.21,774.98,1019.8,369.7,185.93,410.55,512.58,369.4,2419.07,422.65,602.1,2539.52,191.5,632.24,372.49,204.13,106.83,251.32,141.83,264.42,488.65,1044.88,755.5,611.35,811.17,729.6,586.7
"K00121",3466.6,814.61,2064.98,1800.55,2939.34,2175.1,5677.85,1069.7,3551.04,4704.43,5230.83,1868.97,783.35,2692.25,427.07,1285.69,761.18,447.07,271.29,592.55,255.03,682.3,3077.62,3208.15,3536.84,2218.85,3125.13,2135.43,1915.42
"K00122",153.25,48.16,36.78,129.94,200.27,233.5,26.75,64,165.83,45.7,335.41,135.86,10.33,5,45.66,159.75,92.84,50.17,15,76.17,10.58,85.09,202.75,364.5,260,220.2,354.32,169.66,160.9
"K00123",6007.64,2887.7,9561.26,8875.81,8998.5,4241.45,12372.76,4845.11,16672.71,11749.91,17449.3,4728.78,2912.16,15714.66,1650.3,4169.13,2710.73,1453.83,1071.47,2106.62,875.14,2275.78,5610.53,9203.47,7404.77,7240.91,8660.8,6412.76,6196.96
"K00124",1329.21,492.58,1279,1235.44,1651.48,1167.11,5519.26,628.4,3246.25,4450.81,4108.05,889.68,645.53,2659.79,325.66,841.77,565.15,296.44,242.12,440.91,157.91,463.93,931.71,1708.78,1503,1379.62,1594.82,1516.75,1133.2
"K00125",63.67,16.33,31.33,37.66,46.67,51.5,5,45,5,19.33,223,109.67,0.33,22,25,56,56,24,0,43,1.67,53.67,121.99,142.66,120.66,75.33,105,63.66,22
"K00126",73.66,3.33,7,7,4.67,44,0.33,4,2.33,16,47.34,6,7,9.67,2,4,0,0,0,1.67,1,3,21.33,18.67,61.34,45,20.33,12,6.67
"K00127",1287.25,484.58,1233.95,1203.75,1618.94,1149.02,5506.37,580.29,3242.42,4420.42,3753.11,831.05,656.86,2623.96,281.99,648.1,426.15,257.67,240.12,397.43,155.47,397.18,869.07,1625.14,1363.17,1263.73,1505.19,1405.46,1108.45
"K00128",5405.62,1445.54,4482.94,4833.88,5363.46,3775.41,5849.34,2170.52,4911.99,5498.42,7248.3,4113.81,877.8,5784.41,731.74,2395.47,2022.27,921.45,538,1156.95,634.29,1335.98,4651.41,6814.07,7443.36,5166.99,7074.94,3610.39,3620.96
"K00129",26,8.5,7.17,11.17,70.33,29.17,3,9.5,0,6.5,53.5,36.17,2,3.5,4,22.5,6,1.33,0,6.17,0,16.5,9,55.83,58.5,30.66,23.33,7.33,31.33
"K00130",3192.04,911.16,2644.64,1862.55,2326.65,1690.27,568.76,1035.51,1129.84,778.29,5848.93,1899.7,853.31,3529.04,379.25,1275.81,934.81,540.3,188.4,580.09,244.5,637.01,2988.33,2970.72,2995.63,2042.35,2607.34,1934.7,1713.11
"K00131",106.9,62.03,99.59,149.03,307.06,226.84,13.63,92.08,43.35,62.1,498.95,120.92,82.67,253.11,18.5,83.02,49.55,31.93,8,34.83,7.43,45,188.33,293.03,341.2,125.99,313.92,130.66,159.44
"K00132",2,0,1,2,3,0,0,0,1,1,3,8,0,0,1,4,1,0,0,3,0,1,0,10,11,4,6,3,0
"K00133",5473.45,1696.68,5405.76,5769.39,5760.58,3525.01,6222.27,3315.65,7487.95,6150.41,10104.33,4103.57,1401.85,8348.35,1029.3,2566.69,1867.1,1010.59,613.54,1560.1,736.19,1624.38,5452.28,7341.47,6671.06,5371.8,6547.46,4896.59,4182.86
"K00134",8586.24,2497.97,7508.52,7594.83,8412.75,5093.08,16897.66,4735.35,13994.32,14673.87,14524.81,5679.71,1697.39,9504.39,1458.21,3700.14,2524.41,1456.68,974.14,2153.58,1117.76,2072.1,8316.13,10082.94,9960.34,7636.35,9492.39,7041.02,5940.95
"K00135",6304.13,2295.67,7044.39,6454.15,6321.07,4056.89,6607.53,3105.2,5601.11,6297.08,13627.11,4640.78,2904.27,13562,1226.01,3208.94,2198.38,1233.65,855.16,1747.61,908.29,1866.14,5260.58,7986.52,7255.12,5550.21,6812.53,5376.85,4761.44
"K00137",674.82,330.58,896.2,637.4,958.63,399.86,184.04,367.18,258.64,243.49,2160.89,450.16,146.57,949.51,162.09,518.23,254.16,185.49,63,210.53,106.24,258.95,488.99,1048.22,750.9,573.11,812.06,609.69,575.79
"K00138",2904.59,671.03,1951.61,1527.54,2278.66,1551.61,5438.06,852.79,3454.77,4529.1,4503.84,1441.96,726.61,2659.15,363.41,823.62,589.87,348.43,256.12,478.26,211.32,480.13,2806.65,2443.66,2689.93,1795.87,2362.07,1780.23,1532.25
"K00140",4914.59,874.26,2624.04,1938.14,2596.13,2720.86,5667.47,1227.96,3689.78,4762.12,6435.02,2179.13,751.78,2726.54,456.19,1327.08,898.46,476.97,264.25,699.32,290,794.18,4843.48,3402.42,4063.48,2570.48,3407.54,2528.66,2018.8
"K00141",449.37,261.71,816.85,446.79,366.82,272.46,138.9,194.61,228.11,178.91,1180.87,256.28,148.12,882,97.25,365.99,152.27,103.06,70.75,107.2,53.63,139,205.48,513.83,355.73,394.67,357.73,291.61,292.73
"K00145",4920.05,1503.43,4882.29,4921.93,4691.56,3138.62,5986.3,2188.49,4663.28,5481.29,8108.3,3445.54,1306.27,8218.19,899.22,2108.92,1434.03,821.98,599.62,1320.41,676.78,1321.79,4360.36,6050.71,5694.34,4464.57,5503.32,3959.07,3523.52
"K00146",1035.96,625.52,1830.78,1141.54,1279.54,562.32,314.26,567.99,727.44,546.94,3372.77,674.31,725.81,3419.06,254.08,812.74,416.51,269.01,162.83,266.94,183.63,317.79,544.95,1478.04,1058.65,916.26,1119.13,862.55,882.79
"K00147",4774.22,1485.8,4656.88,4869.97,4704.56,3085.04,6023.4,2231.32,4202.68,5469.41,8230.76,3464.6,1310.44,8155.43,890.72,2197.82,1447.22,845.87,590.79,1305.57,687.43,1357.79,4414.36,6099.09,5648.14,4383.24,5300.34,3911.25,3504.76
"K00148",69,23.32,31.57,27.41,61.17,48.41,7.25,33.49,3.92,13.91,113.09,55.33,22.66,17.17,9.66,23.66,28.83,4.84,1,11.08,7.67,11.42,37.32,83.57,69.66,72.58,79.58,83.31,49
"K00150",462.16,115.31,236.65,435.66,501.35,392.64,66.83,603.98,77.67,222.16,2034.01,746,31.33,111.17,335.16,357.99,514.49,179.83,9,413.67,46,502,719.65,1113.65,821.32,799.33,1010.64,564.3,786.67
"K00151",720.17,366.36,1035.4,745.13,1049.46,560.67,339.26,369.47,506.59,371.81,2267.15,488.45,597.43,2531.46,171.58,497.24,264.32,173.39,114.83,170.81,98,248.85,436.47,1076.62,781.03,699.68,809.74,631.97,607.29
"K00153",220.67,59.5,91.75,142.92,326.48,151.53,34.52,104.39,10.26,55.2,495.92,335.84,46.66,29.84,58.5,134.38,156.99,83.68,7,61.02,5,60.92,229.5,423.74,413.28,289.53,375.9,169.49,235.95
"K00154",1839.58,199.54,752.04,478,728.22,818.45,5196.17,276.02,2909.33,4062.5,1790.19,531.97,95.86,90.23,121.83,206.31,191.33,95.53,143.58,271.67,98.11,199.73,2115.67,687.43,1053.33,685.78,810.05,896.47,556.85
