"","MGJ1","MGJ10","MGJ11","MGJ12","MGJ13","MGJ14","MGJ15","MGJ16","MGJ17","MGJ18","MGJ19","MGJ2","MGJ20","MGJ21","MGJ22","MGJ23","MGJ24","MGJ25","MGJ26","MGJ27","MGJ28","MGJ29","MGJ3","MGJ4","MGJ5","MGJ6","MGJ7","MGJ8","MGJ9"
"K09141",981,530.32,2707.32,3192.65,1811.01,703.14,259.83,1480.65,3157.67,1028.99,2690.84,1416.49,497.33,3983.5,380.32,573.32,523.49,247.83,284,616.83,185.67,561.83,1538.15,2206.82,1809.81,1840.49,2091.65,1396.47,1759.83
"K09142",380.33,96.33,212.33,424,442,349.33,56.83,569.5,69,187.17,1863.83,656.33,20,95.5,324.17,341.33,464.33,162.5,9,379.17,44.33,464.17,597.67,863,700.5,727,943.66,468.33,639
"K09143",216.5,67,392.5,543,760.5,132,113,507.5,2749.5,510.5,83.17,163.5,37,13.5,29.5,42,43.5,11.5,1,36,3,24.5,584.5,538,501.17,527,462,253,330.5
"K09144",62,11.25,42.75,34.25,89,57.5,14,45.25,13,49.5,188.25,105,0,15,15,43,58.5,20,0,46.5,0,51,106,375.25,105.5,39.5,77.25,87.5,88.5
"K09145",219.92,67.33,122.67,339.92,319.91,244.5,39.66,520.97,50.17,143.5,1472.67,497.25,28.33,48.17,258,139.33,302.33,108.44,5,331.06,22.1,314.17,417.42,582.83,525.67,573.17,714.92,282.17,507.09
"K09146",121.58,34.75,57.25,94,258.75,105.25,17.83,54.25,8,35.33,239.75,138.25,15.25,8,29,73.75,39.25,20.25,4,31.08,3,33.75,134.42,269.5,277.33,150.83,239,96.75,113.67
"K09147",98.5,43,42.5,55.33,120.17,87.83,17.83,88.83,22,62.33,237.33,132.83,5,28.5,39.83,42.33,25.16,30.17,1,29,5,73.83,216.17,180.17,159,150.33,221.16,130.33,111.5
"K09148",346.83,99.65,215.15,413.66,440.18,338.48,59.33,580.32,70.67,197.83,1926.5,664.83,20.33,107,326.66,316.66,468.16,168,9,398.5,46,484.67,669.49,918.49,741.15,736.66,925.15,498.31,692.83
"K09149",253,70.99,135.32,339.66,303.68,270.99,39.33,511.66,57.67,151.33,1474,517,14.33,51,276.99,155,317,110.67,6,338.33,23.67,322.67,450.99,617.66,549.65,578.66,731.66,325.32,524.66
"K09150",359.33,100.65,216.65,418.66,443.68,354.98,60.83,587.82,70.67,199.83,1966.5,689.33,20.33,110.5,331.16,325.66,474.66,170.5,9,404.5,46,487.17,675.99,929.99,748.15,753.66,945.65,503.31,694.33
