"","CBN7.1","CBN6.2","CBN10.1","CBN10.2","CBN9.2","CBN13.2","CBN1.1","CBN11.1","CBN17.1","CBN12.1","CBN16.1","CBN13.1"
"K00001",152,523.08,147.5,286.08,278.66,799.4,705.58,236.5,49.33,918.5,353.34,423.84
"K00002",0,2,1,0,6,2.33,0,1,1,4,0,1
"K00003",959.9,1513.61,575.6,500.48,849.59,2322.92,748.08,430.23,688.33,1318.6,573.37,1808.21
"K00004",31.58,79.8,34.54,84.56,62.91,69.01,20.4,51.86,19.26,93.14,119.46,54.23
"K00005",526.68,798.85,196.59,984.64,178.79,328.41,388.14,641.4,356.8,713.58,255.95,606.73
"K00007",221.33,504.43,64.42,769.63,52.44,96.88,118.34,278.33,255.41,452.92,33.03,406.35
"K00008",32.65,46.7,27.6,84.4,38.6,313.03,9.5,60.45,3.5,293.1,25.2,102.7
"K00009",262.63,743.31,123.33,878.96,130.16,195.66,322.93,395.82,303.43,709.69,283.47,511.98
"K00010",1799.13,914.22,781.1,1079.84,948.1,3494.97,528.29,554.56,1479.67,1280.47,279.21,1589.46
"K00012",1191.63,2036.22,679.33,1248.04,860.82,2477.21,1038.01,792.85,981.76,1602.69,577.47,2271.32
"K00013",1246.42,2091.12,704.1,1410.57,916.78,2538.06,1075.96,826.93,986.89,1790.76,611.45,2320.43
"K00014",1731.17,2824.28,855.91,2285.66,1057.15,3076.54,1296.09,1512.27,1301.84,2487.87,870.73,3065.31
"K00015",34.8,158.73,53.2,30.13,155.2,18.73,659.33,39.4,20.33,158.2,140.4,32.4
"K00016",125.5,156,70,96.5,117.99,97.61,52,145.9,31,186.5,418.51,154.01
"K00018",38.83,78.16,30.67,70,31,42.5,8,20.67,4.33,32.33,112.83,46.32
"K00019",974.73,463.88,456.52,266.78,589.37,2037.33,771.59,331.53,659.41,322.52,132.73,770.22
"K00020",818.2,868.68,536.3,358.78,793.46,2138.02,1392.08,264.1,640.33,1050.3,432.94,828.94
"K00021",2.5,40.08,22,54.75,10,15.08,0.25,21.33,6,256,22.5,17.5
"K00023",37.5,141,63,42,118.33,11.17,650,75,28,95,44.5,56.17
"K00024",1038.73,1960.77,648.23,1298.89,834.89,2125.59,1034.26,702.65,979.76,1596.09,542.27,2123.45
"K00027",1810.53,1247.84,897.93,1123.86,1013.75,3934.87,380.93,639.35,1494.43,1282.79,555.68,1881.69
"K00029",334.23,925.61,239.73,1075.06,308.56,380.29,991.43,618.12,339.43,809.09,318.27,1503.78
"K00030",9,14,8,19,4,2,0,14,2,8,7,23
"K00031",1131.13,2147.39,652.33,1242.71,848.49,2465.71,1046.68,721.35,966.43,1918.69,607.97,2199.65
"K00033",1779.03,1541.09,901.43,1285.94,1103.42,4252.41,411.01,635.22,1505.76,1791.29,673.18,1946.02
"K00034",0.4,41.7,0.6,0.4,1.93,7.2,0,2.7,0,225.6,2.2,13.37
"K00036",1157.93,1729.54,662.03,1250.59,890.69,2746.36,1066.76,783.92,941.76,2172.39,764.21,2446.55
"K00038",702.9,279.2,355.6,140.4,433.6,1987.2,30,78.2,583,338.1,81.37,586.2
"K00039",221.33,131.43,47.42,68.63,34.44,81.88,82.34,221.33,38.41,114.92,14.03,84.35
"K00040",528.18,806.55,196.49,965.84,170.99,305.41,533.94,679.9,374.2,726.88,246.78,624.63
"K00041",239.74,956.16,125.76,1504.88,84.27,188.29,172.43,364.24,483.9,855.42,92.19,760.5
"K00042",280.11,332.91,146.1,164.77,96.42,146.27,265.18,300.76,80.42,279.29,174.5,144.68
"K00045",1.4,10.2,3.6,19.4,8.6,7.2,6,21.2,1,20.6,16.2,9.2
"K00046",68.33,567.7,54.69,789.76,82.9,124.39,206.21,178.01,249.16,656.69,137.71,402.46
"K00048",46.91,454.23,66.84,738.08,35.33,90.41,101.92,91.41,226.49,396.83,50.66,353.65
"K00050",103.79,1254.73,132.27,866.36,178.29,182.68,766.28,355.58,281.46,553.57,62.48,464.78
"K00052",1260.13,2087.97,697.83,1409.29,925.49,2797.79,1048.26,833.35,982.76,1992.19,599.47,2389.15
"K00053",1271.13,2067.22,693.33,1360.04,904.82,2520.21,1070.01,818.35,987.76,1753.69,588.97,2310.82
"K00054",23,30.33,28.5,49.83,62,58.33,24.33,105,15.33,34,186.84,141.5
"K00055",270.33,159.31,84.67,97.38,103.32,362.88,92.58,301.96,55.41,151.17,43.95,201.85
"K00057",1250.13,2206.14,704.33,1238.29,927.49,2555.46,1052.76,888.02,999.76,2058.69,751.31,2408.15
"K00058",2858.98,2739.66,1509.79,1730.52,1916.15,6053.22,1911.72,1136.63,2208.63,2738.78,702.18,3492.97
"K00059",9143.11,8003.24,4640.92,5189.71,6100.77,20452.8,5429.15,3373.62,7280.09,6719.29,3201.22,11481.34
"K00060",280.53,651.76,128.93,914.11,100.76,199.11,291.18,402.52,298.43,633.79,183.17,501.68
"K00064",236.08,520.18,71.92,772.38,61.77,110.8,99.59,284.58,256.91,482.92,42.53,412.52
"K00065",239.74,960.16,139.26,1504.88,102.77,205.79,201.43,409.24,491.4,868.92,107.53,756
"K00066",0.4,14.2,1.6,0.4,6.6,4.2,1,3.2,0,3.6,0.2,0.2
"K00067",288.32,1367.6,251.14,333.01,440.62,696,890.83,468.38,154.52,1011.17,524.75,1393.77
"K00068",270.15,626.7,131.56,873.14,131.56,217.54,296.01,385.7,307.1,551.09,187.44,489.96
"K00073",5.58,40.57,40.17,19.08,11.33,7.91,15.92,6.24,6.16,25.5,29,8.33
"K00074",4137.04,2469.29,2060.79,1032.57,2503.84,9544.32,1225.91,1284.48,3124.27,2298.41,760.97,4254.74
"K00075",1249.13,2050.64,698.33,1238.29,905.82,2504.13,1047.76,874.52,997.76,1769.69,746.31,2386.32
"K00076",6.08,191.07,40.67,29.08,17.33,56.91,18.92,29.24,6.16,311,40.33,12.33
"K00077",1407.38,2021.38,625.29,1177.66,750.94,2348.61,621.44,832.32,986.44,1421.19,696.83,1342.92
"K00082",39.5,21,7,52,17,269,1.5,45,1,102.5,67.5,92.5
"K00086",6,16,10,7,20,5,27.5,6,3,88,8.67,0.5
"K00087",5.08,40.07,39.67,22.08,13.33,7.91,18.92,6.24,6.16,42,26.33,20.33
"K00088",2700.53,2705.84,1416.43,1693.69,1795.09,6507.44,1137.26,949.92,2160.76,2979.29,926.51,3723.35
"K00090",252.73,624.11,113.73,840.56,90.89,184.63,288.93,383.12,296.43,549.09,137.77,468.95
"K00091",41,176.25,22,104.75,72,357.25,20.25,182.5,20,331,73.17,121
"K00094",171.08,45.05,43.17,20.45,21.32,10.79,51.17,46.86,6.9,30.51,29.94,12.68
"K00096",687.5,141.58,348,222.75,404,1674.58,27.25,39.33,582,96.5,24.5,529.5
"K00097",609.12,1799.73,340.59,1142.1,393.43,539.54,1133.1,1011.16,419.34,1043.1,326.5,1666.15
"K00098",12.13,53.45,23.74,49.11,36.78,45.99,19.65,85.01,11.76,53.34,55.36,59.96
"K00099",1220.13,2015.31,662.83,1185.46,849.82,2453.3,1035.43,765.52,965.43,1695.19,532.97,2254.82
"K00100",253.5,195.75,159,247.25,284.33,1203.57,686.75,151.5,48,299,278,466.17
"K00101",325.13,667.81,177.83,218.29,249.16,514.16,974.76,395.32,103.93,1064.02,228.47,345.98
"K00102",32,68.75,71,50.75,119.33,20.92,648.25,46,25,43,3,33.67
"K00103",24,160,10,15,19,314,5,19,1,291,18,84
"K00104",1571.78,1631.83,891.47,503.61,1090.46,4208.51,145.75,433.17,1248.49,1456.3,663.43,2581.6
"K00105",17,14,11,36,40,32,8,18,12,9,50.17,25.5
"K00108",985.02,496.76,516,292.84,669.85,2112.03,958.63,490.9,695.56,541.66,231.75,863.06
"K00111",2132.26,2275.7,1109.16,2189.5,1334.65,4609.03,1340.44,1200.84,1831.19,2476.38,706.94,3315.63
"K00112",255.23,624.69,114.73,883.64,92.56,197.37,314.51,379.12,296.76,568.09,139.27,478.28
"K00113",255.23,621.69,116.73,884.64,90.56,197.37,289.51,379.12,298.76,567.09,139.27,479.28
"K00114",0,28,0,0,1,0,0,3,0,2,0,0
"K00116",504.96,661.24,162.25,253.59,164.43,556.01,351.27,573.35,129.84,975.11,311.5,345
"K00117",250.9,225.45,94.06,125.39,70.56,117.29,250.76,300.45,77.6,169.59,113.94,138.46
"K00121",1063.73,1355.61,556.73,1025.56,748.56,2542.96,996.93,500.62,906.43,1768.09,455.77,1292.78
"K00122",4,9,10,0,14,5,2,11,3,9,0,0
"K00123",1806.23,3815.95,761.9,3823.16,784.63,1210.29,1844.15,2224.98,1312.93,3032.32,711,4068.67
"K00124",284.9,761.7,178.06,959.31,153.56,305.04,308.18,487.45,314.1,640.76,195.94,1464.96
"K00125",0,2,1,1,6,0,0,1,1,4.67,0,1
"K00126",0,14,0,0,1,0,0,3,0,2,0,0
"K00127",261.9,692.45,131.06,850.56,97.56,183.46,288.93,382.45,300.1,556.76,149.94,469.46
"K00128",3007.1,2485.12,1601.9,951.59,2232.39,8259.28,1538.49,746.13,2433.99,2724.4,987.8,3721.31
"K00129",0,3,1,0,7,4,26,3,0,3,0,0
"K00130",2555.15,940.59,1170.12,522.27,1407.82,5831.98,437.97,690.63,1866.97,1091.78,408.68,1973.98
"K00131",22,31.5,21,36,73.33,39.67,13,18.5,16,122,178.5,13.67
"K00132",0,0,1,0,1,4,1,2,0,1,0,0
"K00133",1266.63,2093.22,717.83,1373.04,920.82,2520.21,1076.01,826.85,1001.76,1820.69,673.64,2322.82
"K00134",2854.23,2683.57,1492.29,1664.76,1815.98,6034.6,1249.3,1274.07,2222.29,2424.28,1057.02,3563.48
"K00135",3000.39,2412.78,1456.7,1634.31,1893.82,6725.93,2380.35,1549.04,2278.67,3355.48,1077.09,2916.41
"K00137",241.72,226.66,103.4,150.84,84.45,135.03,121.83,359.1,67.66,200.66,106.85,183.26
"K00138",958.63,555.81,440.33,263.96,508.16,2122.46,283.93,341.52,659.93,869.19,321.47,725.98
"K00140",1028.74,1164.84,513.03,1067.81,715.88,2451.81,983.96,546.36,904.9,1513.36,402.32,1261.47
"K00141",222.33,134.43,49.92,68.63,38.94,98.38,59.34,234.83,41.91,129.42,18.03,94.85
"K00145",1242.13,2040.47,685.33,1221.29,904.49,2498.46,1044.76,735.35,981.76,1712.69,578.97,2277.15
"K00146",472.13,373.58,143.58,209.42,129.6,207.04,341.1,578.98,123.01,507.61,128.17,254.01
"K00147",1240.13,2191.47,689.33,1223.29,899.49,2546.46,1032.76,786.85,981.76,1954.69,591.64,2283.15
"K00148",1.8,41.4,2.2,25.8,5.2,2.4,3,8.4,0,259.87,21.4,5.4
"K00150",0,25.58,17,136.75,15,14.58,5.25,25.33,6,59,13,39.5
"K00151",251.55,234.9,92.66,140.04,75.16,118.91,281.51,308.4,78.1,422.19,137.14,150.66
"K00153",712.9,304.2,356.6,125.4,433.6,1977.2,40,53.2,586,592.1,84.7,652.2
"K00154",40.5,98.5,63,39.17,124,33.5,643.17,31,16,33.17,28.5,41
"K00156",1619.8,899.65,797.66,1057.79,907.16,3771.96,345.76,415.85,1458.6,867.69,214.64,1603.66
"K00158",33,38.5,47.5,38.5,76.33,36.67,12,88,24,16,165.84,117.67
"K00161",1480.99,1061.08,857.57,540.31,1204.75,3715.53,817.53,357.68,1252.46,1744.37,667.42,2208.22
"K00162",1473.99,877.83,834.57,448.56,1169.75,3549.95,806.28,262.68,1250.46,1404.37,654.42,1289.72
"K00163",1680.32,1208.66,849.2,1183.64,981.05,3886.93,378.63,560.3,1466.56,1264.86,394.65,1726.46
"K00164",1022.13,1148.14,571.83,1104.79,732.49,1927.16,1009.26,553.32,929.76,1162.69,517.47,1165.82
"K00166",15,117.83,12.5,27.83,37.33,14,6.33,15,9.33,129,146,21.17
"K00167",15,113.83,12.5,27.83,37.33,13,6.33,15,9.33,129,146,21.17
"K00169",30,636.58,77,157.75,77,32.58,13.25,38.33,37,266,34,63.5
"K00170",30,636.91,77,157.75,77,32.58,13.25,39.66,37,266.33,34,63.5
"K00171",26,31.33,57,108,65,12,10.5,23.33,29,142,26,51.5
"K00172",30,635.33,75,115,77,19,13,29.33,35,242,34,58
"K00174",982.5,1202.41,517,388.08,613.33,2039.58,92.58,382.33,656.33,1096.5,257.5,1720.67
"K00175",982.5,1202.41,517,388.08,613.33,2039.58,92.58,382.33,656.33,1096.5,257.5,1720.67
"K00176",142,60,45,34,22,83,10,54,7,177,14,94
"K00177",149,91,65,124,70,100,11,68,32,196,24,117
"K00179",0,7.99,19,10,14,22,9,26.99,6,51,8,27
"K00180",0,7.99,19,9,14,22,9,26.99,6,50.33,8,27
"K00183",0,0,0,0,0,2.33,0,0,0,0,0,0
"K00184",18,743.83,71,200.83,95,269.16,31.83,309,11.33,187,24,1860
"K00185",11,124.83,40,150.83,59,165.16,24.83,181,9.33,152,16,947
"K00186",0,4,2,1,12,0,0,2,2,8.67,0,2
"K00187",0,2.33,1,1,6,0,0,2.33,1,5,0,1
"K00188",0,2.33,1,1,6,0,0,2.33,1,5,0,1
"K00192",0,0.33,0,2,0,0,0,1.33,0,1.67,0,0
"K00193",0,0,0,2,0,0,0,0,0,1.34,0,0
"K00194",0,0.33,0,1,0,0,0,1.33,0,1,0,0
"K00195",0,0.33,0,2,0,0,0,1.33,0,1.67,0,0
"K00196",17,2.33,7,2,6,0,1,3.33,1,5,2,1
"K00197",0,0.33,0,2,0,0,0,1.33,0,1.67,0,0
"K00198",0,0.33,0,2,0,0,0,1.33,0,1.67,0,0
"K00200",0,2.66,1,2,6,0,0,3.66,1,6,0,1
"K00201",0,2.99,1,3,6,0,0,4.99,1,7,0,1
"K00202",0,2.66,1,2,6,0,0,3.66,1,6,0,1
"K00203",0,2.99,1,3,6,0,0,4.99,1,7,0,1
"K00204",0,2,1,0,6,0,0,1,1,4,0,1
"K00205",0,4.66,2,2,12,0,0,4.66,2,10,0,2
"K00208",1026.14,760.69,599.36,357.11,827.2,1939.49,1465.26,518.44,700.23,633.02,435.23,1709.37
"K00209",37.49,479.95,50.47,767.68,53.29,106.67,191.5,147.38,249.53,413.17,117.25,379.28
"K00210",0,6,3,0,1,1,0,0,0,0,0,0
"K00211",0,2,0,0,0,3,0,0,0,0,0,1
"K00213",0,2,3,0,1,0,0,0,0,0,0,0
"K00215",1266.13,2084.72,706.33,1404.04,956.49,2545.04,1082.01,837.35,1008.76,1817.69,699.14,2333.15
"K00216",909.73,701.11,438.73,912.56,486.89,1798.13,309.93,372.12,870.93,538.09,139.77,952.95
"K00217",0.4,0.2,1.6,0.4,6.6,4.2,1,3.2,0,3.6,0.2,0.2
"K00218",0,2,2,1,1,2,3,0,1,0,3,0
"K00219",305.48,850.86,152.73,900.14,154.56,542.71,331.01,469.37,307.93,1084.42,192.77,631.78
"K00220",27,56,43,5,112,3,646,21,13,14,0,0
"K00221",0.4,16.2,0.6,0.4,1.6,0.2,0,0.2,0,208.6,0.2,0.2
"K00223",0,2,3,0,1,0,0,0,0,0,0,0
"K00226",54,25,39,49,54,43.5,10,33,22,13,79.5,33.5
"K00227",0,2,0,0,0,3,0,0,0,0,0,1
"K00228",326.23,875.11,212.73,938.56,256.56,249.46,958.93,506.12,333.43,679.09,305.27,577.78
"K00230",261.63,633.31,123.33,869.96,104.16,188.66,288.93,395.32,299.43,570.36,159.47,483.98
"K00231",721.3,584.73,365.7,175.63,481.86,2043.87,58.83,74.6,595.33,1070.7,233.9,681.24
"K00232",53.4,45.2,10.6,37.4,18.6,271.2,6,35.2,2,296.6,66.2,97.2
"K00239",2553.03,2586.92,1356.43,1493.94,1655.09,6161.57,1088.51,845.05,2142.76,2495.12,591.17,3350.85
"K00240",2554.63,2417.72,1354.83,1410.54,1650.49,6111.04,1087.01,832.85,2142.76,2115.52,588.97,3330.15
"K00241",1724.63,2052.39,950.83,1268.54,1174.49,4025.54,1044.51,677.52,1518.76,1550.19,551.97,2663.65
"K00242",1020.13,1127.56,547.83,1102.21,662.16,2213.74,981.18,543.32,915.43,1282.69,355.47,1157.48
"K00243",47.5,163,35.5,73.5,90.33,70.17,16,112,24,146,336.34,140.67
"K00244",492.22,928.86,182.49,935.86,153.5,330.84,403.44,961.79,346,966.34,706.63,1040.27
"K00245",264.23,790.11,122.73,859.56,104.56,231.46,293.43,378.12,298.43,913.09,158.27,471.28
"K00246",262.23,781.11,122.73,852.56,100.56,231.46,292.93,375.12,298.43,828.09,151.27,470.78
"K00247",255.23,621.11,115.73,841.56,90.56,183.46,288.93,369.12,296.43,543.09,146.27,468.78
"K00248",44,60,52,122.5,70.33,314.17,19.5,111,16,96,64.67,162.17
"K00249",1103.5,1556.83,697,742.83,1213,4493.82,3312.83,548,687.33,2044.5,436.5,1533
"K00252",747.1,441.13,423.4,363.93,582.4,2095.46,718.33,176.8,603.33,1103.9,151.3,738.8
"K00253",38,99,66,37,125,35,648,39,16,29,29,35
"K00254",1032.13,1140.89,560.83,1112.54,688.16,2236.87,1001.51,546.52,906.76,1244.69,362.47,1236.48
"K00255",23,10,12,5,38,285,6,19,1,15,0,94
"K00257",3182.63,2760.98,1752.87,1002.56,2309.19,10137.14,2201.58,767.74,2465.67,3608.86,675.07,4223.74
"K00259",919.4,1461.7,536.1,376.9,765.26,2291.04,748,344.7,642,1076.1,436.04,1787.04
"K00260",6,104,6,13,33.66,11.34,6,14,7,127,137,14.34
"K00261",252.62,803.65,126.19,323.82,131.23,183.05,120.45,354.07,100.7,268.99,67.01,199.63
"K00262",1007.13,897.31,485.83,1050.29,637.16,1978.46,351.76,486.02,912.93,968.02,418.64,1046.98
"K00263",13,153.5,17,31,44.33,46.67,7,34,9,141,143,38.17
"K00265",1095.63,1449.56,575.83,1168.21,725.49,2553.91,997.68,581.32,914.43,1606.19,390.47,1332.15
"K00266",1246.63,2053.14,687.83,1291.46,876.16,2470.66,1048.43,785.65,975.43,1747.19,562.47,2321.48
"K00270",6,96,6,13,33,10,6,14,7,122,136,14
"K00271",687.5,127,345,96,415,1663,34,21,585,43.5,46.5,558
"K00273",671.5,261,329,93,395,1708,28,25,577,308.5,30.5,489
"K00274",703,295.33,344,113.33,426.66,2244.67,31.33,44,579.33,530,35,655.01
"K00275",1703.63,1275.64,890.83,1150.79,1083.16,3887.49,1027.26,602.32,1484.76,1002.19,352.97,1721.65
"K00276",230.81,170.7,93.19,95.11,65.87,114.49,100.26,261.27,50.07,204.02,64.56,107.38
"K00278",1203.13,2014.39,660.83,1207.54,848.49,2456.74,1033.01,737.32,963.76,1713.19,526.97,2260.15
"K00281",983.53,1032.51,495.43,1034.86,562.76,2222.36,346.93,465.52,888.43,1173.29,321.67,1177.18
"K00282",180,975.08,172.5,182.58,290.33,251.58,690.58,309,77.33,479,194,1081.67
"K00283",180,976.08,172.5,182.58,292.33,251.58,692.58,313,77.33,483,194,1101.67
"K00284",8,18.33,1,1.33,21,19.33,3.33,52,1.33,119,130,6
"K00285",542.56,1030.54,228.15,974.69,306.33,336.01,1034.27,729.45,355.84,848.01,416.8,653.3
"K00286",1273.12,2203.92,731.8,1266.47,965.44,2532.97,1199.26,824.23,1021.29,1874.36,801.89,2321.77
"K00287",430.03,1196.76,265.93,1073.11,391.76,645.57,985.18,648.22,348.43,1396.79,647.68,823.18
"K00290",7,1,1,1,1,4,0,8,0,4,0,0
"K00293",0,0,0,0,0,0,0,8,0,0,0,0
"K00294",719.5,398.83,361,135.33,470.33,2009,58.33,74,594.33,468.5,214.5,672.17
"K00297",1219.13,1778.31,676.33,1214.96,865.16,2446.29,1037.43,776.02,971.43,1294.19,455.47,2251.98
"K00299",990.8,541.65,482.16,320.46,556.16,2061.96,313.93,385.85,687.6,856.86,390.64,906.66
"K00301",0.8,46.98,3.2,71.88,11.2,17.98,3.58,22.4,0.33,502.2,20.4,25.57
"K00302",1.4,19.2,6.6,15.4,11.26,8.54,12,27.2,2,65.6,24.2,18.54
"K00303",1.4,22.28,9.6,58.48,16.93,27.78,16.58,40.2,3.33,91.6,27.2,28.87
"K00304",1.4,15.2,1.6,10.4,7.6,6.2,3,20.2,0,38.6,20.2,0.2
"K00305",1.4,15.2,2.6,11.4,8.6,6.2,3,27.2,0,46.6,20.2,5.2
"K00311",56,155.5,71.5,141,141,61.33,650.5,60,18,81.5,112.5,54
"K00313",32.24,576.46,152.01,811.99,66.99,60.31,84.01,86.72,242.48,448,90.99,355.49
"K00315",0,0,0,0,0,0,0,32,0,0,0,0
"K00316",5.29,27.15,7.27,28.28,15.29,14.27,11.7,55.58,9.13,19.57,29.98,40.28
"K00317",0,0,1,0,5,4,1,3,0,2,0,0
"K00318",719.83,399.41,361.67,168.75,470.33,2023.25,58.25,73.67,595.33,489.83,201.5,661.99
"K00319",0,2.33,1,1,6,0,0,2.33,1,5,0,1
"K00320",0,19.58,3,132.75,13,17.58,2.25,22.33,1,42,9,25.5
"K00322",259.23,797.11,121.73,855.56,105.56,262.46,318.93,378.12,296.43,832.09,166.27,479.78
"K00324",525.43,1412.71,356.53,1102.76,480.36,910.06,1648.93,764.72,385.43,1445.89,466.87,934.38
"K00325",404.03,1351.51,252.93,987.36,310.76,658.36,978.93,614.52,347.43,1489.29,363.67,746.18
"K00330",1827.73,2073.35,1002.23,1269.47,1208.89,4082.37,1041.84,774.45,1560.09,1488.59,405.27,2736.45
"K00331",1842.73,2080.35,1011.23,1354.47,1212.89,4084.7,1047.34,781.45,1560.09,1430.59,413.27,2766.95
"K00332",917.5,1333.49,562.5,377.16,727.33,2217.83,736.66,340.33,684.66,759,252,1805.17
"K00333",1588,1442.49,908.5,459.16,1117.33,3874.83,757.66,350.33,1266.66,783.5,261.5,2292.17
"K00334",1299.23,1922.94,691.23,1155.39,813.56,2488.79,1022.76,741.12,975.76,1495.09,392.77,2297.28
"K00335",1193.23,2012.94,661.23,1127.39,801.56,2460.12,1028.76,751.12,969.76,1583.09,386.77,2223.28
"K00336",1167.23,1865.94,638.23,1125.39,759.56,2393.79,1017.76,684.12,953.76,1345.09,384.77,2215.28
"K00337",2500.73,2192.35,1337.23,1448.47,1606.89,5739.37,1072.84,792.45,2136.09,1549.59,425.27,3258.45
"K00338",1827.73,2088.35,1005.23,1352.47,1216.89,4081.37,1046.84,774.45,1560.09,1514.59,405.27,2758.45
"K00339",1827.73,2075.68,991.23,1270.47,1207.89,4085.7,1041.84,727.78,1557.09,1488.59,405.27,2728.45
"K00340",1827.73,2086.35,992.23,1357.47,1213.89,4082.37,1042.84,735.45,1557.09,1497.59,414.27,2747.45
"K00341",1829.73,2095.35,990.23,1363.47,1217.89,4084.7,1043.34,738.45,1555.09,1582.59,421.27,2746.95
"K00342",1844.73,2088.68,998.23,1362.8,1215.89,4082.7,1048.17,737.45,1555.42,1516.59,420.27,2765.45
"K00343",1844.73,2087.35,1009.23,1358.47,1214.89,4082.37,1043.84,736.45,1560.09,1498.59,416.27,2748.45
"K00344",1796.93,1704.54,1020.53,1461.09,1354.35,4563.38,1717.26,779.72,1547.76,2157.39,607.37,2076.89
"K00346",262.82,625.38,93.39,854.31,109.23,223.55,284.84,377.21,291.94,526.59,207.61,484.13
"K00347",262.82,625.38,93.39,854.31,109.23,223.55,284.84,377.21,291.94,526.59,207.61,484.13
"K00348",262.82,625.38,93.39,854.31,109.23,223.55,284.84,377.21,291.94,526.59,207.61,484.13
"K00349",262.82,625.38,93.39,854.31,109.23,223.55,284.84,377.21,291.94,526.59,207.61,484.13
"K00350",263.32,626.88,95.89,854.31,109.23,223.55,285.84,377.21,291.94,527.09,212.61,484.13
"K00351",262.82,625.38,93.39,854.31,109.23,223.55,284.84,377.21,291.94,526.59,207.61,484.13
"K00354",6,103.5,6.5,15.5,33.33,10.67,6,14,7,127,139,14.17
"K00355",697.49,174.28,349.47,169.68,461.95,1711.01,211.5,95.21,617.53,65.17,134.08,541.12
"K00356",36,163.25,49.5,65.25,126,22.08,650.75,38,17,130.5,17.5,29
"K00360",657.4,111.2,327.6,94.4,391.6,1661.2,26,16.2,577,31.6,4.2,497.2
"K00362",1280.78,1212.35,553.39,1117.27,637.72,2569.88,596.27,691.2,953.2,1252.11,545.41,1335.1
"K00363",998.13,1001.14,487.33,972.12,555.49,2452.16,329.09,387.32,880.26,1005.02,350.97,1171.82
"K00364",271.23,731.61,134.73,872.56,138.89,195.13,296.93,455.62,308.43,669.09,414.61,587.95
"K00365",694.9,119.2,333.6,121.4,408.6,1929.2,26,34.2,577,43.1,22.7,566.2
"K00366",0,3,0,83.5,1.33,27.83,0.5,21,0,50,0,9.17
"K00367",0,0,0,0,1,0,0,3,0,2,0,0
"K00368",1,15.33,0,8.33,0,4.26,2.33,1.4,0.33,0,0,6
"K00370",480.64,908.11,200.32,934.1,146.16,280.72,390.02,613.39,343,937.34,193.63,568.13
"K00371",480.64,908.11,200.32,934.1,146.16,280.72,390.02,613.39,343,937.34,193.63,568.13
"K00372",943.05,483.49,411.66,279.46,506.83,1824.83,298.09,299.08,654.77,358.02,293.64,693.15
"K00373",480.64,908.11,200.32,934.1,145.16,280.72,390.02,610.39,343,935.34,193.63,568.13
"K00374",480.64,909.11,212.32,934.1,147.16,284.72,391.02,612.39,346,937.34,193.63,569.13
"K00375",1958.35,1828.46,920.45,1967,1219.11,3732.5,1781.53,995.39,1852.46,1756.77,682.7,2124.9
"K00376",0,0,0,0,1,2.33,0,51,0,2,0,0
"K00380",305.23,777.61,135.73,893.56,159.89,464.13,321.93,391.12,300.43,701.09,369.27,580.95
"K00381",317.23,924.11,198.73,938.56,279.56,230.46,974.93,462.12,317.43,736.09,406.27,544.78
"K00382",2791.11,3677.92,1567.37,2634.7,2113.53,6709.88,2063.21,1215.11,2495.42,3947.23,1334.64,4164.15
"K00383",344.23,793.44,225.23,1001.06,306.56,256.96,962.93,501.95,334.43,624.59,367.28,582.28
"K00384",2227.93,2966.45,1245.53,1792.67,1706.68,4842.94,1809.34,1293.25,1682.09,3423.89,1513.22,4344.56
"K00385",0,3,0,0,0,0,0,0,1,0,0,1
"K00387",0,5,1,0,5,4,1,3,0,9,0,0
"K00389",943.64,466.36,451.86,218.28,501.87,2100.49,145.43,303.94,638.4,544.02,134.39,750.7
"K00390",1043.13,1252.05,604.33,1164.04,755.49,2352.24,1015.51,673.98,918.76,1196.19,509.97,2148.65
"K00392",712.9,296.2,358.6,123.4,439.6,1997.2,44,99.2,587,383.1,87.7,648.2
"K00394",0,1,11,0,1,0,0,0,3,1,0,1
"K00395",0,1,11,0,1,0,0,0,3,1,0,1
"K00399",0,2.33,1,1,6,0,0,2.33,1,5,0,1
"K00400",0,4.66,2,2,12,0,0,4.66,2,10,0,2
"K00401",0,2.33,1,1,6,0,0,2.33,1,5,0,1
"K00402",0,2.33,1,1,6,0,0,2.33,1,5,0,1
"K00404",66.5,256.5,77,87,155,42.5,658.5,45,18,129,126.5,67.5
"K00405",66.5,242.5,77,87,155,42.5,658.5,45,18,129,126.5,67.5
"K00406",66.5,264.5,87,90,162,60.5,671,110,23,76,137.5,102
"K00407",40.5,165.5,63,47,140,36.5,648,26,16,28,95.5,41
"K00411",73.5,262.5,93,104,164,44.5,660.5,130,37,219,175.5,103.5
"K00412",73.5,262.5,93,104,164,44.5,660.5,130,37,219,175.5,103.5
"K00413",73.5,262.5,93,104,164,44.5,660.5,130,37,219,175.5,103.5
"K00425",1785.01,2387.32,860.37,2174.46,992.14,2713.86,1583.02,1575.77,1344.71,2500.12,1049.72,2918.25
"K00426",1772.31,2375.52,838.17,2166.06,981.47,2711.63,1441.22,1566.97,1318.31,2495.52,1012.62,2914.42
"K00427",230.41,171,85.59,87.71,46.6,98.96,97.26,236.07,48.07,145.42,44.36,96.35
"K00428",30.08,237.07,83.17,71.08,64.33,80.74,42.92,168.24,13.16,134.5,82.83,67.33
"K00432",1080.62,1220.76,597.3,1162.14,791.28,2248.8,1184.43,640.4,960.46,1105.36,633.89,1319.43
