"","CBN7.1","CBN6.2","CBN10.1","CBN10.2","CBN9.2","CBN13.2","CBN1.1","CBN11.1","CBN17.1","CBN12.1","CBN16.1","CBN13.1"
"K18990",36.5,88.5,50,17,116,19.5,646,21,15,18,15.5,2
"K18991",220.83,129.93,44.92,68.63,34.44,81.88,81.34,221.33,38.41,114.42,9.03,84.35
"K18996",0,0,0,0,0,0,0,8,0,0,0,0
"K18997",248.9,629.45,122.56,850.39,89.06,174.46,287.76,368.95,291.1,536.09,129.94,465.96
"K19000",261.23,646.11,120.73,864.56,106.56,183.46,295.93,412.12,305.43,548.09,151.27,495.78
"K19002",21,20,25.5,45.5,53,36,10,91,15,11,182.84,117.5
"K19005",30,121.5,35.5,65.5,76.33,42.67,15,174.5,24,34,321.51,235.67
"K19033",0,8,2,7,1,13,0,17,0,10,0,22
"K19046",675.58,142.07,366.67,104.08,402.33,1668.91,35.92,19.24,584.16,41.5,35.83,493.33
"K19048",30.9,49.02,19.81,30.43,18.29,39.92,173.75,39.97,32.69,35.83,90.58,25.92
"K19049",0,2,0,0,0,3,0,0,0,0,0,1
"K19055",295.91,276.5,174.59,144.88,235.6,158.96,758.43,271.57,82.57,178.59,135.7,143.85
"K19056",3,3,0,0,2,0,25,0,0,1,4,0
"K19060",0,3,0,0,2,0,25,0,0,1,0,0
"K19061",0,6,0,0,4,0,50,0,0,2,0,0
"K19062",23.4,14.2,6.6,5.4,9.6,261.2,0,1.2,1,9.6,1.2,73.2
"K19068",0,3,0,13,0,0,1,0,0,1,0,0
"K19074",0,2,15,4,3,0,4,0,5,18,4,14
"K19075",4,18.66,0,21.33,8,0.33,2.33,50.33,0.33,166.33,38,7
"K19076",17,1.66,19,2.33,1,0.33,1.33,51.33,5.33,1.33,2,8
"K19085",0,2,17,5,3,0,4,0,7,18,4,15
"K19088",2,9.33,0,14.33,5,0.33,1.83,49,0.33,83,31,6.5
"K19089",0,2,15,4,3,0,4,0,5,18,4,14
"K19090",4,18.66,0.5,23.83,8,0.33,2.33,50.33,0.33,166.33,40,7
"K19091",24,182.33,9,29.33,18,51.66,7.83,64,0.33,534,52,8.5
"K19092",33.98,248.09,49.98,51.01,26.62,75.33,166.17,34.71,30.85,338.33,107.57,28.25
"K19096",220.83,126.93,44.92,68.63,32.44,81.88,56.34,221.33,38.41,113.42,9.03,84.35
"K19114",17,0,6,2,1,0,1,4,0,2.67,2,0
"K19115",17,0,6,2,1,2.33,1,4,0,2.67,2,0
"K19116",17,0,6,2,1,2.33,1,4,0,2.67,2,0
"K19117",0,0,1,1,0,6,0,0,0,0,0,2
"K19118",0,0,1,1,0,6,0,0,0,0,0,2
"K19119",0,0,1,1,0,6,0,0,0,0,0,2
"K19120",0,4,0,0,0,1,0,0,0,0,0,0
"K19121",0,4,0,0,0,1,0,0,0,0,0,0
"K19123",675.58,142.07,366.67,104.08,402.33,1668.91,35.92,19.24,584.16,41.5,35.83,493.33
"K19124",675.58,143.07,366.67,121.08,404.33,1669.91,36.92,28.24,584.16,44.5,72.83,496.33
"K19125",675.58,143.07,366.67,121.08,404.33,1669.91,36.92,28.24,584.16,44.5,72.83,496.33
