"","DS_1A","DS_1C","DS_1E","DS_2A","DS_2C","DS_2E","DS_3A","DS_3C","DS_3E","FS_1A","FS_1C","FS_1E","FS_2A","FS_2C","FS_2E","FS_3A","FS_3C","FS_3E"
"K00001",9021.08,7240.64,10728.28,4204.27,6669.4,7043.28,6615.26,7440.88,6653.02,10701.75,5234.54,13056.24,13771.54,10211.65,1232.4,11637.67,9846.04,8785.8
"K00002",29.66,19,36.66,19.5,28,20.33,34.84,37.34,33.17,24.84,17.16,26.5,31.67,22.66,0.33,31.33,31.34,25.5
"K00003",14096.66,11436.74,17411.49,6973.48,10715.1,11699.8,11172.32,13440.84,11727.19,14599.38,7324.22,19165.06,17616.23,13001.95,1493.59,17436.45,14179.01,13308.62
"K00004",729.959999999999,444.38,967.349999999999,512.18,602.16,638.069999999999,620.339999999999,763.42,673.29,852.22,532.29,1010.31,1066.42,706.48,48.52,802.41,794.35,703.33
"K00005",1680.74,1052.85,2302.55,1356.62,1537.79,1554.92,1532.66,1897.56,1805.27,1589.21,1011.63,2255.16,1900.44,1375.15,45.4,1731.19,1784.33,1519.87
"K00006",7,4,24,7,11,25,16,22,14,0,2,1,2,2,0,5,1,3
"K00007",431.95,321.25,656.6,378,428.01,484.18,401.52,545.02,505.33,583.08,257.98,817.69,672.93,447.78,59.18,471,492.06,456.53
"K00008",8065.83,7377,9573.79,2942,5064.18,5726.85,6687.72,7858.12,7053.16,8505.64,3340.36,11269.56,9714.43,7035.57,1005.88,9673.97,7626.83,8128.55
"K00009",1633.31,976.2,2205.1,1211.06,1381.12,1511.59,1356.46,1675.92,1501.54,1517.13,931.72,2425.33,1889.58,1202.33,71.27,1517.73,1467.79,1391.03
"K00010",3405.68,2556.42,4734.29,2407.28,2833.56,3277.62,3958.5,4473.17,4233.86,4343.34,2316.8,6584.88,5616.75,3446.64,541.71,4228.39,3972.77,3574.09
"K00011",1761,1791,1673,346.5,899.5,715.5,813,917,788,1633.5,508,1834,1699,1342.5,131,1746,1304,1667
"K00012",16153.85,13247.84,20165.16,8251.69999999999,12376.33,13839.48,13067.8,15448.19,13685.46,17550.67,8798.35,23414.92,22122.7,16160.6,2042.2,22026.57,17661.57,16376.29
"K00013",15540.71,12543.86,19385.74,7989.34999999999,12081.2,13224.44,12564.91,15107.21,13301.63,16408.83,8312.61999999999,21834.79,19888.19,14516.55,1702.93,19917.18,16219.78,15223.59
"K00014",17665.93,13575.65,22676.26,9911.68999999999,14378.24,15811.17,14745.21,17567.04,15471.92,19813.15,10315.68,26128.46,25016.66,18112.47,2144.95,23478.1,19431.54,17622.48
"K00015",4531.97,3415.09,5592.26,2109.47,3168.81,4100.85,3628.92,4242.01,3416.78,5535.84,2594.39,6772.49,6780.28,5149.08,632.47,6802.3,4988.17,4720.27
"K00016",1809.61,1174.81,2512.28,1295.4,1564.76,1878.32,1649.8,2046.74,1636.57,1457.96,977.01,2220.7,1910.01,1328.51,56.79,1722.47,1574.98,1503.79
"K00018",1893.11,1530.18,2098.23,841.62,1622.43,1506.57,1046.94,1005.03,1108.26,2158.82,1287.28,3402.28,2867.74,1797.83,234.59,2302.39,1837.94,1930.11
"K00019",7108.97,5633.22,9129.96,3571.25,5320.71,6420.2,5736.87,6219.66,5832.72,8565.61,3909.14,10912.86,11779.17,8928.83,1407.5,10387.28,7876.43,6849.26
"K00020",15867.64,12194.83,19967.68,7791.71,12038.6,13779.79,11950.96,13333.45,11736.1,18047.04,8924.62,23984.32,24413.65,18311.3,2532.03,21277.83,16661.93,14660.93
"K00021",531.41,251.09,673,323.45,404.82,406.87,388.76,595.42,475.37,194.18,122.45,250.23,295.71,218.41,6,240.53,245.8,201.11
"K00023",4069.45,2920.39,4813.18,1825.29,2858.12,3656.22,2423.41,2599.28,2383.44,4761.24,2009.98,5562.94,6422.95,4940.88,785.44,5142.28,3797.92,3400.23
"K00024",14536.81,11801.75,18164.71,7412.97999999999,11153.52,12530.1,11553.77,13878.88,12133.57,15281.47,7560.2,20711.28,18839.21,13719.89,1650.88,18645.96,15090.32,14143.9
"K00027",8194.27,6522.94,10257.32,4632.32,6042.59999999999,6991.88,7539.85,8826.08,8037.09,8539.01999999999,4233.55,12412.3,10222.06,6995.54999999999,995.32,9467.62999999999,8295.94,7530.17999999999
"K00028",20.5,6.75,37.75,8,8,40,17.25,15.25,27.25,2.67,0.5,1.5,2.25,1.33,0,2.5,1.5,1.75
"K00029",8339.91000000001,6214.76,10067.72,4066.09999999999,6717.36,7412.86000000001,5177.57999999999,5851.13999999999,5266.15999999999,9362.29,4549.49,11939.7,12347.58,9376.56000000001,1181.98,9731.75,7712.01,7071.4
"K00030",2776.47,2860.36,3345.56,798.9,1619.06,1824.57,1872.12,2152,2015.11,2656.68,896.4,3206.38,2894.25,2380.3,272.43,3434.33,2463.52,2833.19
"K00031",15267.38,12204.68,18582.33,7723.30999999999,11609.07,12753.71,11741.08,13900.58,12075.72,16046.65,8074.32,21779.77,19875.37,14324.74,1758.31,19267.07,15557.33,14433.44
"K00032",0,0,0,0,0,0,0,1,0,4,0,2,3.67,0.67,1,0,0,1
"K00033",14114.92,11960.42,17645.8,6783.81999999999,10257,11505.77,11215.7,13048,11576.31,15329.53,7139.16,20896.88,18756.24,13886.01,1820.84,18205.46,14916.89,14387.67
"K00034",3098.63,2935.06,3522.38,987.160000000001,1953.09,1871.2,1784.11,2071.32,1882.02,3160.25,1147.48,3728.38,3550.2,2914.9,284.41,3284.5,2531.91,2769.92
"K00035",697,646,896,256,599.5,617.5,395.5,427.5,359.5,1090,456,1171.5,1354.34,1133.17,112.5,852.5,699.5,641.5
"K00036",14011.48,11338.23,17295.88,6979.03999999999,10535.65,11495.91,11109.45,12559.07,11556.88,15000.98,7178.94,21292.91,18919.65,13871.04,1925.08,17075.35,14181.56,13142.55
"K00038",1403.63,979.51,1862.91,909.96,1205.53,1246.66,1090.38,1253.57,1107.06,1796.65,985.25,1855,2266.11,1647.6,112.66,1784.22,1600.26,1320.65
"K00039",402.32,351.76,641.93,369.33,419.31,461.22,391.07,485.39,462.88,509.98,270.89,755.88,614.53,427.31,30.42,498.21,494.72,464.69
"K00040",2136.32,1492.34,2952.07,1573.61,1969.33,2088.93,1903.05,2303.56,2092.05,2455.07,1359.43,3437.79,2836.94,1918.82,128.17,2077.55,2068.96,1932.93
"K00041",853.86,569.93,1230.51,674.67,814.76,940.96,811.54,1013.53,947.24,873.48,471.38,1287.43,1013.09,745.6,59.72,731.79,748.42,729.08
"K00042",5175.81999999999,3828.45,6500.43999999999,2608.89,3650.3,4419.25999999999,4269.26,4698.88999999999,4293.24999999999,6064.66999999999,2873.91,7587.23999999999,7977.86999999999,5729.48999999999,768.47,6925.86999999999,5369.28,5015.23999999999
"K00043",0.25,0.25,0.5,0.75,0.5,0,1.75,0.25,0.5,4.25,0,1.25,1,0.25,0,0.25,0.25,0.25
"K00045",327.5,221.65,504.38,266.35,242.16,343.16,441.95,566.71,502.59,420.37,278.33,557.03,531.51,313.83,15.83,357.7,309,325.7
"K00046",5963.99999999999,4743.55,7317.67999999998,2652.28,4226.46,4742.79,4069.22,4614.33,4067.34,6825.14999999999,3006.48,8441.86999999999,8792.91999999999,6577.99999999999,870.65,7687.87999999999,6031.22,5594.43
"K00048",239.65,194.61,435.06,224.78,279.14,300.32,341.72,408.65,300.34,231.12,158.15,313.79,285.83,161.9,3.89,217.08,245.37,228.93
"K00050",8136.77,6393.85999999999,9060.52000000001,3316.89,5648.03999999999,5930.58,4999.46999999999,5860.90999999999,5004.98999999999,8389.37,3653.37,9398.49000000001,9678.06000000001,7630.94000000001,829.9,9913.1,7419.45,7466.86
"K00051",10,7,10,1,1,0,0,1,2,9,5,7,8,5,1,35,17,22
"K00052",16591.02,13419.53,20754.3,8367.65999999999,12932.02,13991.28,13176.84,15813.49,13889.41,17908.86,9149.29,23497.75,21811.09,15835.37,1768.56,21326.86,17376.25,16327.75
"K00053",15375.52,12507.58,19183.03,7876.76999999999,11966.93,12981.02,12442.85,15024.68,13166.89,16267.55,8270.69,21706.22,19623.58,14415.24,1673.25,19686.63,16123.31,15095
"K00054",1117.54,653.56,1374.5,580.44,785.9,1006.96,760.5,1038.9,678.68,1255.42,733.5,1315.04,1345.48,953.76,75.32,1204.91,1071.96,1070.54
"K00055",992.1,683.44,1420.99,670.97,745.16,860.04,914.49,1080.34,906.35,1615.43,982.78,2087.04,2011.21,1129.13,67.46,1271.02,1289.65,1214.1
"K00057",15421.43,12594.99,19356.23,7968.68999999999,12018.45,13256.9,12390.41,14660.4,12984.09,16236.48,8317.36,21656.8,20149.98,14623.98,1703.05,20130.05,16343.45,15252.8
"K00058",26922.09,21526.91,33766.13,13389.47,20691.99,23232.67,20983.29,24666.35,21568.78,30608.25,14771.55,38488.36,38108.85,28626.08,3506.32,35448.95,28800.28,26205.03
"K00059",83633.6900000002,68611.66,104563.16,41048.23,62623.1800000001,69436.0400000001,68216.4500000001,78752.4800000001,70625.6600000002,91147.4100000001,43687.96,123163.81,115973.65,85872.5600000002,11692.57,112300.26,89744.2900000001,82776.6600000001
"K00060",3419.87,2958.27,4049.2,1622.4,2394.15,2409,2367.14,2778.16,2533.56,3274.43,1297.61,3985.58,3714.77,2896.84,272.9,3239.8,2797.6,3010.92
"K00064",2753.13,2114.98,3605.01,1367.25,2270.7,2436.66,1933.13,2181.1,2068.37,3558.08,1620.24,4062.17,4410.7,3606.34,336.26,3184.46,2688.4,2373.85
"K00065",3786.36,2894.82,4842.5,1856.3,2760.55,3183.54,2815.93,3086.26999999999,2809.71,4195.58,1943.07,5447.86,5804.25,4425.01,582.83,5158.72,4028.21,3676.18
"K00066",148.02,90.84,165.21,105.91,97.57,103.34,134.47,142.08,111.57,291.64,184.92,371.61,356.09,169.93,11.5,189.38,205.25,196.05
"K00067",14619.49,11664.91,18115.09,7244.40999999999,11320.28,12342.72,11482.97,14011.95,12170.8,15608.93,8052.68,20117.48,18937.41,14238.29,1618.05,18953.13,15334.94,14253.55
"K00068",925.99,581.92,1348.65,757.89,853.02,943.76,848.85,1071.73,941.889999999999,981.17,638.09,1362.83,1202.34,838.34,27.98,1037.32,1072.77,959.33
"K00073",116.34,94.43,248.65,111.6,115.3,187.82,156.16,214.27,124.49,134.24,99.74,186.98,174.7,138.71,3.29,129.24,149.29,134.28
"K00074",17757.09,13570.66,22492.29,9675.96999999999,13859.91,15355.88,15662.26,17960.13,16115.6,19432.08,9952.26999999999,26905.05,24988.69,18149.22,2206.69,22817.52,19128.45,16964.97
"K00075",14639.77,11763.11,18339.85,7640.81999999999,11533.11,12658.25,12087.59,14325.93,12742.77,15314.95,8048.49,20991.58,19143.92,13965.99,1657.65,18980.17,15524.56,14321.42
"K00076",359.18,258.01,453.82,275.25,270.31,323.66,279.34,383.94,352.5,266.33,173.82,263.4,342.79,247.79,12.62,440.41,375.55,281.28
"K00077",12684.9,9806.56999999999,15967.02,6940.14,10188.33,11153.26,9458.09999999999,10954.82,9564.89999999999,14410.18,7196.86,18912.1,17935.5,13271.38,1673.01,15672.71,13010.7,11703.44
"K00082",861,722.19,1205.43,693.13,803,797.65,1037.82,1109.9,1121.62,1123.5,659.77,1945.26,1454.25,1012.53,245.66,1103.74,1093.7,870.66
"K00086",176.08,109.5,146.67,74.5,100.75,122.67,99.5,115.08,99.1,341,213,428.73,407.09,193.64,12.25,228.47,225.59,241.42
"K00087",73.93,50.6,256.24,72.43,52.31,117.41,130.42,214.27,145.58,59.74,76.49,89.82,97.37,71.13,0.29,58.75,35.14,62.53
"K00088",18647.17,14807.73,23451.27,10282.37,14776.92,16110,15871.39,19029.95,16947.46,19811.2,10109.26,26956.36,23940.56,17352.25,2254.16,23380.22,19632.27,18020.72
"K00090",998.449999999999,666.23,1445.65,767.46,891.259999999999,965.86,812.48,1063.85,944.169999999999,1048.3,523.16,1436.18,1237.88,857.83,103.49,764.73,819.93,735.48
"K00091",5385.52,4554.57,6203.57,1898.13,3663.69,3818.42,3049.53,3453.79,2965.85,6410.08,2694.66,6798.87,8119.47,6571.54,750.04,7440.57,5978.77,5564.8
"K00094",134.5,106.27,266.15,137.5,134.5,229.35,164.25,212.45,167.84,157.13,104.84,207.63,188.14,136.13,3.25,153.63,130.1,151.41
"K00096",1300.02,918.66,1666.23,898.23,1116.42,1148.91,1319.55,1836.58,1511.58,1498.18,705.86,2132.68,1482.07,1142.48,245.83,1378.37,1351.25,1197.79
"K00097",10832.33,8753.91,13740.2,5898.63999999999,8866.01,9987.85000000001,8196.54999999999,9790.88999999999,8614.64,12331.02,6297.64,16124.85,15249.58,11141.81,1284.23,14553.82,11739.25,10843.23
"K00098",1109.18,898.309999999999,1595.55,633.219999999999,924,1096.56,783.729999999999,889.489999999999,755.17,1570.58,809.619999999999,1628.87,2026.32,1478.52,92.15,1219.37,1099.47,1004.56
"K00099",13950.74,11445.06,17542.68,7277.70999999999,10830.04,11927.46,11493.25,13712.37,12127.09,14716.19,7425.16,19351.04,17982.44,13276.07,1536.83,18078.09,14618.43,13541.38
"K00100",13863.59,10516.13,18039.03,6397.28,10622.79,12207.08,9575.84,10476.7,9248.87,17921.24,8983.33,21049.35,23992.72,18275.75,2206.82,19639.26,15891.29,13685.09
"K00101",5159.88999999999,3530.14,6454.53999999999,2852.33,3642.76,4504.75999999999,3787.2,4282.28999999999,3806.02999999999,5443.98999999999,2634.44,6956.41999999999,7324.97,5416.88999999999,680.65,6278.9,5034.58,4379.87999999999
"K00102",4458.46,3594.22,5646.22,1857.18,3369.05,3831.48,2833.71,3193.23,2677.15,5377.12,2419.57,5880.02,7273.86,5801.67,691,6369.97,4661.75,4142.11
"K00103",679.17,440.16,855.34,384.16,529,617.07,930.08,1029.99,915.17,687.67,391,1025.33,1039.34,574,79,939.17,842.67,633.5
"K00104",15505.23,12809.21,19147.72,7339.24,11257.15,12694.92,11676.94,13929.02,12151.38,16630.4,7653.19,21046.57,19341.2,14371,1764.04,19072.23,15330.39,14704.14
"K00105",216.82,110.82,246.25,117.16,185.52,189.24,138.85,187.5,147.99,212.16,170.67,220.66,304.32,227.81,9,318.49,343.69,249.41
"K00108",8935.15999999998,6671.95,11189.96,4451.3,6948.68999999999,7656.96999999999,6850.74,7398.46999999999,6804.73999999999,11296.25,5542.4,14103.26,15017.91,11422.63,1403.35,11217.35,9645.41999999999,8195.69999999999
"K00109",235.5,203,297,105,153,234,557,563.5,534,261,100,548.5,481,259,61,370.5,354.5,229.5
"K00111",15530.12,12397.29,19729.84,8374.25999999999,12188.44,13274.73,13583.82,15826.91,14423.33,16658.97,8618.19999999999,23265.17,21143.37,15585.94,1917.19,19797.26,16684.04,15000.89
"K00112",707.43,487.83,1010.78,613.36,678.96,682.66,717.34,891.56,839.269999999999,764.35,471.06,1139.62,868.62,614.1,21.65,759.52,762.08,693.29
"K00113",913.409999999999,662.3,1320.08,705,866.44,852.31,923.47,1118.53,1039.43,1083.32,621.529999999999,1720.93,1173.95,928.94,57.8,1081.99,1064.03,920.6
"K00114",3750.18,3550.99,4738.17,1395.17,3088,3130.26,2363.25,2354.83,2375,5035.35,1995.84,5975.66,6426.34,5303.67,656.51,6175.34,4865.84,4466.34
"K00116",2942.51,1887.35,3877.44,2035.23,2608.59,2742.25,2344.8,2848.54,2540.21,3150.88,1950.85,4219.42,3907,2845.17,120.02,3104.38,2955.49,2606.95
"K00117",2975.88,2955.37,3917.37999999999,1422.57,2806.43,2473.16,2067.94,2183.11,2285.29,3862.26999999999,1533.23,5235.21999999999,4696.71999999999,3844.66999999999,407.97,4091.54999999999,3709.12999999999,3627.66
"K00118",69.66,50.34,79.16,38.83,90.84,43.49,34,44,36.33,104.84,70,176,134.83,102.82,5.83,75.34,62.67,62.16
"K00121",10168.3,7425.12,12683.88,5387.53999999999,7692.53,8903.98000000001,7711.47,8570.81999999999,7884.2,12194.77,6324.49,16510.56,16074.17,11263.17,1384.28,13054.35,10914.91,9615.91000000001
"K00122",2054.55,1531.27,2511.13,901.4,1375.23,1790.89,1348.2,1501.84,1327.86,2526.3,1172.7,2737.03,3547.46,2638.02,383,3380.41,2503.3,2157.99
"K00123",16490.52,12696,21214.29,9078.81,13030.59,13917.63,13339.41,15969.23,14591.37,17106.25,8401.52,22114.84,20435.53,15605.37,1695.13,19719.71,16216.05,14879.17
"K00124",5852.59999999999,4329.38999999999,7567.27,3031.42,4509.08999999999,5353.89,4358.51999999999,4950.24999999999,4596.32999999999,6239.86,2882.51,7740.77,8253.79,6536.57,957.31,7360.41,5669.89999999999,4860.02999999999
"K00125",14.98,7.32,25.33,7.33,9.67,7.83,15.16,24.83,31.83,16.99,6.66,12.33,10.5,10.66,0.33,21.5,22.48,20.34
"K00126",2114.13,1742.99,2558.67,811.67,1449.2,1785.46,1514.45,1650.13,1371.45,2942.93,1277.09,3483.64,3983.08,3107.14,518.76,3800.79,2785.84,2412.34
"K00127",4596.49999999999,3238.08,5798.70999999999,2332.64,3471.89999999999,4162.30999999999,3061.41,3452.23,3042.58,5128.47999999999,2317.31,5920.82999999999,6748.08,5361.31999999999,700.49,5613.11,4367.99999999999,3832.24999999999
"K00128",26551.79,20522.24,32995.38,13776.51,19827.2,22945.22,22871.35,26194.37,23166,30016.68,15200.82,40392.31,39913.35,28344.93,4071.92,37434.6,29943.1,26528.65
"K00129",144.33,76.33,191.84,68.66,104,100,117,125.5,104.5,281,183,338,343.17,172.83,9,199,199,201
"K00130",6331.51,4521.92,7902.90999999999,3896.4,4784.74,5436.3,7214.15,8055.04,7245.76,8267.19,4546.43,12905.34,11005.79,6592.06,986.03,7696.03,7460.81,6360.19
"K00131",797.98,455.73,863.8,382.74,740.41,638.49,466.77,574.44,405.1,1108.43,762.59,1634.65,1480.9,834.79,35.75,1073.52,1044.32,980.53
"K00132",5.75,5.75,7,3.25,4.25,16,3.25,5.5,4.5,4,7,11.25,6.5,4.75,0,3.75,5,6.75
"K00133",18815.99,15683.72,23078.35,9060.91999999999,14332.75,15220.71,14281.08,17125.4,14898.01,19759.42,9606.71,25733.24,23764.96,17720.25,1995.14,23308.5,18996.38,18249.26
"K00134",18216.9,14342.65,23103.69,10036.44,14515.84,15755.94,14589.29,17469.35,15322.12,18997.61,10218.76,25888.47,23295.95,16788.94,1850.07,22526.23,18735.45,17583.46
"K00135",19818.36,14995.74,24568.55,10800.63,15347.58,17137.11,16309.18,18624.62,16774.31,22715.86,11425.49,30370.7,29514.78,21055.64,2708.43,24848.97,21066.01,18833.02
"K00137",988.29,701.38,1329.6,747.6,841.699999999999,960.54,1251.26,1415.06,1348.19,1247.66,695.64,1875.87,1656.49,1038.19,90,1229.57,1193.61,1048.34
"K00138",4872.82999999999,3497.29,6246.08999999999,2639.36,3846.8,4177.09999999999,3597.25,4075.22999999999,3576.93999999999,5624.26999999999,3067.33,7264.76999999999,7521.87,5490.79999999999,644.29,6616.39,5370.17999999999,4799.02999999999
"K00140",8992.87999999999,6484.89,11075.4,4889.44,6957.2,7913.88999999999,7086.82,7770.20999999999,7236.62999999999,10290.17,5434.15,14920.91,13716.31,9555.65999999999,1351.07,11049.23,9550.37999999999,8523.91999999999
"K00141",1084.51,834.18,1704.38,768.9,916.3,1151.07,1349.01,1565.86,1419.92,1375.05,657.99,1999.24,1807.67,1194.7,167.52,1197.59,1204.41,1030.41
"K00145",15581.9,12588.52,19243.17,7845.23999999999,12103.7,13070.39,12225.72,14516.4,12828.53,16566.15,8358.87,21813.85,20104.67,14926.24,1707.29,19908.22,16299.51,15245.11
"K00146",1690.52,1223.56,2230.43,1179.65,1403.68,1515.25,1925.05,2218.69,2093.91,2181.29,1185.52,3257.82,2807.14,1734.47,177.48,2268.49,2019.07,1863.97
"K00147",12350.04,9691.51,15634.97,6689.81999999999,10016.17,10760.19,10132.24,11900.01,10707.82,12735.43,6751.61999999999,17772.73,16155.62,11631.43,1427.13,15483.76,12784.53,11521.32
"K00148",1000.3,867.82,1408.88,474.25,838.87,783.81,1281.72,1506.1,1374.44,899.03,332.23,1322.39,1272.79,922.65,147.75,1310.72,1004.92,911.18
"K00150",740.31,437.99,821,405.5,538.18,537.16,597.83,969.83,700.16,809.32,378.82,738.66,629.17,448.64,22.33,635.67,601.5,607.49
"K00151",1189.14,900.18,1744.85,812.96,1058.9,1168.49,983.889999999999,1185.96,1061.71,1519.53,757.73,1861.8,1892.62,1539.03,116.95,1289.03,1307.56,1123.28
"K00153",1163.91,853.18,1616.97,939.4,1031.47,1084.17,1371.03,1517.53,1534.94,1257.03,682.18,2096.45,1597.35,1149.1,250.49,1385.35,1402.2,1070.36
"K00154",1523.53,1014.22,1813.9,836.46,1346.91,1287.17,719.61,894.89,817.06,1619.62,892.21,2022.05,1993.46,1749.4,161.42,1262.81,1242.48,996.96
"K00156",7238.15000000001,6025.97,8738.53000000001,3270.56,5311.76,5556.14,5549.76999999999,6224.75999999999,5733.32,8374.32000000001,3596.40999999999,10472.77,10551.77,8203.49000000001,1132.06,9377.36,7797.37000000001,6990.45000000001
"K00158",373.97,245.84,502.96,252.23,285.16,415.05,323.04,432.09,339.86,343.71,243.54,423.65,454.78,347.18,25.92,409.81,463.24,334.33
"K00161",13801.52,11074.83,17850.04,7451.42999999999,10596.96,12116.13,12367.74,14468.93,12599.41,15542.04,7754.78,21631.2,20494.06,14763.77,2156.52,20554.44,16221.13,14510.99
"K00162",12789.6,10076.13,16526.26,6954.12999999999,9811.46,11220.37,11426.18,13211.1,11588.96,14666.05,7378.59,20344.35,19412.37,13949.64,2019.96,19325.62,15280.03,13587.49
"K00163",9647.85999999998,7867.27,11453.11,4751.49,7331.10999999999,7595.98999999999,7199.79,8049.58999999999,7394.97999999998,10879.47,5206.65,14606.65,14000.74,10012.16,1311.84,11885.04,9865.30999999999,9291.60999999999
"K00164",10892.81,9042.95,13588.12,5416.65999999999,8372.25,9476.01000000001,8270.95,9433.94999999999,8398.34,11864.73,5725.41,16286.93,15009.93,11189.96,1441.23,14518.74,11510.13,10957.04
"K00166",1616.62,1305.36,2209.1,882.08,1119.54,1630.77,969.11,1167.07,1027.32,1516.64,687.71,1960.41,1834.14,1359.82,100.92,1710.77,1368.34,1490.92
"K00167",2047.54,1697.38,2775.45,1071.38,1404.83,1946.06,1708.08,1947.03,1792.94,1843.28,838.56,2715.72,2451.09,1694.76,165.26,2427.23,1818.89,1864.72
"K00169",2458.48,1655.66,2783.25,1321.41,1923.18,1764.66,2028.83,2883.99,2386.66,2407.32,1322.16,2673.41,2150,1487.98,50,2721.67,2138.66,2264.82
"K00170",2730.64,1815.66,2954.58,1405.08,2050.18,1802.49,2126.83,3023.66,2435.99,2806.99,1459.49,2923.08,2325,1606.31,49,2961.67,2331.67,2575.82
"K00171",1367.98,835.5,1571.07,681.58,872.5,935.66,994.66,1628.49,1214.82,1710.16,730.66,1418.24,1123,943.15,11.33,1278.01,1076.33,1343.16
"K00172",2641.48,1747,2822.57,1364.58,1976.5,1775.16,2015.16,2853.49,2301.32,2722.66,1408.16,2811.24,2227.5,1546.65,49.33,2840.51,2226.33,2476.66
"K00174",9932.64,7946.79,12440.9,5097,7636.71,8387.32,8838.34,11108.55,9582.83,9842.83,5040.93,12611.64,11489.72,8331.12,888.67,12483.78,10235.87,9560.55
"K00175",9895.64,7936.12,12400.65,5087.42,7624.38,8362.99,8821.84,11091.22,9561.5,9834.83,5033.93,12590.89,11462.72,8308.12,886.67,12454.61,10208.7,9538.55
"K00176",866.91,659.9,1123.08,498.15,787.58,610.84,824.08,1055,1010.17,915.5,442.5,752.83,782.67,597.58,26.33,987.74,881.65,798.75
"K00177",1527.41,1191.9,2110.08,933.65,1358.58,1278.34,1631.08,2152.5,2127.67,1546,793.5,1706.33,1484.17,1152.58,79.33,1812.74,1744.65,1634.75
"K00179",1019.11,621.84,1175.38,575.91,728.33,818.23,1050.65,1451.97,1233.96,833.23,372.65,666.56,765.84,638.29,21.99,769.45,654.58,666.56
"K00180",669.79,442.5,949.39,460.91,543,716.57,949.32,1229.98,1123.64,405.9,210.99,382.9,540.84,463.64,20.66,501.77,435.91,336.57
"K00183",6,3.33,10.67,2,3.67,5.33,4.67,21.33,2.67,3.99,7,15.67,5,1,0,5.33,7,2.33
"K00184",5635.72,5075.84,6724.98,2225.38,4002.08,4328.53,4224.83,5274.5,4279.57,5535.14,2555.08,6356.23,6079.88,4670.23,407.61,7426.2,5683.52,5831.53
"K00185",4528.23,4199.67,5787.98,1868.71,3165.58,3867.87,3406.83,4354.5,3352.57,4592.8,1936.74,5059.57,5068.88,4129.9,367.28,5925.19,4644.18,4799.2
"K00186",207.98,83,149.32,104.83,140,145.66,205.16,271.49,231.82,93.16,46.16,86.99,163.5,78.65,4.33,132.51,104.83,88.66
"K00187",197.98,78,147.32,104.83,140,141.66,199.16,260.49,223.82,92.16,46.16,84.99,162.5,71.65,4.33,123.51,96.83,85.66
"K00188",152.98,69,118.32,93.83,109,108.66,176.16,241.49,206.82,67.16,37.16,58.99,115.5,51.65,1.33,78.51,74.83,63.66
"K00189",48,34,58,68,60,80,126,164,140,32,19,34,58,17,1,23,23,15
"K00192",575.96,287.68,439.63,205.33,336.33,219.48,280.99,420.98,290.8,627.99,266.82,482.65,437,310.3,2.66,448.35,410.02,485.81
"K00193",521.97,244.67,374.65,181.83,294.33,194.99,216.49,355.48,239.81,599.49,252.82,451.65,369.5,275.3,2.66,404.86,369.49,449.32
"K00194",506.8,276.84,432.47,197,313,217.65,279.16,403.66,291.81,615.33,258.49,476.16,410.5,301.98,2.33,431.17,389.86,464.32
"K00195",539.3,257.34,394.31,189.33,308.33,202.82,236.99,374.98,254.14,607.99,256.82,457.65,391,286.3,2.66,416.69,381,459.15
"K00196",375.39,192.91,270.65,130.91,217.92,140.41,132.24,228.99,156.75,447.74,180.16,320.71,255,190.54,1.33,290.48,240.74,369.33
"K00197",500.13,274.51,430.47,194.33,310.33,215.65,280.49,421.98,290.47,628.99,264.82,486.15,408.5,308.3,3.66,442.52,390.51,468.98
"K00198",457.64,219.51,302.82,135.5,229.16,156.74,160.66,270.48,215.17,460.74,182.99,335.27,274.67,218.75,1.66,338.56,269.58,384.4
"K00200",688.05,401.24,600.54,258.29,456.78,328.57,386.56,592.86,408.89,883.56,357.31,806.07,686.58,525.36,63.65,692.11,633.8,682.26
"K00201",814.03,453.58,677.86,291.46,523.11,365.56,459.89,686.52,490.04,930.06,382.3,845.4,765.58,574.34,63.98,764.79,705.48,741.75
"K00202",713.37,421.9,632.2,269.29,478.45,331.4,411.89,624.53,434.72,900.56,366.14,829.07,713.58,540.69,63.65,717.44,661.47,701.43
"K00203",659.95,308.35,473.46,222.83,368.66,240.31,308.82,471.47,329.29,653.32,281.48,497.81,470.5,330.95,2.99,493.2,447.68,525.97
"K00204",4.66,2.66,10.33,4.33,2.67,1.5,5.33,12,11.5,4.33,2.5,7.33,4,2,0,8.33,5.66,9.17
"K00205",315.96,128.34,245.64,112.5,192.33,125.15,198.49,287.15,221.97,233.16,121.65,213.32,251.5,159.63,1.66,230.19,239.51,191.15
"K00208",13714.18,11394.04,17062.4,6513.99999999999,10560.79,11997.18,10336.17,11877.55,10376.65,16010.14,7764.44,21229.05,20591.17,15865.49,2087.74,19354.26,15160.3,13861.29
"K00209",1072.09,572.08,1286.06,689.27,938.9,826.53,583.58,667.89,648.68,828.289999999999,637.35,1306.96,921.939999999999,727.74,81.15,734.44,817.79,653.86
"K00210",291.67,253,341.08,118.25,238,238.5,196.25,190.5,173.83,284.33,109.33,585.67,315.91,332.66,40,376.33,314.33,284.83
"K00211",12,15,24,7,8,28,7,14,23,21,1,13,16,13,1,0,2,2
"K00213",8,5,1,1,1,1,0,2,3,7,4,5,9,3,2,39,27,22
"K00214",1.5,1,1.5,0,1,1,1,0,0,5,1,1,14.5,11,2,4,5,1
