"","DS_1A","DS_1C","DS_1E","DS_2A","DS_2C","DS_2E","DS_3A","DS_3C","DS_3E","FS_1A","FS_1C","FS_1E","FS_2A","FS_2C","FS_2E","FS_3A","FS_3C","FS_3E"
"K07093",3835.23,2715.4,5116.05999999999,2487.03,3250.38,3551.94,3187.8,3710.32,3421.07,3957.99,2232.82,6031.69,4863.95,3641.63,522.51,3679.95,3464.94,2975.16
"K07094",804.48,441.77,1044.02,538.48,708.09,848.89,500.44,614.45,473.59,729.8,514.87,1164.2,1039.49,612.82,50.04,725.07,624.11,641.49
"K07095",9789.38999999999,7765.88999999999,11805.01,5021.38999999999,7607.20999999999,7561.84999999999,8173.81999999999,10016.37,8794.81,9705.23999999999,4949.98,12376.04,11321.67,7969.71999999999,832.91,11596.02,9733.34999999999,9286.5
"K07096",590.98,335.5,630.32,311.83,411,382.91,430.16,647.99,512.82,672.91,294.16,533.99,471.67,411.65,9.33,497.76,434.58,488.41
"K07097",197.16,153.6,191.22,91.17,164.26,111.25,135.15,157.29,166.51,136.05,92.66,219.47,181.97,114.08,6.26,219.77,197.38,174.05
"K07098",10556.82,8522.36,12888.92,4950.34,7747.02,8667.50999999999,7635.81999999999,9374.66999999999,7919.64,10776.66,5437.09,13026.08,13354.94,9802.73,977.54,13898.28,10859.41,10522.84
"K07099",121.07,136.39,235.99,45.57,81.24,114.67,228.39,196.64,322.24,56.97,34.01,77.39,83.49,97.2,6,201.86,139.66,93.4
"K07100",526.75,331.99,638.24,339.9,351.83,463.42,458.25,529.99,466.07,609.1,340.25,689.15,801.01,528.15,54.42,617.26,543.34,461.16
"K07101",1796.21,1089.66,2123.77,989.08,1263.25,1485.58,1455.54,2208.35,1703.1,1524.1,678.74,1532.37,1665.84,1176.56,104.5,1204.91,1061.13,1034.16
"K07102",6651.6,5629.35,8008.41,3100.63,5240.38,5824.11,4335.36,4936.02,4352.39,7532.22,3702.88,9771.54,9680.49,6972.73,897.57,9350.01,6941.87,6672.06
"K07103",616.32,338,566.67,346.33,439.01,414.66,509.5,738.49,557.66,693.49,319.16,583.33,518.5,342.98,8,542.84,464.5,526.65
"K07104",3991.61,3086.03,5190.77,1860.39,3016.12,3568.99,3541.23,3869.92,3482.82,4539.82,2239.35,5850.68,6641.21,5033.27,581.78,6149.6,4826.88,4134.43
"K07105",895.82,585.67,1170.17,524.51,787.23,803.24,761.15,830.66,834.49,900.89,655.84,1410.71,1269.35,754.04,37.35,1248.69,1111.3,979.09
"K07106",6268.58999999999,4953.02,8021.51999999999,3465.99,4714.56,5321.24999999999,5001.95,5996.02999999999,5515.00999999999,6034.24,3052.48,8650.8,7184.26999999999,5390.13,606.26,7305.68999999999,6162.73,6042.73999999999
"K07107",26004.28,20366.67,33085.1200000001,13814.34,20596.78,23058.5,20268.61,23898.11,21085.39,28999.04,15077.57,38175.5200000001,37289.1600000001,27198.94,3285.05,33193.01,27353.78,24750.94
"K07108",1048.98,620.33,1081.67,554.5,736.68,708.32,822.17,1274.49,892.16,1220.82,524.49,997.34,807.5,633.31,22,874.17,762.51,902.98
"K07109",1160.12,574.88,1534.36,842.8,922.05,959.68,765.49,932.78,829.27,742.66,461.44,1121.34,897.82,620.46,17.98,710.32,721.81,674.08
"K07110",2667.74,2075.12,3236.72,1291.63,2055.55,2347.18,1714.05,2004.37,1600.41,3324.78,1614.03,4225.38,4079.93,3352.62,354.89,3144.14,2644.4,2312.8
"K07111",59.66,37.66,77.33,85.83,64.67,92.5,133.83,181.5,153,61.83,34,68.33,99.5,31,2,42.83,44.16,30.17
"K07112",15381.39,10849.89,19246.89,8429.2,12333.6,13861.36,11717.13,13715.03,12197.73,15390.76,8868.27,18841.97,20497.13,15013.63,1638.7,21160.23,16226.31,14415.76
"K07113",4211.48,3125.52,5433.40999999999,2867.07,3804.9,3897.06,3958.15,4615.68,4269.67999999999,4787.01,2920.45,7226.95,5899.35,4232.01,495.92,5021.94,4622.99,3920.36
"K07114",24862.52,21508.88,31179.46,11591.07,18300.14,20614.37,18662.48,21997.85,18991.76,25059.78,11956.46,33227.65,29559.24,23334.09,2689.82,31250.9,25146.86,24448.98
"K07115",4430.28999999999,3208.16,5414.48999999999,2305.08,3408.99,3881.15999999999,3000.5,3325.2,3050.54,5082.31999999999,2570.11,6462.99999999999,6740.83999999999,5186.25999999999,676.9,5834.08999999999,4534.99,3955.51999999999
"K07116",260.35,165.34,416.18,208.83,161.9,357.43,254.84,302.84,300.25,282.44,83,293.74,335.76,355.93,40.83,147.93,166.92,120.85
"K07117",3687.61,2999.15,4382.82,1231.5,2296.85,2632.6,1862.26,2232.64,1851.33,3248.29,1160.09,3429.86,3862.62,3256.87,338.18,2906.88,2308.94,2597.08
"K07118",2300.57,1731.24,3309.81,1344.19,1916.7,2126.1,2045.69,2481.94,2400.64,2361.27,1038.54,3256.67,2937.26,2468.88,412.05,2258.81,1994.25,1695.74
"K07119",6218.12,4509.29,8021.81999999999,3683.87,4927.51,5471.15,5156.31,5870.8,5442.36,7352.48,3954.54,10202.74,9091.71999999999,6729.57,812.35,6626.91,6282.51,5212.91
"K07120",4107.89,3048.36,5165.10999999999,2223.47,3184.83,3669.37,3461.44,3839.68,3336.5,5026.51999999999,2568.34,6665.79,6721.57999999999,4878.74999999999,590.61,6126.93999999999,4919.79,4241.17
"K07121",2443.51,1973.02,2979.37,1510.91,2224.84,2158.2,1727.35,1936.82,1956.64,2771.97,1623.52,4311.19,3450.68,2273.54,231.14,2788.55,2462.9,2442.93
"K07122",2742.47,2079.51,3330.87,1602.58,2285.54,2547.24,1759.3,2051.45,1961.59,2819.15,1463.94,4089.33,3751.42,2380.34,283.9,2663.09,2219.32,2295.02
