"WDG002"	"WDG004"	"WDG018"	"WDG033"	"WDG040"	"WDG048"	"WDG058"	"WDG087"	"WDG092"	"WDG127"	"WDG132"	"WDG140"	"WDG146"	"WDG154"
"K00046"	1.28566686128893e-05	1.83600184016945e-05	1.46808728538721e-05	2.55609644178169e-05	2.65475348222286e-05	1.04214360255095e-05	1.89407388918789e-05	1.33226004235728e-05	1.23213847092991e-05	1.94065505168766e-05	2.25806114625778e-05	2.32932761074352e-05	2.11358610585927e-05	3.97015780484436e-05
"K00048"	2.10111727757172e-05	9.05217298888058e-06	7.46803907487388e-06	1.06025109548521e-05	1.30058580871683e-05	6.99589092024257e-06	8.2775590247089e-06	5.85347984372797e-06	1.19849767735603e-05	1.26962068921494e-05	1.30700776361874e-05	2.30042249808709e-05	1.18832924281743e-05	1.46745659061132e-05
"K00050"	0	0	0	0	4.4710148130834e-07	0	0	0	0	0	0	0	7.41791562193109e-07	0
"K00052"	1.73450560721919e-05	9.5992774407227e-06	7.8229952148686e-06	1.64459774416522e-05	5.812098400641e-05	3.80733023249102e-06	1.13139503496354e-05	6.49918959345362e-05	1.0508109239556e-05	9.81917729980006e-06	1.50814855577842e-05	1.1859949596375e-05	4.64945166106046e-05	3.16006072005966e-05
"K00053"	3.37720407534042e-05	1.70025732328296e-05	1.51800865393102e-05	2.82848275403352e-05	6.68810695666889e-05	8.8636708837124e-06	2.16817511718602e-05	0.000109667608636903	2.08806908805305e-05	2.20938089063008e-05	2.60377898123103e-05	1.82369104843244e-05	7.63423341198851e-05	3.74868550404334e-05
"K00054"	0	0	2.97944893652877e-07	8.76661660873202e-07	8.48426125961867e-07	0	0	2.22519981856534e-05	0	0	0	7.22667266232334e-07	1.09597921432694e-05	0
"K00055"	0	0	0	0	3.84799262025083e-07	0	0	1.86254286479638e-06	0	0	0	0	1.14611114508217e-06	0
"K00057"	7.02175279061271e-06	2.30010007840781e-06	2.14970037165698e-06	5.30882201862871e-06	2.41223615733129e-05	1.56022058004758e-06	3.91234295308037e-06	3.849301615229e-05	2.92231748163618e-06	2.41073312669408e-06	1.06540625623687e-05	3.05650593584715e-06	2.73448288604512e-05	7.49711328362207e-06
"K00058"	8.96393270914684e-06	3.48560695132989e-06	3.04329173287783e-06	7.28741322170089e-06	2.96281305903726e-05	2.85074025885385e-06	3.70895186449188e-06	6.54457380138008e-05	3.72389800150949e-06	4.64435263253481e-06	8.08910221359488e-06	5.22305283530547e-06	4.35468102710991e-05	5.91957695465904e-06
"K00059"	5.58632195495673e-06	5.47894343750624e-06	5.4210075725758e-06	1.0623383398421e-05	9.2347328158403e-05	4.81002658279181e-06	7.88547529384722e-06	0.000116708117273484	3.92180768894446e-06	6.94855029200537e-06	6.11406034602055e-06	5.06123038563793e-06	7.03708957920219e-05	1.32658198654379e-05
