"","WDG002","WDG004","WDG018","WDG027","WDG028","WDG033","WDG040","WDG048","WDG058","WDG087","WDG092","WDG127","WDG132","WDG140","WDG146","WDG154"
"K15725",184.5,141.4,111.4,65.4,134.1,85.93,341.42,131.85,942.57,293.92,192.65,92.85,441.24,65.6,80.42,1361.48
"K15726",740,425.4,483.9,179.9,299.6,473.76,1772.09,547.35,2238.24,833.09,790.15,687.85,2247.68,187.6,363.59,1894.31
"K15727",653.5,391.4,446.9,108.4,176.6,414.76,540.09,418.85,1587.74,589.09,683.15,499.85,1684.6,121.6,227.09,1825.81
"K15733",462,450,382,72,51,1307,1349,1657.66,3801,511,256,201,250.5,71,127.44,94.12
"K15734",121,23,10,40,92,129,36,15,379,11,1254,36,467,12,111,140
"K15735",418.45,800.38,369.08,31,53.33,461.21,500.53,182.89,1512.11,481.25,319.08,314.55,457.84,402.53,278.04,639.17
"K15736",637.45,948.78,794.08,75,173.33,521.21,698.74,652.36,4608.11,540.61,976.68,522.55,1689.14,469.53,364.59,1859.93
"K15737",418.45,800.38,369.08,31,53.33,461.21,554.03,182.89,1512.11,482.25,319.08,314.55,457.84,402.53,278.87,639.17
"K15738",14878.64,11004.33,14810.99,1464.84,3227.95,6349.19,11588.33,19670.18,49475.92,6647.98,26948.17,22800.74,30302.16,7225.37,6246.11,14539.89
"K15739",1,0,0,0.33,0,514.33,20.5,0,99.83,0,2.33,79,2.67,0,15,6.5
"K15740",16.82,49.83,16.33,3.33,5.34,6.83,45.5,30.32,213.33,51.67,74.34,19.16,119.17,11.66,48.5,125.84
"K15746",23,0,0,22,33,41,139,0,117,188,3,14,37,0,50,134
"K15750",0,0,0,0,0,4,0,0,4,0,0,1,1,0,0,0
"K15760",2,0,0,21,28,30,59,0,94,378,0,0,10,0,33,92
"K15761",0,0,0,0,0,0,0,0,0,293,0,0,0,0,33,0
"K15762",0,0,0,0,0,0,0,0,0,293,0,0,0,0,33,0
"K15763",0,0,0,0,0,0,0,0,0,293,0,0,0,0,33,0
"K15764",6,0,0,21,28,30,59,0,94,388,0,0,11,0,37,92
"K15765",0,0,0,0,0,0,0,0,0,293,0,0,0.86,0,33,0
"K15770",4158.02,1326.64,790.18,334.27,551.01,2331.98,5030.57,3194.46,6014.82,1875.74,1308.48,1278.51,1234.27,237.4,1049.79,3356.21
"K15771",4874.9,1340.14,875.71,341.1,565.33,2448.28,5070.84,3227.13,6160.5,1895.2,1582.95,1312.72,1336.26,914.76,1078.01,4710.83
"K15772",4160.52,1325.31,795.51,333.94,551.51,2332.15,5037.41,3186.96,6022.65,1868.91,1309.64,1237.68,1234.27,236.73,1044.13,3325.38
"K15773",893.31,7473.1,6659.03,600.16,1669.13,1395.17,756.67,14301.54,4643.29,400.31,997,443.53,757.26,123.15,468.93,4116.52
"K15777",1413.09,8092.66,7407.96,786.5,1994.79,2555.26,1991.09,16643.71,11880.44,1604.59,2055.78,1066.19,1875.62,604.85,911.76,6444.28
"K15778",10464.49,5380.4,9370.4,920.9,2264.94,4522.59,8437.92,4463.67,47446.4,4679.08,24659.82,21107.18,28909.86,6001.76,4993.25,6532.65
"K15780",20.13,22.67,30.28,5.33,22.07,25.63,69.5,162.25,186.48,15.49,12.35,30.13,93.6,9.69,57.5,149.6
"K15781",19,0,0,1,1,46,1225,24,10,4657,71,8,1,1,119,0
"K15782",0,0,0,0,0,0,0,6,0,6,0,84,0,2,12,0
"K15783",2,0,0,0,2,0,0,16,0,128,0,44,0,1,6,0
"K15784",0,0,0,0,0,0,0,3,0,3,0,42,0,1,6,0
"K15785",0,0,0,0,2,0,39,16,0,3,0,44,0,1,6,0
"K15786",0,0,0,0,0,0,0,3,0,3,0,42,0,1,6,0
"K15790",10.25,3.5,0.25,5,12.25,6.5,9.25,191.75,36.25,235.5,4,31.5,10.36,5.25,72.5,14
"K15792",134,72,83,20,38,23,127,64,485,220,125,191,872,16,55,962
"K15827",801.26,1704.73,1548.03,631.57,1764.29,1257.26,837.37,1328.46,7570.41,767.48,1090,699.41,1226.07,499.85,531.38,2930.6
"K15828",801.26,1704.73,1548.03,631.57,1764.29,1257.26,837.37,1328.46,7570.41,767.48,1090,699.41,1226.07,499.85,531.38,2930.6
"K15829",764.26,1090.73,1505.03,628.57,1762.29,974.26,828.37,1269.46,7091.41,767.48,1087,694.41,1173.07,499.85,531.38,2851.6
"K15830",764.26,1090.73,1505.03,628.57,1762.29,974.26,828.37,1269.46,7091.41,767.48,1087,694.41,1173.07,499.85,531.38,2851.6
"K15831",764.26,1090.73,1505.03,628.57,1762.29,974.26,828.37,1269.46,7097.41,767.48,1089,694.41,1173.07,499.85,531.38,2851.6
"K15832",764.26,1090.73,1505.03,628.57,1762.29,974.26,828.37,1269.46,7091.41,767.48,1087,694.41,1173.07,499.85,531.38,2851.6
"K15833",764.26,1090.73,1505.03,628.57,1762.29,975.26,828.37,1269.46,7106.41,767.48,1087,694.41,1173.07,499.85,531.38,2851.6
"K15834",764.26,1090.73,1505.03,628.57,1762.29,974.26,828.37,1269.46,7097.41,767.48,1089,694.41,1173.07,499.85,531.38,2851.6
"K15835",206.25,98.25,186.5,32.75,58.75,115.5,179.46,310.89,879,64.11,184.25,221,1014,33.75,217.75,1103.25
"K15836",1093.26,7688.73,7077.03,637.57,1773.29,1217.26,1132.37,14841.46,7613.41,927.48,1693,761.41,1243.07,515.85,652.38,4724.6
"K15842",4,16,1,0,3,2,13,60,106,11,4,10,73,2,29.5,16
"K15843",5.5,17,1,1.5,6,3.5,756.5,63.5,157.5,75.5,6,25,78.5,2.5,30.5,34.5
"K15844",5.5,17,1,1.5,6,3.5,756.5,63.5,157.5,75.5,6,25,78.5,2.5,30.5,34.5
"K15845",5.5,17,1,1.5,6,3.5,756.5,63.5,157.5,75.5,6,25,78.5,2.5,30.5,34.5
"K15846",16.5,51,3,4.5,18,10.5,2269.5,190.5,472.5,226.5,18,75,235.5,7.5,91.5,103.5
"K15847",5.5,17,1,1.5,6,3.5,15.5,63.5,157.5,14.5,6,25,78.5,2.5,29.5,34.5
"K15848",5.5,33,1,1.5,7,5.5,765.5,122.5,262.5,77.5,6,30,80.5,2.5,59.5,34.5
"K15850",0,0,0,0,0,0,1.71,0.14,0,0.86,0,0,0,0,0,0
"K15852",0,0,5,0,4,0,2,9,10,2,4,4,18.86,5,18,0
"K15855",13,5,6.5,0,0.5,6.5,2,12.33,12.5,0.5,3.5,2,6.5,0,0.22,7.56
"K15856",56,68,0,28.34,112.66,63.66,1265.34,385.32,27.34,4400.66,76,167.34,108.66,15.66,109.68,249.84
"K15861",0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
"K15862",22,0,1,4,13,12,788,8,123,152,11,49,104,3,42.5,95
"K15863",6,0,0,21,28,30,62,0,94,113,0,0,11,0,9,92
"K15864",0,0,0,0,0,1.33,61.67,0,7.67,150.67,0,0,0,0,11.67,1.33
"K15866",1197.67,2092.91,2043.96,799.5,2130.04,1512.59,3691.56,1865.06,8870.4,3883.79,2063.25,1173.6,1689.53,599.01,1394.07,6841.03
"K15868",0,0,0,0,0,4,0,0,4,0,0,1,1,0,0,0
"K15870",0,1,0,5,0,0,0,0,4,0,1,0,0,0,0,1
"K15872",0,1,0,5,0,0,0,0,4,0,1,0,0,0,0,1
"K15873",0,1,0,5,0,0,0,0,4,0,1,0,0,0,0,1
"K15876",19.67,5,2,0.67,1,2.33,29.33,1,11.67,240.33,2.33,4.67,28.67,0,16.33,0.33
"K15878",0,0.67,3.67,0,0,0.33,1.67,1,0,0.33,6,1,0,2,1.67,0.33
"K15879",0,0.67,3.67,0,0,0.33,1.67,1,0,0.33,6,1,0,2,1.67,0.33
"K15888",329.82,1334.5,1421,241.33,1058.34,134.16,296.17,364.32,4618.33,270,732.34,370.16,902.17,88.66,296.17,333.17
"K15894",13.17,26.25,13,2.67,7,3.83,758.83,70.5,171.42,96.83,9.33,31.67,109.17,4.5,34.83,142.08
"K15895",13.17,22,3,2.17,7,3.83,758.83,64.5,169.17,96.83,8.33,29.67,107.17,2.5,33.83,34.83
"K15896",12.67,22,3,0.67,4,3.33,756.33,61,119.67,93.33,6.33,14.67,103.67,2,33.83,16.33
"K15897",0.67,5,2,0.67,1,0.33,2.33,1,1.67,20.33,0.33,2.67,6.67,0,2.33,0.33
"K15898",13.17,22,3,2.17,7,3.83,758.83,64.5,169.17,96.83,8.33,29.67,107.17,2.5,33.83,34.83
