"","WDG002","WDG004","WDG018","WDG027","WDG028","WDG033","WDG040","WDG048","WDG058","WDG087","WDG092","WDG127","WDG132","WDG140","WDG146","WDG154"
"K00001",5930.95,558.16,1487.41,426.07,750.28,1923.01,8255.91,1025.24,3060.16,15832.23,3932.86,1534.62,2065.74,207.52,1368.43,6290.27
"K00002",0,4,10,0,0,2,3.67,6.33,10,39,2,4,2,2,20.33,107
"K00003",18361.87,5711.62,9868.83,1413.14,3038.36,7957.45,19024.96,8033.59,54730.95,32726.03,29271.47,23585.58,31289.49,7300.04,62634.18,12108.03
"K00004",584.29,197.6,197.05,114.88,195.11,326.92,1155.1,1120.82,1149.29,859.46,1939.41,279.57,1075.12,130.57,550.93,2071.26
"K00005",2178.44,8740.9,7771.65,764.58,2017.45,2006.05,2134.77,16034.24,10891.17,2280.62,2672.04,1593.75,3136.26,1045.58,1268.71,8431.69
"K00007",634.28,939.96,447.33,67.74,127.16,495.38,728.7,412.39,2401.02,561.83,543.33,713.21,2084,424.7,299.12,2464.41
"K00008",3659.5,625.08,451.42,404.68,662.09,2718.58,4883.78,2079.57,7399.91,2693,5656.76,1154.26,4074.79,100.65,1223.85,3295.38
"K00009",4228.34,8790.16,7542.31,906.6,2214.86,3842.9,5300.18,16992.5,13189.83,2140.65,3605.28,1623.09,2336.94,617.08,1498.55,5927.46
"K00010",1184.54,1905.07,1518.28,272.31,566.43,1243.89,2179.91,3043.26,9294.71,3069.2,3324.84,1021.07,3206.94,538.78,1304.94,3598.57
"K00012",14103.49,12282.48,15890.12,1953,4711.89,8867.2,16861.27,22985,57971.76,32766.15,29912.69,23971.43,34117.76,7874.15,63390.23,16075.74
"K00013",16176.14,14136.33,17198.66,2061.08,4846.84,9311.93,18156.65,23344.56,61591.37,33316.01,30101.47,24602.72,34601.79,7231.07,63487.67,15955.06
"K00014",24788.97,23188.49,24522.05,2616.64,5786.53,13199.79,23488.18,41149.55,77010.42,37246.94,38188.98,26877.55,39107.4,8948.05,65388.38,22345.69
"K00015",620.5,531.8,829.5,246.51,416.67,1389.16,2889.51,2109.82,4997.84,1502.83,1403.21,642.67,841.93,95.66,753.01,986.07
"K00016",15975.94,1514.18,759.73,700.85,991.48,3861.11,11140.78,3009.85,11329.46,6668.35,3555.85,2951.53,2320.75,398.96,1368.52,5066.95
"K00018",9476.33,2312.33,4558.58,429,806,1550.47,2586.38,2182.14,14762.63,1910.19,23510.33,20648.33,25099.33,5664,4260.34,4883.33
"K00019",992.69,1193.18,801.15,277.65,562.85,766.96,4158.37,654.51,3410.92,2519.91,2540.93,890.06,2320.18,556.38,1095.42,3955.57
"K00020",14035.16,5294.42,9540.3,1175.97,2255.2,6082.61,16359.85,5376.6,47608.2,35782.7,30796.32,22426.04,31928.75,6448.02,62679.11,12523.55
"K00021",202.82,192.5,179,196.33,925.34,160.16,274.88,253.46,1214.33,208.86,380.34,240.16,1047.17,48.66,161.17,1302.17
"K00023",789,318,595.5,194.17,411.17,396,2325.38,847.97,3693.17,1765.36,1053.67,6558,3778.58,242,528.5,1568.5
"K00024",13799.91,13333.41,16030.46,1830.84,4355.63,7830.9,14230.97,22020.66,60328.36,30536.28,28811.96,23922.19,34027.43,7129.67,63075.99,14497.59
"K00027",8271.79,8805.96,8973.24,1314.85,3530.8,2816.84,9930.35,16567.56,15615.34,27991.74,6605.32,2763.82,4967.99,1768.45,58609.43,10770.86
"K00028",1,11,5,3,20,5,0,2,37,0,0,6,7,1,12,123
"K00029",11334.26,11316.33,14350.63,1268.17,2894.29,6042.42,7810.63,19056.52,48142.11,5603.11,26204.11,21855.36,29765.15,6502.35,5607.6,12003.94
"K00030",302,203,832,40,84,137.5,242.5,374,1508,103.5,446,478,736,60.5,258,680
"K00031",13382.08,13385.05,16619.36,1928.58,4587.57,8727.31,19243.3,22469.6,60380.22,37754.37,29657.37,23934.88,33706.73,7136.6,63407.24,17820.95
"K00033",18643.01,11402.4,13900.56,1670.95,3443.46,8907.64,17902.83,21220.06,53924.37,36460.68,29905.68,23669.09,31848.85,6978.39,63192.45,12908.75
"K00034",35,33.82,59.67,9.34,10.01,17.32,84.06,240.49,578.13,17.95,16.82,37,27.59,12.5,80.13,85.66
"K00035",0,0,0,0,0,0,39,3,0,3,0,42,0,1,6,0
"K00036",15845.84,12300.63,15225.89,1717.95,3583.29,10775.81,19039.28,23303.56,58058.66,37355.23,29856.24,23901.09,31220.08,6989.89,63063.66,14712.24
"K00038",195,118.4,131,62,118,222.33,1576,78.99,498.33,5340,1502.27,71,518.8,21.33,385.99,349.88
"K00039",366.28,793.96,279.33,27.41,51.16,449.38,474.7,283.72,1430.69,508.83,293.33,331.21,340,392.7,193.12,525.08
"K00040",2184.01,8835.15,8050.37,890.11,2343.21,2273.86,2385.22,16363.89,13968.67,2578.12,6728.71,1684.34,4627.63,1027,1645.33,7535.05
"K00041",1024.28,7600.71,6699.41,608.83,1699,1152.3,1042.7,14135.39,4950.55,846.91,1169.41,784.88,824.84,500.53,696.88,4434
"K00042",1752.26,1441.88,1829.21,908.6,2373.46,2498.22,3208.09,1953.5,7780.24,3136.84,5208.24,1411.7,3385.75,696.67,1760.74,6064.17
"K00043",0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0
"K00045",164,254.4,132,50,35,1210,245,1634,3687,449,13.6,168,19.8,2,51,32.2
"K00046",1490.31,7215.94,6554.39,256.54,530.66,1443.59,2743.35,15697.75,6607.43,2651.04,4679.34,1022.85,3276.44,374.9,1370.06,6302.6
"K00048",1023.5,7882.25,5839.08,47.42,56.17,942.45,993.41,13857.72,1718.07,1800.58,693.41,265.17,375.84,39.33,387.59,2245.59
"K00050",1694.56,8257.52,6919.87,350.07,616.54,1172.71,3185.43,15526.15,8901.55,1460.89,3089.92,7189.03,4913.14,505.4,972.35,3656.26
"K00052",13647.49,13467.23,17178.79,1998.01,4782.22,8878.71,17393.31,23046.74,61064.9,34187.86,30055.64,24467.27,34426.83,7218.16,63616.07,17150.88
"K00053",13689.49,14096.48,17252.79,2018.34,4812.55,9182.21,18833.72,23102.66,61817.73,35070.86,30065.97,24514.77,34588.47,7227.66,63541.23,17330.63
"K00054",3553.05,417.67,761.03,293.17,1096.32,636.63,2146.54,618.16,1885.27,1099.53,679.22,915.55,998.56,83.35,308.47,2097.39
"K00055",2782.91,868.97,581.45,113.79,188.67,689.25,1262.83,498.42,3501.94,1409.45,832.84,529.09,602.99,262.57,307.87,689.2
"K00057",17331.14,12429.98,16272.74,1909.84,3919.28,9358.01,20101.75,23256.59,60403.67,37776.48,30601.77,24574.91,34474.46,7868.03,63405.45,17423.34
"K00058",17645.55,16226.03,18621.11,2346.16,5296.74,10616.11,22613.18,25014.94,70381.19,40981.24,32579.6,26256.23,40498.81,7798.13,64673.02,23901.49
"K00059",43094.93,33424.92,44175.23,6383.49,13728.52,24588.1,65642.11,60191.68,168507.76,110186.34,78734.56,56304.2,85063.76,18571.65,190114.98,59352.25
"K00060",2388.42,8147.06,7550.06,836.6,2071.69,2812.65,2139.21,16925,13408.7,1309.2,4101.67,1583.34,3041.06,1245.58,1206.73,6993.59
"K00064",604.78,287.96,337.08,84.58,174.08,326.67,812.12,228.83,1817.87,876.33,1702.67,668.96,1651.36,421.03,372.17,1598.64
"K00065",1877.28,8874.71,7864.41,1290.83,3446,3156.64,1935.91,16130.2,13504.72,2312.77,1810.08,1928.88,3799.67,632.53,1198.88,9307.33
"K00066",13,5.4,6.5,0,0.5,2.5,1,4,23.5,25.5,20.1,1,4.8,0,12,3.2
"K00067",15393.18,5830.03,11492.91,2013.51,4940.78,7382.94,15768.88,8094.46,55700.24,31343.26,27398.72,23791.03,33025.21,7353.67,62677.98,15151.44
"K00068",3788.43,7871.52,7253.65,742.19,1931.36,1561.65,2059.67,15100.03,8397.96,1373.93,2062.88,1369.35,2375.28,556.58,868.27,5963.22
"K00073",73.67,19.42,90.25,14.59,27.67,29.83,46.33,294.97,209.92,58.42,32.75,39.34,142.7,18.83,241.92,145.09
"K00074",4573.2,4008.22,4623.8,1392.46,3086.79,3446.6,14398.68,5421.96,20144.11,17911.57,8316.87,3493.61,8153.03,2384.72,3742.09,12364.26
"K00075",17320.14,12460.98,16347.74,1913.51,3924.28,9320.68,18945.42,23261.25,60428.84,33113.48,30534.44,24583.91,34515.79,7871.03,63288.72,17435.96
"K00076",243.92,43.92,239,25.09,45.42,430.16,2156.25,84.22,719.84,4697.09,143.25,61.34,340.84,24.08,271.09,167.92
"K00077",9708.56,11729.07,11065.86,1448.07,3382.95,4739.67,14914.52,19388.46,21033.57,30308.69,5260.15,3898.06,7222.05,1795.45,59516.65,13285.71
"K00082",55.5,101.25,124,12.5,20.5,66.83,80.67,47.99,102.92,381.67,61.5,56,58,4,58.33,174.26
"K00086",2680.5,681.5,49,78,98.5,588.93,798.38,91,1072.66,574.62,136.88,351,158.62,14,70.12,387.88
"K00087",61.42,9.92,90,8.59,14.42,32.33,35.08,22.72,125.67,12.92,29.25,52.34,127.34,14.58,158.42,128.09
"K00088",19225.64,14559.57,18463.26,2510.68,6049.28,12859.16,25757.19,27090.16,73840.42,45370.63,33313.87,25760.08,36254.92,8083.69,64295.8,18661.54
"K00090",1163.59,7817.66,7206.96,662.5,1824.29,1275.09,1359.42,14987.88,8053.77,1003.59,1896.28,877.19,1415.9,539.35,766.43,6080.28
"K00091",44,85.5,365,70,123,131,1257.5,515,2596.5,4792,1047,34,367.72,11,132.5,178
"K00094",108.42,655.05,139.37,16.71,29.67,312.45,58.33,200.22,663.3,67.04,37.75,43.09,189.96,17.58,224.29,243.46
"K00096",333.82,345.75,694,223.83,954.34,168.63,309.17,287.15,1495.62,240,703.34,346.16,881.67,86.16,305.39,461.98
"K00097",13203.62,13303.53,15849.45,1597.43,3423.21,7517.59,12312.57,20824.5,54697.37,26339.61,29162.21,23954.92,34764.11,7590.28,62751.73,15483.73
"K00098",844.37,231.75,511.9,212.89,448.17,1096.93,977.93,1434.19,4324.43,1512.71,4680.96,366.72,2275.06,152.22,835.76,1277.51
"K00099",13298.09,12241.48,16138.21,1799.01,3727.46,8748.72,16771.05,22726.26,57683.57,32542.62,30050.88,23895.53,34010.06,7146.51,63151.15,15296.29
"K00100",1432.4,618.21,1778.97,341.98,621.11,1164.09,4310.13,1287.73,4767.12,23689.61,2000.72,895.02,1655.9,1180.26,57477.52,4433.87
"K00101",1562.25,2933.06,2131.96,846.5,2111.29,3301.04,6236.29,3449.52,13811.34,11984.45,4409.89,1365.19,3394.56,571.18,1301.59,6064.48
"K00102",221,96,170,108,213,75,1046.5,74,581,1003,729,221,189.86,117,469.83,531
"K00103",178,253.25,124,49.5,31,1251,1462,1615,3679.25,4658,75,129,8,2,119,0.25
"K00104",13549.74,4041.2,5374.58,1150.6,2458.93,3832.56,13108.3,5329.69,25183.52,34262.04,28071.78,22286.34,29800.89,6387.9,62389.43,6641.05
"K00105",2533.05,84,78.03,69.83,98.49,365.13,743.53,57.17,171.6,336.2,249.56,349.21,163.4,13.69,42.96,1562.88
"K00108",1772.65,1692.51,3691.66,925.07,2419,1666.31,5010.22,3497,14709.49,3978.01,3221.2,1779.55,4608.35,782.92,1406.21,7854.83
"K00111",15065.01,19974.23,23517.61,2496.61,5628.48,10833.54,18097.15,39213.36,69744.77,36522.78,33139.45,24936.37,35522.62,8322.42,64027.95,21582.16
"K00112",1206.59,8392.93,7222.23,669.77,1869.02,1629.32,1263.51,15191.19,8372.21,1044,1823.13,924.01,1498.93,539.58,776.86,5092.13
"K00113",1175.59,7778.93,7179.23,687.77,1895.02,1376.32,1316.51,15132.19,7987.21,1157,1820.13,919.01,1456.93,539.58,785.86,5105.13
"K00114",91,35,45.5,0,3.5,10.5,7,21,59.5,3.5,24.5,7,18.36,0,0,21
"K00116",2309.04,2557.02,3347.29,978.09,2488.79,3942.3,10056.29,4340.79,14345.64,8103.91,3605.55,1795.07,3134.87,1119.38,1923.71,6521.06
"K00117",1111.26,1501.4,2391.7,1208.57,3398.89,1477.19,1316.34,1499.56,10325.01,945.51,1616.1,1164.71,1554.87,583.45,732.35,7247.43
"K00121",2430.58,8446.91,9752.96,1543.5,4135.46,2456.24,8302.55,16539.34,13789.11,15078.69,3503.55,2198.19,3900.89,848.35,2432.16,11675.97
"K00122",5.16,2,0,3,2,64.66,1090.66,25,19,136.83,3.84,9.5,114,1.5,22.99,13
"K00123",7248.49,26548.61,25578.85,3853.21,10720.3,7383.72,13917.33,48622.43,40729.16,11434.48,13888.33,5880.05,11514.83,3458.62,5249.11,25785.27
"K00124",1711.93,7960.85,7542.9,805.27,2164.69,1656.65,3396.55,15713.67,9346.13,2828.87,3709.13,1398.68,3381.66,692.25,1150.85,6877.37
"K00125",17.83,59.83,51.33,152,849,20.17,29.5,22.33,322.33,17,31,6.5,3.5,1,4.5,16.5
"K00126",0,0,0,0,0,0,0,3,0,199,0,42,0.86,1,8,0
"K00127",1538.93,7848.93,7359.23,756.77,2070.69,1498.32,2335.88,15677,8890.88,2152.54,2398.13,1350.68,2865.16,675.25,1002.4,6651.35
"K00128",5169.15,3541.1,8516.25,1996.76,4419.45,7607.84,24866.76,8260.2,49640.82,31318.67,13091.31,5019.02,12881.94,1028.4,5530.94,15580.15
"K00129",37,614,43,3,2,283,16,59,479,319,3,5,53,0,45,79
"K00130",2228.68,2813.42,3861.64,959.89,2408.02,3457.46,7727.43,4921.34,16715.05,10613.59,4069.4,1701.61,3323.75,1094.96,1862.13,7863.77
"K00131",47.38,31.75,105.03,18,28.49,137.8,719.32,238.5,309.48,864.58,156.52,55.71,136.61,12.36,96.84,405.75
"K00132",16,2,9,3,11,3,41,1,5,226,4,7,9,1,17,18
"K00133",17835.54,14456.23,17847.24,2171.17,5010.2,9820.13,19350.88,23989.13,66088.16,33456.34,31380.78,25159.07,36334.46,7977.11,63690.17,18692.32
"K00134",19866.65,15247.68,20204.59,3064.15,6800.92,13392.69,27452.05,28808.08,78996.23,36880.42,34855.86,33367.34,42037.82,8145.39,65788.69,27256.41
"K00135",18493.88,15547.57,18650.1,3013.81,7124.07,13565.54,22694.12,28760.32,78455.3,22014.88,36394.01,26184.19,40750.84,7894.9,9221.71,26448.15
"K00137",884.15,1193.31,1897.06,664.14,1861,1051.14,973.96,2123.28,9839.79,1259.87,1630.02,789.6,1649.93,528.75,655.22,3220.23
"K00138",1933.59,1834.31,3156.46,895.67,2310.79,3025.59,5007.63,4326.18,13196.19,6664.95,3313.05,1628.19,3379.56,691.18,1313.15,7128.96
"K00140",2315.48,2031.21,4234.81,668.56,1529.44,1852.57,8988.2,4056.51,12043.55,9335.04,5930.48,1958.73,6398.6,806.01,2236.99,10518.82
"K00141",488.28,434.96,360.33,74.41,80.16,1376.09,702.7,1824.92,4640.12,1122.83,294.33,448.21,298.22,393.7,271.12,457.08
"K00145",16501.58,13364.31,16623.29,1996.51,4737.13,8835.05,17849.77,22579.74,60176.7,33221.57,29637.43,24292.86,33811.04,7826.5,63245.28,15561.68
"K00146",1217.12,1946.52,1492.71,225.91,517.7,1334.47,1695.21,1748.74,9261.71,1837.59,4351.72,883.73,2645.89,866.3,927.38,3457.89
"K00147",16695.96,12076.31,15696.32,1735.84,3685.12,8766.68,16441.59,22660.74,57681.26,32716.82,29149.78,24069.07,32148.96,7743.86,63063.96,16929.68
"K00148",481.99,442.13,288.33,147.33,239.34,1508.66,827.33,1706.82,4687.66,190.67,2690.21,241.66,1107.94,39.49,333.33,586.74
"K00150",330.82,1334.5,1421,241.33,1059.34,141.49,319.84,364.98,4648.33,280.17,736.01,370.49,911.17,88.66,301,335.17
"K00151",1068.84,1842.41,1646.23,710.51,1930.27,1449.66,1354.09,1479.81,8557.2,1180.76,2613.82,1053.67,2599.09,527,681.09,4233.24
"K00153",384,380.65,336,115.5,151,1430.83,2859.5,1725.33,4542.58,5248.5,1470.27,189,568.8,18.83,322.55,465.01
"K00154",3042,433.8,1285.8,210.8,429.2,743.2,3274.88,1144.84,1803.8,869.69,708.8,1061.2,1524.6,102.7,324.17,4819.3
"K00156",2023.26,8264.58,7648.73,889.6,2188.19,3019.49,3110.17,16699.86,12980.62,2236.18,5926.57,1180.01,3080.07,636.58,1299.73,5714.14
"K00158",12540.75,278.17,99.83,304.84,326.93,1338.83,4756.31,224.66,250.87,1273.7,673.96,1507.08,506.53,54.32,79.2,95.22
"K00161",5546.36,2632.88,2254.89,834.48,1451.22,4575.04,13648.69,4776.03,12777.61,33556.86,8058.11,3005.26,7622.57,770.09,58979.49,10067.61
"K00162",5503.36,2622.21,2199.22,848.48,1467.22,4545.21,12374.52,4743.03,12308.61,29325.03,7976.11,2609.26,7599.57,749.59,58872.82,10112.28
"K00163",12227.48,11003.81,14433.16,1517.07,3349.5,8021.13,10821.55,21034.67,52362.48,11332.68,31138.08,22134.05,31178.45,6572.41,6611.98,12271.17
"K00164",12597.59,11395.98,15105.46,1570.01,3392.63,8089.08,12825.96,21217.15,53308.69,6588.45,28301.89,22760.03,31719.9,6714.01,6592.48,13509.63
"K00166",389,158.67,275.5,122.51,290,181.33,3107.18,573.82,1208.67,1188.33,533.33,630.34,560.66,85.66,751.01,1488.51
"K00167",391,166.67,288.5,118.51,284,184.83,3105.68,525.82,1499.67,1190.83,532.33,622.34,560.66,86.16,754.01,1482.51
"K00169",846.82,935.5,1027.5,559.33,2088.34,599.49,2456.84,853.32,3882,1172.67,1917.34,758.16,2418.17,155.16,626.34,1602.5
"K00170",857.15,931.5,1030.5,559.33,2088.34,623.82,2459.51,855.98,3868,1174.34,1918.01,755.49,2421.5,155.16,625.67,1602.5
"K00171",372.82,330.83,670.83,468.83,1969.84,300.16,537.67,191.82,1994.5,695.84,1369.84,377.16,982.17,95.66,301.67,689.67
"K00172",829.82,934.83,1026.83,538.33,2059.34,604.16,2377.17,854.32,3803,1055.34,1910.34,752.16,2402.17,153.16,589.67,1509.17
"K00174",2644.49,2691.75,3069.5,744.84,1883.84,1459.65,8091.01,2632.97,11258.26,26226.66,4244.84,2296.5,5915.67,1376.99,57701.28,3870.87
"K00175",2637.49,2691.75,3069.5,744.84,1883.84,1459.65,8091.01,2631.97,11258.26,26226.66,4244.84,2294.5,5908.67,1376.99,57696.28,3870.87
"K00176",225.67,152.5,219,131.17,157,210.33,228.33,223.5,1296.17,925.83,1420.33,219.17,866.67,45.5,201.83,331.83
"K00177",910.67,170.5,292,154.17,235,241.33,1043.33,556.5,1785.17,891.83,1665.33,249.17,1002.67,727.5,221.33,703.83
"K00179",449.46,466.99,738.49,431.49,1898.02,209.49,559.5,264.46,2421.49,1516.51,1334.02,609.98,1841.51,109.98,453,1588.52
"K00180",410.47,360.66,671.16,276.16,1043.68,185.16,475.5,214.14,1909.16,1255.84,1228.68,587.32,1727.17,97.32,394,1453.18
"K00183",0,0.67,3.67,0,1,0.33,13.67,1,1,4.33,7,1,2,2,2.67,1.33
"K00184",1589,1137.67,1310.17,292.67,475.83,900.66,2269.84,1420.66,6454.17,981.66,1601.5,7621.67,5677.83,300.83,835.01,2657
"K00185",1470,713.67,1211.17,280.67,460.83,724.66,2205.84,1051.66,5983.17,804.66,1446.5,7516.67,5584.83,288.83,642.01,2627
"K00186",19.99,49.33,16.33,3.33,5.34,8.33,40,31.32,218.33,38.67,74.34,22.66,120.34,11.66,50,122.34
"K00187",13.32,49.33,16.33,3.33,5.34,8.33,41,30.32,218.33,38.67,74.34,20.66,116.67,11.66,45,122.34
"K00188",13.32,49.33,16.33,3.33,5.34,8.33,41,30.32,218.33,38.67,74.34,20.66,116.67,11.66,45,122.34
"K00192",105.81,166.16,99.66,159.66,867.68,41.49,114.5,107.63,899.66,99.01,232.35,62.15,344.51,44.32,137.16,285.18
"K00193",108.98,166.66,99.66,159.66,867.68,41.33,118,105.98,898.66,110.67,228.01,61.99,343.68,44.32,139.67,288.68
"K00194",104.82,117.83,83.33,161.33,862.34,37.16,105.17,77.64,693.33,280.34,160.01,43.49,231.17,32.66,105.49,163.84
"K00195",105.81,166.16,99.66,159.66,867.68,41.16,114.5,106.64,897.66,98.34,229.68,61.82,344.51,44.32,136.5,285.18
"K00196",61.32,58.33,20.33,4.33,10.34,22.47,136,48.32,273.04,721.67,80.34,35.66,133.67,12.66,99,208.34
"K00197",115.81,120.16,84.66,161.66,863.68,41.16,109.5,79.97,704.66,280.34,159.68,44.82,233.51,33.32,105.83,167.18
"K00198",91.81,157.16,83.66,163.66,859.68,36.83,210.5,79.98,727.66,968.67,179.01,41.49,233.51,24.32,146.17,262.18
"K00200",130.14,223.16,150.66,311.66,1721.68,58.16,132.5,128.97,1213.66,121.34,261.68,67.82,354.84,46.32,150.83,300.68
"K00201",143.46,272.49,166.99,314.99,1727.02,64.82,177.17,159.95,1425.99,161.68,337.69,86.81,471.51,57.98,196.16,423.02
"K00202",133.64,223.66,150.66,311.66,1721.68,58.99,140.67,129.63,1218.66,136.01,263.35,68.65,357.34,46.32,154.66,304.18
"K00203",143.46,272.49,166.99,314.99,1727.02,64.49,173.5,159.29,1423.99,160.01,336.02,86.48,471.51,57.98,195.83,423.02
"K00204",3.5,0.5,0,0,0,2.5,4.5,0,11,13,0,2.5,2.5,0,3.5,3.5
"K00205",106.14,166.16,99.66,159.66,867.68,43.49,119.17,107.3,907.66,100.01,231.35,64.15,347.84,44.32,136.83,285.18
"K00208",13983.03,4482.18,8927.06,1469.41,3216.18,6026.46,13871.54,5223.14,45949.6,25599.99,25647.82,22538.24,29534.49,6876.04,61866.52,9939.75
"K00209",1124.56,7047.55,7402.9,225.1,546.11,941.95,2232.19,15696.5,5583.56,1042.27,1820.6,1058.46,2993.91,174.97,639.98,5850.4
"K00210",5,1,10,5,7,2.33,29.67,79,26.67,41.67,1,8,1,0,4.67,16.33
"K00214",0,0,0,0,0,0,0,0,6,4.5,0,0,1,0,3.5,0
"K00215",16846.66,14235.48,17243.29,2142.67,4913.05,9658.71,18999.27,23466.16,64388.94,33345.98,31573.51,24485.27,34896.98,7904.16,63384.69,17853.01
"K00216",967.59,1385.66,1835.96,672.17,1848.29,1142.09,1202.42,1543.21,8057.44,1213.59,1488.28,1001.19,2214.4,541.35,753.43,5188.95
"K00217",10,4.4,2,13,15,7,265,0,18,54,59.6,12,13.8,0,69,128.2
"K00218",0,0,0,0,0,0,0,0,6,4.5,0,0,1,0,3.5,0
"K00219",1930.51,9156.48,9076.36,886.24,2288.56,3370.44,4470.71,18013.17,16326.76,7207.37,2993.93,1719.13,3247.54,635.03,1316.24,10078.58
"K00220",16,10,11,23,30,11,867,25,210,356,250,56,25,2,10,142
"K00221",244,184.4,742,557,1595,433,176,117,2800,104,228.6,300,245.8,66,123,1845.2
"K00226",828.55,155,298.03,123.83,157.99,492.27,1969.73,298.42,1342.68,1995.91,1495.68,464.21,1069.28,74.69,131.17,2125
"K00228",11722.92,10894.66,14562.96,1349.5,3030.29,6017.09,7920.96,19286.52,48230.44,5116.95,26390.45,22190.69,30653.76,6560.35,5678.43,12357.28
"K00230",1580.58,7984.99,7414.89,915.43,2863.03,1564.49,2300.71,15279.99,10003.87,1239.37,3636.07,1324,3070.74,576.41,1227.85,7141.67
"K00231",1529.5,994.22,1221.5,351.18,588.17,2628.16,6505.73,2710.31,7550.3,6695.45,2901.25,1139.34,3347.74,291.49,1257.4,1863.66
"K00232",349,375.4,262,106,139,1890.33,1722,1680.66,4222.33,905,1377.27,275,529.8,14.33,258.77,374.32
"K00239",14208.25,13378.8,17130.8,1847.84,3912.79,8889.9,18535.89,22788.92,61245.19,37367.94,30383.16,24382.36,34791.52,7228.84,63463.21,15525.96
"K00240",14166.75,13509.73,16769.13,1872.84,3906.29,10094.07,18686.89,24343.25,64268.53,37254.28,29998.39,24287.86,34176.22,7172.51,63279.6,15604.32
"K00241",13332.42,13433.98,16629.63,1804.84,3759.29,9788.74,16189.14,23904.17,63372.36,30606.11,29310.89,23744.36,33871.39,7089.01,63047.21,14577.68
"K00242",11483.92,10876.73,14310.63,1350.5,3019.29,7522.75,10604.63,20469.85,51038.77,10017.78,27158.22,21913.19,29387.06,6451.18,5814.15,11257.37
"K00243",3316.88,361.17,505.28,244.67,482.16,782.1,4939.58,1475.47,4889.06,1728.06,1066.06,1127.88,1693.23,173.02,977.96,4345.22
"K00244",14722.2,9829.05,8536.8,1587.68,3878.35,3812.87,7687.13,16090.92,14255.36,7759.97,3295.32,3451.05,3526.55,1050.78,1401.6,10639.76
"K00245",1453.26,7867.26,7320.56,688.27,1889.19,1467.32,3455.38,15299.17,8934.38,5701.7,2191.96,1310.01,2569.27,556.75,1024.35,6609.29
"K00246",1412.76,7855.26,7315.56,681.27,1875.69,1426.49,3366.71,15282.17,8882.71,5532.03,2173.46,1264.01,2528.77,554.75,1004.68,6481.96
"K00247",1267.59,7814.26,7258.56,672.1,1849.69,1351.66,1305.88,15085.67,8365.54,1026.2,1933.13,1028.34,2252.6,548.25,789.85,5835.13
"K00248",151.5,310.75,652.25,65.5,44,232.78,392.76,764,4089.68,2059.24,734.26,170,726.6,110,436.07,284.51
"K00249",1122.33,1328.21,3342.71,486.04,1002.3,2357.95,14311.43,3563.7,6290.54,27680.07,2046.79,850.22,1324.83,303.13,1718.54,6551.73
"K00252",2267.5,1313.92,2042.07,706.57,1270.93,4693.41,8122.85,4498.84,12661.23,7191.98,10398.16,1535.02,5676.93,332.08,1776.2,4802.52
"K00253",421,230.4,1195.4,156.4,362.6,421.1,2426.17,942.13,1352.9,962.97,609.15,565.85,611.16,78.6,265.75,2808.15
"K00254",12947.09,11359.98,14806.63,1489.84,3257.62,7626.41,11767.63,21094.01,52932.86,10564.94,28131.05,22678.03,32128.56,7323.01,6232.82,12886.12
"K00255",13.2,161.4,31.9,8.4,5.2,18.2,238.9,49,214,1916.5,168.1,52.2,5.8,3.2,279.3,2393.3
"K00256",0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0
"K00257",3172.99,1892.74,4687.68,817.34,1650.84,2969.48,23152.35,3765.18,9839.57,52184.78,7453.97,2842.09,7482.21,864.98,3345.85,13989.18
"K00259",11617.91,4150.32,8206.41,1005.34,1708.35,6905.83,17087.44,7464.88,47243.37,30222.72,26908.82,22724.49,31740.07,6460.48,62433.82,8483.48
"K00260",283,151.5,214.75,103.34,213.34,155.66,3054.34,373.66,2680.75,920.33,407.34,232.5,342.5,72,649.33,689.5
"K00261",1676.98,2116.88,2038.1,511.88,1560.31,1705.51,2363.73,2702.06,9026.64,3096.13,3147.41,1518.25,3695.39,724.35,1285.24,3735.67
"K00262",5321.3,8672.98,9495.99,1003.83,2402.61,3625.36,7212.7,18141.63,16732.75,5059.96,5007.94,2012.07,3822.29,1388.37,1495.06,9438.45
"K00263",601,228,1342.5,193.17,515.17,443.33,2868.67,1063.33,1380.5,1453,601.67,432,590.86,130.5,770,2025
"K00265",12132.26,11252.15,14851.13,1523.01,3340.46,7918.58,13915.6,21026.4,53148.61,13038.14,28164.71,22812.53,31730.06,6585.51,6658.49,14127.12
"K00266",14025.08,12616.31,16874.79,2050.51,4774.97,8914.78,17384.1,23004.88,62779.16,33219.48,31713.22,24353.69,35801.73,7800.17,63385.88,16612.69
"K00270",191,89,150,85,182,55,822,86,437,584,299,159,159,47,376,566
"K00271",6,3.25,55,9.5,8,8,20,38.33,86.25,335,27,2,22.5,3,49.22,94.81
"K00273",19,2.25,0,1.5,0,44,1219,25,22.25,4340,87,7,4.5,1,74,23.25
"K00274",237,277.25,402,32.5,50,153.14,1591,159.16,1265.96,5353,279,274,936,31.5,282.1,1044.37
"K00275",11938.59,11185.56,14976.96,1428.5,3155.29,6813.26,10914.13,19317.18,49913.94,10612.95,28136.38,22398.69,31779.56,6579.85,6039.04,12724.1
