"","BulkRAG1","BulkRAG2","BulkRAG3","BulkRAG4","BulkTP1","BulkTP2","BulkTP3","BulkTP4","RAG1","RAG10","RAG11","RAG12","RAG13","RAG14","RAG15","RAG16","RAG2","RAG3","RAG4","RAG5","RAG6","RAG7","RAG8","RAG9","RTP1","RTP10","RTP11","RTP12","RTP13","RTP14","RTP15","RTP16","RTP2","RTP3","RTP4","RTP5","RTP6","RTP7","RTP8","RTP9"
"K01482",0,2944,2134,0,0,0,0,0,0,0,0,0,2239,1885,0,0,1663,0,0,1642,1471,0,0,0,323,563,0,756,952,0,0,0,280,0,1302,0,453,594,0,0
"K01483",145,2088.33,120.67,0,817,958,814.33,187.67,4892.83,4522.5,0,3732,7711,3230.8,4403.83,459,4437,10716.67,7330.5,3437.67,73331.01,6534.33,31475.33,2588,2025.5,1597,1733.5,1124.17,2861.33,1204.5,8461.67,1835,3073,2237.5,971.5,2799.33,1946.83,1486,958.67,2441.67
"K01484",2545,5782,2721,2268,1679,1182,657,1386,10838,5255,0,3825,8886,4135.3,4240,956,3284,10915,5954,2972,3975,4575,2306,1902,1778,2928,2381,1958,3769,2205,3638,1729,1596,1871,1265,2647,2225,2394,0,2385
"K01485",16815.67,24065.34,21780,16661.67,41853.83,39911.83,36491.83,31925.67,32106.67,28528.01,6361,23202,25248.83,23497.96,19871,4239,33262.84,32923.17,32430.99,20146,145388.02,24320,67069.99,15295.33,37534.66,40874.84,43748.34,34676.67,43174.84,38860.34,52114.33,31236,44347.16,35860.33,31675,47272,45925.16,40548.67,18170,37472.99
"K01486",19164.17,28238.34,25310.2,18799.42,23123.33,22824.26,14995.96,18919.07,38584.9,26500.47,6981,14785.65,25577.14,25961.88,19333.6,4567,37234.92,38484,34683.12,22817.23,145627.18,32242.9,71696.16,33293.33,27020.6,30823.6,28626.92,21014.93,29889.14,22773.47,38576.03,20776,29918.46,24608.13,21400.7,29800.33,28700.63,24680.13,16844.8,25820.79
"K01487",3680,10954.33,4995.67,5874,4821,2879,2706.22,1022.67,10401.33,4560,0,3180,6698,6622.8,3643.83,459,11271.5,9745.67,8383.5,4065.67,73601.51,4518.33,31285.33,2588,4766.5,5469,4652.5,2364.17,7630.33,3939.5,11882.67,4504,3581,3499.5,1982.5,6897.33,8631.83,3091,9165.67,4906.56
"K01488",44742,66433.5,50272.67,45260,29902.33,29001.51,28098.15,19740.67,78109.84,53799.35,14116,46688,42144.31,57972.12,46625.5,15809.5,66807.01,73892.85,63202.35,47236.18,95188.51,73142.33,50072.83,15497,32892.49,32275.18,28413.18,22071.35,40391.01,24395.68,39683.5,17600.17,27306.83,34497.83,25882,40195.99,28212.98,31578.01,3955.67,34253.99
"K01489",47148.84,72081.84,49606.7,43125.17,69551.99,69211.09,56384.62,41093.91,94226.57,67059.97,10305,47324.9,55035.14,61761.46,51588.6,14580.5,90732.5,91349.34,79975.46,57719.73,96774.01,83629.57,55711.83,32660.33,70384.94,69890.43,63008.17,44738.27,70182.98,64563.3,69702.19,44576.17,61919.62,67610.96,50797.53,80260.98,73168.62,65212.13,25202.97,69777.46
"K01491",67298.34,94869.84,67496.2,56214.92,116364.99,111695.09,96142.62,70414.91,125930.07,104811.64,12849,65628.15,83424.14,88199.21,77138.6,18379.5,119516.25,129131.34,108203.46,86667.23,111138.85,110222.57,68571.66,43397.33,119998.94,117460.43,106913.42,76897.27,118990.15,109891.3,115962.69,71922.17,108789.62,115246.46,87586.03,132136.31,123452.12,108139.13,40567.97,114780.63
"K01493",23409.5,26055.33,20767.37,16949.25,35017.5,31982.6,25058.62,20690.07,35017.23,28930.3,3844,15366.15,20986.3,20792.75,20444.43,5610,38154.75,31214.67,33159.3,26475.57,10315.17,32125.73,10727.5,20585,35837.6,33754.6,29260.25,20355.77,32358.13,30516.8,31055.37,20061.5,31899.8,31532.3,23913.7,35676.83,35959.13,28766.8,11433.47,32256.46
"K01494",41952.34,63671.51,44813.33,37547.67,71457.16,69495.16,62284,44853.84,84648.34,68863.84,9005,47493,55753.84,62929.96,53563.17,12485.5,73916.5,87925.67,67491.16,52819.16,96087.34,72228.84,55722.83,20737.33,74028.67,72713.5,68766.84,50525.5,75863.68,69408.17,76315.49,44813,63433.49,72199.83,56412.83,84700.82,72037.16,69111.33,24902.5,72455
"K01495",70728.34,91634.84,69724.7,57908.92,123268.99,116603.09,102324.62,73416.91,124410.07,101430.64,14192,66174.15,85590.14,88996.21,78069.6,19938.5,116420.25,125536.84,104631.46,84454.23,108166.01,108820.07,68645.33,41242.33,123054.94,114644.43,106027.42,76569.27,119123.31,113205.3,113564.69,77855.17,105886.62,113687.46,91515.03,134644.65,120563.12,110393.13,40922.97,119121.29
"K01496",28546.67,41122.5,28375.33,21401.75,58231.83,56283.5,51646.22,37069.17,47183.01,39115,3053,24198.25,30564.83,32532.58,31774.5,5207.5,44463.25,48951.67,37862.67,30676.5,86508.34,42399.84,47773.83,12118,58389.17,56015.33,50523.75,38893.17,58930.01,55045.83,55582.16,35316,52554.83,56655,44498.83,64339.66,59647.83,55603.67,24485.5,55434.89
"K01497",19753.5,31814.33,21904.17,22872,20036.33,18841.83,13526.16,13099.17,36821.83,23795.5,8595,25776.5,23005.33,31241.3,24848.83,10489.5,38109.5,43787.17,37053.5,23062.67,12676.17,34819.83,10902,16215,18340,18947.5,16838.33,14451.34,17722,16091.83,17967,11300.67,19266.83,18315.33,13978,23047.16,18355.16,18604.67,5296.67,18912
"K01499",364.67,685,403.33,443,8240,6293.5,6845.5,4132.67,3173.84,2909.33,0,1697,447.67,1556,3556,36,2332.33,3950,1083.5,1177.33,1114.5,1140.34,415,0,7787.67,8221.83,6949,4644,6071.17,7239.83,6577.33,3618.83,7178.5,6257.67,5048.83,8070.83,7072.67,6003,2343.5,7035.67
"K01501",4245,6212,3414,3167,3360,1890,2390,2053,7225,3489,0,3368,3244,5079,4375,459,8432,9148,6989,6332,5433.5,5713,2079,0,3160,3551,3873,2957,3161.5,2902,2204,631,2071,2352,3403,3737,2299,2579,964,3167
"K01502",1717,1415,1527,1426,1887,1543,1366,1397,4176,4493,1343,4069,3678,3115,4083,0,1635,7547,1808,2214,2667,3762,1096,0,1303,1827,1413,1653,2628,1346,3522,1165,1180,1620,1375,1934,1784,1869,0,1475
"K01505",3083,9513,3224,4467,3985.5,3405.17,2950.83,1514.5,4974.67,6992.34,1343,5253,7000.16,5608.83,3518,0,4463.17,9206.17,4740.67,5564.67,3913,3851,3004,0,3638.83,4657.67,3372.67,3999.17,5631.17,3269.67,5519,2469,1840.5,3224,2889,7218,5630.83,4897.67,444,1798.33
