"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"K10039"	0	9.52216066481995e-05	1.3857036949789e-05	2.58572605340632e-05	3.32459561409117e-05	1.65199829844175e-05	6.91132766604465e-05	4.2722490721209e-05	5.8258931822485e-05	1.77688275535286e-05	2.3099276068688e-05	2.61588364549545e-05	0.000425342299278944	2.74618394855482e-05	8.97396204911449e-06	1.26960750084111e-05	1.76135412905442e-05	6.8598654219129e-05	3.48874878516783e-05	0	2.30069112761474e-05	3.93135848092308e-05	4.07360420861509e-05	4.7463097441739e-05	8.30541790094405e-05	2.08536439136034e-05	3.9107310459902e-05
"K10202"	2.35537968720558e-05	5.19390581717451e-05	3.46425923744726e-05	1.84694718100452e-05	2.81311936576945e-05	2.06499787305219e-05	4.44299635674299e-05	5.34031134015113e-06	4.36941988668638e-05	2.36917700713715e-05	2.77191312824256e-05	3.13906037459454e-05	4.05087904075184e-06	6.40776254662792e-05	3.5895848196458e-05	1.26960750084111e-05	5.28406238716325e-05	8.10711368044252e-05	1.99357073438162e-05	8.97837334320954e-05	1.84055290209179e-05	0	4.65554766698868e-05	3.69157424546859e-05	8.30541790094405e-05	4.17072878272067e-05	1.30357701533007e-05
"K10201"	4.71075937441115e-05	1.73130193905817e-05	2.07855554246835e-05	3.32450492580813e-05	3.58033373825203e-05	2.06499787305219e-05	1.480998785581e-05	3.73821793810579e-05	2.91294659112425e-05	2.96147125892143e-05	1.84794208549504e-05	1.04635345819818e-05	1.21526371222555e-05	1.37309197427741e-05	1.7947924098229e-05	2.53921500168223e-05	4.40338532263604e-05	2.49449651705924e-05	5.98071220314486e-05	2.24459333580239e-05	2.76082935313768e-05	0	4.07360420861509e-05	2.10947099741062e-05	0	1.04268219568017e-05	5.21430806132026e-05
"K10200"	4.71075937441115e-05	5.19390581717451e-05	6.23566662740506e-05	2.95511548960723e-05	6.39345310402148e-05	4.54299532071482e-05	3.45566383302232e-05	1.06806226803023e-05	7.28236647781063e-06	7.69982527319572e-05	4.15786969236384e-05	2.61588364549545e-05	2.02543952037592e-05	3.20388127331396e-05	3.5895848196458e-05	1.26960750084111e-05	8.80677064527209e-06	4.98899303411848e-05	4.48553415235864e-05	6.73378000740716e-05	7.8223498338901e-05	3.93135848092308e-05	5.23749112536226e-05	8.96525173899515e-05	6.92118158412004e-05	3.64938768488059e-05	5.21430806132026e-05
"K02031"	0.00478142076502732	0.00508137119113573	0.00474603515530274	0.00531182009256899	0.00536282846365322	0.00541442442314284	0.00504033253359399	0.00459266775252997	0.0050685270685562	0.00486865874966683	0.00515575841853116	0.00527885319660981	0.00635177833589889	0.00514909490354029	0.00516900214028995	0.00467850364059951	0.00547781134135924	0.00531951382262882	0.00506865359216527	0.00538702400592573	0.00529619097576912	0.00491419810115385	0.00467882540532362	0.00518402497613661	0.00537083690927715	0.00524990485524964	0.00511002190009386
"K02034"	0.00455765969474279	0.00417243767313019	0.0041709681218865	0.00462475574123531	0.00460328623489547	0.00491469493786421	0.00426033983985466	0.00499853141438146	0.00448593775033135	0.00438297746320372	0.0044350610051881	0.00488123888249451	0.00645710119095844	0.00476462915074261	0.00426263197332939	0.004323013540364	0.00525764207522744	0.0044339675590728	0.00461013232325749	0.00430961920474058	0.00455996981493241	0.00503213885558155	0.00499307487284535	0.00470939400171922	0.00485866947205227	0.00502051477220001	0.00467984148503494
"K02033"	0.00432212172602223	0.00448407202216067	0.0037898996057673	0.00522686052224279	0.00529377917012979	0.00484035501443433	0.00488729599241729	0.00459800806387012	0.0048646208071775	0.00495157994491663	0.00437962274262325	0.00470859056189181	0.00727132787814956	0.00513994095704511	0.00467992120861321	0.00390404306508643	0.00501105249715982	0.00470212593465666	0.00518826783622816	0.00457897040503687	0.00562749049814564	0.00467831659229847	0.00525494942911347	0.00540551943086473	0.00506630491957587	0.00480155151110717	0.00487537803733445
"K02035"	0.00427501413227812	0.00439750692520776	0.00419175367731118	0.00516775821245064	0.00502781152100249	0.00524922459329867	0.00414185993700818	0.0044912018370671	0.00517048019924555	0.00492788817484526	0.00446739999168426	0.00479229883854766	0.00728348051527181	0.00518113371627343	0.00456774668299928	0.00414526849024624	0.00480849677231856	0.00534445878779942	0.00478456976251589	0.00500544313883932	0.00496029007113737	0.00509110923279539	0.00547026850871169	0.00495198316642144	0.00501093546690291	0.00479633810012877	0.00469287725518824
"K02050"	0.00363906161673262	0.00310768698060942	0.00320097553540126	0.00467647026230344	0.0044344990729493	0.00500555484427851	0.0035692070732502	0.00355664735254065	0.00373585400311685	0.00345307548790239	0.00345103184466199	0.00368316417285759	0.00422101596046342	0.00373023319678696	0.00403379594107697	0.00335176380222054	0.00424486345102114	0.00471459841724196	0.00437588776196765	0.00469120007182699	0.00435750899570231	0.00452106225306155	0.00460899219031879	0.00459337309686163	0.00430497494532267	0.00466600282566875	0.0040541245176765
"K02051"	0.00224938760128133	0.0021814404432133	0.0018984140621211	0.00227913282135957	0.00248321718560194	0.00261428730728407	0.00215732156432965	0.00201329737523698	0.00217014521038757	0.002073029881245	0.00234226659336496	0.00224965993512609	0.00418860892813741	0.00193148271048356	0.00230630824662243	0.00229798957652242	0.00262441765229108	0.00260051261903426	0.00257170624735229	0.00258128233617274	0.00272861967735108	0.0025553830126	0.00268857877768596	0.0026210177142827	0.00290689626533042	0.00235124835125878	0.00267233288142663
"K06074"	0	0	6.92851847489451e-06	3.69389436200904e-06	2.55738124160859e-06	0	0	0	0	0	0	0	0	0	8.97396204911449e-06	0	0	1.24724825852962e-05	0	0	0	0	0	0	0	0	0
"K06073"	0	0	0	0	0	0	0	0	7.28236647781063e-06	0	4.6198552137376e-06	0	0	0	0	0	0	0	0	0	4.60138225522947e-06	0	0	0	0	5.21341097840084e-06	0
"K06858"	0	0	0	3.69389436200904e-06	2.55738124160859e-06	0	0	0	7.28236647781063e-06	0	0	0	0	4.57697324759137e-06	0	0	0	0	0	0	4.60138225522947e-06	1.96567924046154e-05	5.81943458373584e-06	5.27367749352656e-06	1.38423631682401e-05	0	1.30357701533007e-05
"K05646"	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57697324759137e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
"K05647"	0	0	0	3.69389436200904e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K05641"	0	1.73130193905817e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K05642"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.97396204911449e-06	0	0	0	0	0	0	0	0	0	0	5.21341097840084e-06	0
"K05643"	0	1.73130193905817e-05	6.92851847489451e-06	0	0	0	4.93666261860332e-06	0	0	0	0	0	8.10175808150369e-06	0	0	0	0	6.2362412926481e-06	0	0	0	0	0	0	0	0	1.30357701533007e-05
"K05644"	0	0	0	0	0	0	0	5.34031134015113e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K05648"	0	0	0	0	0	4.12999574610438e-06	4.93666261860332e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K05645"	1.17768984360279e-05	0	0	0	2.55738124160859e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.27367749352656e-06	0	0	0
"K05650"	0	0	0	0	0	0	0	0	0	0	0	5.2317672909909e-06	0	0	0	0	0	0	0	0	0	0	0	0	1.38423631682401e-05	0	0
"K05651"	0	0	0	0	2.55738124160859e-06	4.12999574610438e-06	0	0	7.28236647781063e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K05657"	0	0	0	3.69389436200904e-06	1.02295249664344e-05	2.06499787305219e-05	9.87332523720664e-06	3.73821793810579e-05	2.18470994334319e-05	1.18458850356857e-05	0	0	0	1.83078929903655e-05	4.48698102455725e-06	0	0	0	4.98392683595405e-06	1.12229666790119e-05	1.84055290209179e-05	0	1.16388691674717e-05	0	0	5.21341097840084e-06	0
"K05664"	0	0	0	0	0	0	0	0	0	0	0	0	0	9.15394649518274e-06	4.48698102455725e-06	1.26960750084111e-05	8.80677064527209e-06	0	0	0	0	0	5.81943458373584e-06	5.27367749352656e-06	0	0	0
"K05658"	2.35537968720558e-05	5.19390581717451e-05	3.46425923744726e-05	3.32450492580813e-05	2.55738124160859e-05	3.71699617149394e-05	3.45566383302232e-05	5.34031134015113e-05	2.18470994334319e-05	5.33064826605858e-05	1.84794208549504e-05	3.13906037459454e-05	3.64579113667666e-05	5.49236789710964e-05	1.7947924098229e-05	5.07843000336446e-05	8.80677064527209e-06	1.87087238779443e-05	2.99035610157243e-05	2.24459333580239e-05	4.60138225522947e-05	1.96567924046154e-05	2.32777383349434e-05	3.16420649611594e-05	1.38423631682401e-05	2.60670548920042e-05	1.30357701533007e-05
"K05653"	0	8.65650969529086e-06	0	0	7.67214372482578e-06	0	4.93666261860332e-06	1.06806226803023e-05	0	0	4.6198552137376e-06	5.2317672909909e-06	0	0	4.48698102455725e-06	6.34803750420557e-06	8.80677064527209e-06	0	0	0	0	0	0	0	0	0	0
"K05654"	1.17768984360279e-05	0	0	3.69389436200904e-06	0	0	0	0	0	0	0	1.04635345819818e-05	0	0	0	0	0	0	0	0	0	0	0	5.27367749352656e-06	0	0	0
"K05659"	0	0	0	0	0	0	0	0	0	0	4.6198552137376e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K05660"	2.35537968720558e-05	0	0	3.69389436200904e-06	0	0	0	0	0	0	0	5.2317672909909e-06	0	4.57697324759137e-06	4.48698102455725e-06	0	0	0	0	0	0	0	0	0	1.38423631682401e-05	0	0
"K05661"	0	0	0	1.10816830860271e-05	1.02295249664344e-05	4.12999574610438e-06	1.480998785581e-05	1.06806226803023e-05	0	2.96147125892143e-05	1.38595656412128e-05	5.2317672909909e-06	4.05087904075184e-06	4.57697324759137e-06	2.24349051227862e-05	1.26960750084111e-05	8.80677064527209e-06	1.87087238779443e-05	4.98392683595405e-06	1.12229666790119e-05	1.38041467656884e-05	1.96567924046154e-05	1.74583037512075e-05	1.05473549870531e-05	0	2.08536439136034e-05	5.21430806132026e-05
"K05662"	0	8.65650969529086e-06	0	0	5.11476248321719e-06	4.12999574610438e-06	1.480998785581e-05	5.34031134015113e-06	0	1.77688275535286e-05	4.6198552137376e-06	1.56953018729727e-05	0	9.15394649518274e-06	8.97396204911449e-06	6.34803750420557e-06	0	0	4.98392683595405e-06	0	4.60138225522947e-06	1.96567924046154e-05	0	5.27367749352656e-06	0	2.08536439136034e-05	0
"K05655"	3.53306953080837e-05	0	6.92851847489451e-06	7.38778872401807e-06	2.04590499328687e-05	2.89099702227307e-05	9.87332523720664e-06	4.80628020613602e-05	1.45647329556213e-05	2.96147125892143e-05	1.84794208549504e-05	5.2317672909909e-06	1.62035161630074e-05	1.37309197427741e-05	0	1.26960750084111e-05	1.76135412905442e-05	2.49449651705924e-05	1.49517805078621e-05	0	9.20276451045894e-06	0	4.07360420861509e-05	1.58210324805797e-05	0	2.08536439136034e-05	1.30357701533007e-05
"K05656"	0	0	6.92851847489451e-06	0	2.55738124160859e-06	4.12999574610438e-06	0	0	0	5.92294251784286e-06	9.2397104274752e-06	0	0	4.57697324759137e-06	0	0	0	0	0	1.12229666790119e-05	0	0	0	0	0	0	0
"K06148"	0.00211984171848502	0.00243247922437673	0.00229333961519008	0.00217570377922332	0.00204334761204527	0.0020732578645444	0.00225605481670172	0.00228031294224453	0.00231579253994378	0.00214410519145912	0.00211127383267808	0.00214502458930627	0.0019849307299684	0.00220152413209145	0.00225246447432774	0.00219007293895092	0.00228095359712547	0.00233235424345039	0.00223279922250741	0.00175078280192586	0.00224547454055198	0.00112043716706308	0.00216482966514973	0.00203563951250125	0.00233935937543257	0.00220005943288515	0.00160339972885598
"K05674"	0	0	0	0	0	4.12999574610438e-06	0	0	0	5.92294251784286e-06	0	0	0	9.15394649518274e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
"K05671"	0	0	0	0	0	0	0	0	0	0	0	5.2317672909909e-06	0	0	4.48698102455725e-06	0	0	0	0	0	0	0	0	0	0	0	0
"K05672"	0	0	0	0	0	0	4.93666261860332e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.21341097840084e-06	0
"K05665"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.81943458373584e-06	0	0	0	0
"K05666"	0	8.65650969529086e-06	0	0	0	0	0	0	0	0	0	0	0	0	4.48698102455725e-06	0	0	0	0	0	0	0	0	0	0	0	0
"K05673"	0	8.65650969529086e-06	0	0	0	0	0	0	0	5.92294251784286e-06	0	0	0	0	4.48698102455725e-06	6.34803750420557e-06	0	0	0	0	0	0	0	0	0	0	0
"K05668"	0	0	0	0	0	0	0	5.34031134015113e-06	0	0	0	0	0	0	0	0	8.80677064527209e-06	0	0	0	0	0	0	0	0	0	0
"K05669"	0	0	6.92851847489451e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K05032"	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57697324759137e-06	0	6.34803750420557e-06	0	0	0	0	0	0	0	0	0	0	0
"K05033"	0	0	0	0	0	0	0	0	0	0	0	5.2317672909909e-06	0	0	0	6.34803750420557e-06	0	0	0	0	0	0	0	0	0	0	0
"K05675"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.81943458373584e-06	0	0	0	0
"K05676"	0	0	0	0	0	0	0	0	0	0	0	5.2317672909909e-06	0	4.57697324759137e-06	0	0	0	0	0	0	0	0	1.74583037512075e-05	5.27367749352656e-06	0	0	0
"K05677"	0	0	0	0	0	0	0	0	0	5.92294251784286e-06	0	0	0	0	0	0	0	0	0	0	0	0	5.81943458373584e-06	0	0	0	0
"K05679"	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57697324759137e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
"K05681"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26960750084111e-05	0	0	0	0	0	0	0	0	0	0	0
"K05680"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98392683595405e-06	0	0	0	0	0	0	0	0
"K00709"	0	0	0	0	0	0	0	0	0	0	4.6198552137376e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K07513"	0	8.65650969529086e-06	0	1.10816830860271e-05	0	0	4.93666261860332e-06	5.34031134015113e-06	7.28236647781063e-06	1.18458850356857e-05	0	2.09270691639636e-05	4.05087904075184e-06	4.57697324759137e-06	1.7947924098229e-05	6.34803750420557e-06	8.80677064527209e-06	0	4.98392683595405e-06	0	4.60138225522947e-06	0	0	5.27367749352656e-06	0	0	0
"K07508"	4.71075937441115e-05	1.73130193905817e-05	5.54281477991561e-05	1.84694718100452e-05	1.79016686912602e-05	3.30399659688351e-05	7.89866018976531e-05	3.20418680409068e-05	7.28236647781063e-06	2.36917700713715e-05	4.15786969236384e-05	5.75494402008999e-05	3.24070323260147e-05	3.66157859807309e-05	6.73047153683587e-05	2.53921500168223e-05	1.76135412905442e-05	2.49449651705924e-05	9.9678536719081e-06	2.24459333580239e-05	3.22096757866063e-05	5.89703772138462e-05	2.90971729186792e-05	1.05473549870531e-05	2.76847263364802e-05	1.56402329352025e-05	2.60715403066013e-05
