"BulkAG1"	"BulkAG2"	"BulkAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"4470542"	0	0	0	3.15238635647185e-05	0.000158022818494991	3.78873986512086e-05	0	0	0	0	0	0	0	0	0	0	0.00012786906208043	3.10761676870008e-05	3.3254630707326e-05	0.000145758429695851	0.000184529081783289	0.000106025799611239	0	5.92083839071613e-05	0.000132612803766204	0	0.000126194908035461
"4338192"	0	0	0	0	0	0	0	0	6.99643181977192e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1085229"	0.00118273211117682	0.00145183975318724	0.00176163285141538	0.000315238635647185	6.32091273979963e-05	3.78873986512086e-05	0.00189356839699641	0.00168849353430525	0.00160917931854754	0.000780081908600403	0.00129921686094771	0.00164923572003218	0.00178076770874555	7.13826825612107e-05	0.0008870116156283	0.000214132762312634	0.000447541717281504	0.000403990179931011	0.000432310199195238	0.000534447575551453	0.000110717449069973	0.000247393532426224	0.000426560500497654	0.000266437727582226	0.000198919205649305	0.00058836508053247	0.000630974540177304
"252560"	0	0	0	0	3.16045636989981e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"900044"	0	0	0	0.000441334089906059	0.000442463891785974	0.00102295976358263	0	0	0	3.25034128583501e-05	0	0	0	0	0	0	0.000543443513841826	0.000435066347618012	0.000399055568487912	0.000291516859391701	0.000516681428993209	0.000459445131648701	0.00047395611166406	0.000444062879303709	0.000198919205649305	0.000514819445465912	0.000410133451115248
"151957"	0	0	0	0	0	3.78873986512086e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"254371"	0	0	0	0	3.16045636989981e-05	0	0	0	0	0	0	0	0	0	0	2.14132762312634e-05	0	3.10761676870008e-05	0	4.85861432319502e-05	0	0	0	2.96041919535806e-05	3.31532009415509e-05	3.67728175332794e-05	9.46461810265956e-05
"1134668"	0	0	0	0	3.16045636989981e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.67728175332794e-05	0
"608919"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.10761676870008e-05	0	0	0	0	0	2.96041919535806e-05	0	0	0
"198952"	0	0	0	0	0	0	0	4.11827691293963e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4318483"	0	0	0	3.15238635647185e-05	3.16045636989981e-05	0	0	0	0	0	0	0	0	0	0	0	3.19672655201074e-05	6.21523353740017e-05	0	0	0	0	4.7395611166406e-05	0	3.31532009415509e-05	0	0
"776288"	0	0	0	0	6.32091273979963e-05	3.78873986512086e-05	0	0	0	0	0	0	0	0	0	0	0	3.10761676870008e-05	6.6509261414652e-05	0	7.38116327133156e-05	7.06838664074925e-05	9.4791222332812e-05	2.96041919535806e-05	3.31532009415509e-05	0	3.15487270088652e-05
"697997"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3254630707326e-05	0	0	0	0	0	0	0	0
"4450676"	0.000147841513897102	0	0	0.000504381817035496	0.000410859328086976	0.00026521179055846	6.52954619653934e-05	8.23655382587925e-05	0	0.000162517064291751	3.60893572485474e-05	8.0450522928399e-05	0.000247328848436882	0	0.000464625131995776	2.14132762312634e-05	0.000319672655201074	0.000341837844557009	0.00033254630707326	0.000340103002623652	0.00033215234720992	0.000212051599222477	0.000331769278164842	0.000355250303442968	0.000331532009415509	0.000551592262999191	0.000315487270088652
"638076"	0.000443524541691307	0.000317589946009709	0.000303729801968169	6.3047727129437e-05	3.16045636989981e-05	7.57747973024172e-05	0.000163238654913484	0.000453010460423359	0.000279857272790877	0.000195020477150101	0.000360893572485474	0.000160901045856798	0.000197863078749505	5.3537011920908e-05	0.000591341077085533	0.00012847965738758	3.19672655201074e-05	3.10761676870008e-05	0	0	0	3.53419332037462e-05	4.7395611166406e-05	5.92083839071613e-05	3.31532009415509e-05	0	9.46461810265956e-05
"697990"	0	0	0	0.000945715906941555	0.000758509528775955	0.000568310979768129	0	0	0	0	0	0	0	0	0	0	0.000831148903522793	0.000776904192175021	0.000798111136975824	0.000437275289087552	0.000442869796279894	0.000742180597278671	0.000900516612161714	0.000680896414932354	0.000563604416006365	0.000404500992866073	0.000599425813168439
"165827"	0	4.53699922871013e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"791123"	0	0	0	0	0	0	3.26477309826967e-05	0	0	0	0	0	0	0	4.22386483632524e-05	0	0	0	0	0	0	0	0	0	0	0	0
"4433035"	7.39207569485512e-05	0	0	0.000504381817035496	0.000126418254795993	0.00026521179055846	0	4.11827691293963e-05	0	0	0	4.02252614641995e-05	0	0	4.22386483632524e-05	0	0.00012786906208043	0.000435066347618012	0.000199527784243956	0.000145758429695851	0.000258340714496605	0.00028273546562997	0.000142186833499218	0.000207229343675064	0.000165766004707755	0.000257409722732956	0.000189292362053191
"4433032"	0	0	0	0	0	0	3.26477309826967e-05	0	0	0	0	4.02252614641995e-05	4.94657696873763e-05	0	0	0	3.19672655201074e-05	0	3.3254630707326e-05	0	0	0	0	0	3.31532009415509e-05	0	0
"543801"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22386483632524e-05	0	0	0	0	0	0	3.53419332037462e-05	0	0	0	0	0
"4335437"	0	0	0	0	0	0	3.26477309826967e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4335436"	0	0	0	0	0	0	0	0	6.99643181977192e-05	0	0	0	0	0	0	0	0	3.10761676870008e-05	0	0	0	0	0	0	0	0	0
"842284"	0	0	0	0	0	0	6.52954619653934e-05	0	0	3.25034128583501e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96041919535806e-05	0	0	0
"4335432"	0	0	0	0	0	0	3.26477309826967e-05	4.11827691293963e-05	0.000139928636395438	3.25034128583501e-05	7.21787144970948e-05	0	0	0	0	0	0	3.10761676870008e-05	0	0	3.69058163566578e-05	0	0	0	0	0	0
"237898"	7.39207569485512e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6509261414652e-05	4.85861432319502e-05	0	3.53419332037462e-05	0	0	0	7.35456350665588e-05	3.15487270088652e-05
